town,resale_price,floor_area_sqm,flat_type,storey_band,remaining_lease_years,month
BISHAN,790830,119.9,4 ROOM,11-15,85,2026-03
BISHAN,748438,112.3,5 ROOM,11-15,80,2026-01
BISHAN,960298,113.9,5 ROOM,11-15,92,2026-03
BISHAN,699881,110.0,5 ROOM,06-10,82,2026-02
BISHAN,890890,113.8,5 ROOM,01-05,84,2026-02
BISHAN,574056,77.1,4 ROOM,01-05,76,2026-02
BISHAN,606539,71.7,5 ROOM,11-15,83,2026-03
BISHAN,606270,73.7,4 ROOM,06-10,63,2026-03
BISHAN,581538,84.4,4 ROOM,11-15,83,2026-02
BISHAN,795938,100.7,4 ROOM,11-15,92,2026-01
BISHAN,724463,96.7,4 ROOM,01-05,73,2026-03
BISHAN,815177,103.2,4 ROOM,11-15,72,2026-02
BISHAN,715778,114.2,5 ROOM,01-05,90,2026-01
BISHAN,836506,96.9,5 ROOM,01-05,78,2026-01
BISHAN,815674,106.3,5 ROOM,01-05,70,2026-01
BISHAN,672174,83.5,4 ROOM,06-10,90,2026-01
BISHAN,970845,118.2,4 ROOM,01-05,94,2026-03
BISHAN,743343,87.8,5 ROOM,11-15,82,2026-03
BISHAN,764286,108.1,5 ROOM,06-10,80,2026-03
BISHAN,783833,96.4,5 ROOM,06-10,93,2026-02
BISHAN,745384,101.2,4 ROOM,06-10,80,2026-01
BISHAN,540991,73.3,5 ROOM,01-05,75,2026-01
BISHAN,489993,72.5,4 ROOM,06-10,81,2026-01
BISHAN,621022,82.3,5 ROOM,06-10,73,2026-01
BISHAN,824165,118.4,5 ROOM,01-05,62,2026-03
BISHAN,691200,98.1,5 ROOM,06-10,89,2026-02
BISHAN,854024,100.6,5 ROOM,01-05,78,2026-01
BISHAN,562007,77.7,4 ROOM,06-10,92,2026-01
BISHAN,633891,81.3,4 ROOM,01-05,80,2026-01
BISHAN,721731,83.7,5 ROOM,11-15,79,2026-03
BISHAN,843039,116.9,4 ROOM,01-05,94,2026-01
BISHAN,748960,101.0,5 ROOM,01-05,79,2026-02
BISHAN,752947,102.6,4 ROOM,11-15,62,2026-01
BISHAN,657070,77.3,5 ROOM,01-05,60,2026-01
BISHAN,795918,115.8,4 ROOM,11-15,70,2026-02
BISHAN,555757,74.8,4 ROOM,01-05,60,2026-03
BISHAN,764645,98.8,5 ROOM,11-15,64,2026-03
BISHAN,942884,115.4,4 ROOM,01-05,63,2026-01
BISHAN,639404,81.7,4 ROOM,11-15,73,2026-02
BISHAN,533850,70.4,5 ROOM,11-15,81,2026-03
BISHAN,585623,78.3,4 ROOM,01-05,72,2026-01
BISHAN,728614,100.5,4 ROOM,06-10,72,2026-03
BISHAN,553675,70.6,5 ROOM,11-15,65,2026-02
BISHAN,710896,95.2,5 ROOM,06-10,78,2026-03
BISHAN,644592,87.7,4 ROOM,11-15,63,2026-03
BISHAN,753227,97.3,4 ROOM,01-05,66,2026-02
BISHAN,672961,85.7,5 ROOM,06-10,84,2026-02
BISHAN,575363,79.2,4 ROOM,01-05,78,2026-03
BISHAN,628031,72.7,5 ROOM,11-15,80,2026-02
BISHAN,836848,118.8,5 ROOM,11-15,81,2026-02
BISHAN,768680,100.2,4 ROOM,11-15,73,2026-02
BISHAN,867481,104.9,4 ROOM,01-05,78,2026-02
BISHAN,805661,109.5,4 ROOM,11-15,88,2026-03
BISHAN,465576,71.2,4 ROOM,11-15,81,2026-03
BISHAN,668648,91.5,4 ROOM,01-05,74,2026-01
BISHAN,767921,114.0,5 ROOM,01-05,87,2026-02
BISHAN,697240,84.9,4 ROOM,11-15,87,2026-01
BISHAN,547163,72.2,4 ROOM,11-15,90,2026-02
BISHAN,572451,73.4,5 ROOM,06-10,74,2026-01
BISHAN,649579,79.1,4 ROOM,01-05,90,2026-03
BISHAN,778656,103.0,5 ROOM,11-15,88,2026-02
BISHAN,755560,112.4,5 ROOM,06-10,82,2026-01
BISHAN,683211,93.4,5 ROOM,11-15,68,2026-01
BISHAN,470248,70.4,4 ROOM,06-10,73,2026-01
BISHAN,560799,72.8,5 ROOM,11-15,72,2026-03
BISHAN,751942,109.5,4 ROOM,06-10,75,2026-01
BISHAN,782469,104.0,5 ROOM,01-05,91,2026-01
BISHAN,492499,72.4,4 ROOM,01-05,84,2026-03
BISHAN,861536,113.6,5 ROOM,01-05,63,2026-03
BISHAN,919178,111.3,4 ROOM,11-15,77,2026-03
BISHAN,716133,90.3,4 ROOM,06-10,65,2026-03
BISHAN,709962,82.9,4 ROOM,06-10,87,2026-02
BISHAN,689531,95.6,5 ROOM,11-15,93,2026-01
BISHAN,740125,97.7,4 ROOM,06-10,89,2026-03
BISHAN,592346,80.2,5 ROOM,11-15,89,2026-01
BISHAN,897205,107.3,4 ROOM,06-10,86,2026-01
BISHAN,778141,94.0,4 ROOM,01-05,92,2026-01
TAMPINES,476130,82.4,4 ROOM,11-15,82,2026-02
TAMPINES,539098,92.8,5 ROOM,11-15,78,2026-02
TAMPINES,518198,94.5,4 ROOM,11-15,91,2026-02
TAMPINES,511419,78.3,5 ROOM,11-15,75,2026-01
TAMPINES,639942,110.2,5 ROOM,06-10,79,2026-03
TAMPINES,642396,117.4,5 ROOM,11-15,82,2026-02
TAMPINES,550242,101.7,4 ROOM,11-15,78,2026-01
TAMPINES,495784,87.1,4 ROOM,01-05,93,2026-03
TAMPINES,490933,77.2,4 ROOM,11-15,86,2026-01
TAMPINES,494158,99.2,4 ROOM,06-10,64,2026-01
TAMPINES,674786,107.3,5 ROOM,06-10,72,2026-01
TAMPINES,463715,74.3,5 ROOM,11-15,92,2026-02
TAMPINES,716152,108.8,4 ROOM,01-05,85,2026-02
TAMPINES,467935,73.9,5 ROOM,11-15,80,2026-02
TAMPINES,630874,105.6,5 ROOM,06-10,88,2026-03
TAMPINES,462035,78.7,4 ROOM,01-05,93,2026-02
TAMPINES,633817,111.0,4 ROOM,01-05,84,2026-01
TAMPINES,587724,96.7,5 ROOM,11-15,64,2026-03
TAMPINES,636671,112.1,5 ROOM,06-10,84,2026-03
TAMPINES,574039,102.5,5 ROOM,11-15,66,2026-02
TAMPINES,520843,95.8,5 ROOM,06-10,63,2026-01
TAMPINES,497034,86.7,4 ROOM,11-15,78,2026-01
TAMPINES,566114,96.1,4 ROOM,06-10,92,2026-02
TAMPINES,429544,73.0,4 ROOM,01-05,64,2026-02
TAMPINES,536890,85.7,4 ROOM,06-10,70,2026-02
TAMPINES,670318,117.7,5 ROOM,06-10,91,2026-02
TAMPINES,493768,93.9,4 ROOM,11-15,91,2026-02
TAMPINES,495597,94.9,4 ROOM,01-05,60,2026-01
TAMPINES,646822,110.8,4 ROOM,11-15,65,2026-02
TAMPINES,498155,79.7,5 ROOM,06-10,74,2026-02
TAMPINES,398973,78.3,5 ROOM,01-05,72,2026-03
TAMPINES,517523,86.4,5 ROOM,06-10,61,2026-01
TAMPINES,367020,70.5,5 ROOM,01-05,75,2026-01
TAMPINES,540308,78.3,4 ROOM,01-05,61,2026-01
TAMPINES,425748,77.0,5 ROOM,11-15,60,2026-03
TAMPINES,552417,87.8,4 ROOM,01-05,78,2026-02
TAMPINES,587220,103.6,4 ROOM,11-15,79,2026-03
TAMPINES,472306,76.7,5 ROOM,01-05,90,2026-02
TAMPINES,551243,110.6,4 ROOM,11-15,92,2026-02
TAMPINES,529086,97.4,5 ROOM,06-10,81,2026-03
TAMPINES,599119,110.4,5 ROOM,06-10,64,2026-02
TAMPINES,686273,108.4,5 ROOM,06-10,60,2026-03
TAMPINES,435518,80.7,4 ROOM,11-15,64,2026-03
TAMPINES,685528,106.7,4 ROOM,06-10,71,2026-01
TAMPINES,632770,100.1,5 ROOM,01-05,85,2026-03
TAMPINES,372349,73.5,5 ROOM,06-10,69,2026-03
TAMPINES,328620,71.4,5 ROOM,06-10,91,2026-02
TAMPINES,664778,108.6,5 ROOM,01-05,68,2026-02
TAMPINES,610484,106.5,4 ROOM,06-10,68,2026-01
TAMPINES,525023,80.5,5 ROOM,06-10,70,2026-03
TAMPINES,713153,117.3,5 ROOM,11-15,70,2026-02
TAMPINES,626644,111.8,5 ROOM,06-10,77,2026-01
TAMPINES,556911,106.0,4 ROOM,01-05,69,2026-02
TAMPINES,492968,80.1,5 ROOM,11-15,92,2026-03
TAMPINES,692823,115.0,4 ROOM,01-05,69,2026-03
TAMPINES,772318,109.4,4 ROOM,11-15,89,2026-02
TAMPINES,577179,92.5,5 ROOM,06-10,82,2026-02
TAMPINES,463869,78.8,4 ROOM,06-10,88,2026-01
TAMPINES,756444,119.4,4 ROOM,06-10,85,2026-03
TAMPINES,661550,112.9,4 ROOM,11-15,83,2026-02
TAMPINES,718002,107.5,4 ROOM,11-15,84,2026-01
TAMPINES,679884,105.2,5 ROOM,11-15,70,2026-01
TAMPINES,618266,114.2,4 ROOM,11-15,63,2026-03
TAMPINES,476372,76.9,5 ROOM,11-15,66,2026-02
TAMPINES,473890,92.2,5 ROOM,01-05,83,2026-03
TAMPINES,593251,103.7,5 ROOM,01-05,81,2026-02
TAMPINES,585263,113.9,4 ROOM,01-05,73,2026-03
TAMPINES,587179,102.8,4 ROOM,11-15,88,2026-03
TAMPINES,636015,119.4,4 ROOM,06-10,78,2026-03
TAMPINES,592474,94.1,4 ROOM,06-10,85,2026-01
TAMPINES,463446,76.4,5 ROOM,11-15,89,2026-03
TAMPINES,569116,97.0,5 ROOM,01-05,87,2026-02
TAMPINES,721966,119.5,4 ROOM,01-05,93,2026-03
TAMPINES,670474,117.3,4 ROOM,01-05,64,2026-01
TAMPINES,679028,107.2,4 ROOM,11-15,79,2026-01
TAMPINES,565203,102.7,5 ROOM,11-15,60,2026-03
TAMPINES,695019,118.2,5 ROOM,11-15,91,2026-02
TAMPINES,500498,77.2,5 ROOM,01-05,87,2026-01
TAMPINES,622743,104.8,4 ROOM,01-05,86,2026-02
TAMPINES,574624,102.6,4 ROOM,11-15,83,2026-01
TAMPINES,647109,119.1,5 ROOM,11-15,79,2026-01
TAMPINES,402416,83.1,4 ROOM,06-10,92,2026-01
TAMPINES,541950,100.7,4 ROOM,01-05,78,2026-03
TAMPINES,450750,82.9,4 ROOM,06-10,83,2026-03
TAMPINES,508597,86.4,4 ROOM,11-15,70,2026-01
TAMPINES,710419,114.9,5 ROOM,06-10,66,2026-03
TAMPINES,599007,104.1,4 ROOM,01-05,88,2026-02
TAMPINES,547351,91.6,4 ROOM,01-05,80,2026-03
TAMPINES,526060,105.0,4 ROOM,11-15,69,2026-02
TAMPINES,587583,104.6,5 ROOM,06-10,68,2026-02
TAMPINES,524450,101.6,5 ROOM,06-10,67,2026-02
TAMPINES,580720,102.4,5 ROOM,01-05,90,2026-02
TAMPINES,676288,119.1,4 ROOM,06-10,81,2026-03
TAMPINES,409795,78.1,4 ROOM,11-15,81,2026-03
TAMPINES,515379,94.9,5 ROOM,11-15,91,2026-02
TAMPINES,508534,84.8,4 ROOM,01-05,78,2026-01
TAMPINES,740218,119.1,4 ROOM,11-15,90,2026-01
TAMPINES,466889,98.3,4 ROOM,11-15,86,2026-01
TAMPINES,502928,94.6,5 ROOM,01-05,76,2026-03
TAMPINES,430703,80.0,4 ROOM,01-05,75,2026-02
TAMPINES,583971,102.2,4 ROOM,11-15,72,2026-02
TAMPINES,438934,74.1,5 ROOM,01-05,91,2026-03
TENGAH,479605,81.5,5 ROOM,11-15,93,2026-03
TENGAH,684059,119.0,5 ROOM,06-10,75,2026-03
TENGAH,407107,82.3,5 ROOM,01-05,73,2026-01
TENGAH,402554,73.2,4 ROOM,11-15,74,2026-03
TENGAH,682432,119.0,5 ROOM,06-10,65,2026-01
TENGAH,546951,105.4,4 ROOM,01-05,77,2026-02
TENGAH,453343,77.1,5 ROOM,06-10,93,2026-03
TENGAH,442487,96.4,5 ROOM,01-05,67,2026-03
TENGAH,568590,114.8,5 ROOM,01-05,72,2026-03
TENGAH,445395,89.4,5 ROOM,06-10,70,2026-02
