lat,lon,name,stop_code,route_count
1.2821,103.81722,Bt Merah Int,10009,16
1.27774,103.8375,Bef Neil Rd,10011,13
1.27832,103.83763,Aft Hosp Dr,10017,18
1.27901,103.8386,Outram Pk Stn Exit 6/SGH,10018,8
1.27745,103.83839,Blk 3,10021,5
1.27606,103.83519,Bef Kampong Bahru Ter,10041,16
1.27623,103.83484,Opp Kampong Bahru Ter,10049,16
1.27741,103.83214,Blk 149,10051,7
1.2774,103.83275,Opp Blk 149,10059,7
1.2786,103.82949,Blk 140,10061,7
1.27855,103.83008,Opp Blk 140,10069,7
1.28045,103.82639,Blk 111,10071,10
1.2804,103.82709,Blk 201,10079,10
1.28228,103.82242,Opp Blk 120,10081,12
1.28292,103.82166,Blk 119,10089,12
1.28394,103.81784,Bt Merah Town Ctr,10091,8
1.28421,103.81766,Opp Bt Merah Town Ctr,10099,8
1.28506,103.81378,Opp Bt Merah Sec Sch,10101,11
1.28535,103.81371,Bt Merah Sec Sch,10109,7
1.28593,103.80935,Opp Blk 28,10111,10
1.28598,103.81123,Opp Pacific Tech Ctr,10119,11
1.2826,103.82891,Blk 126 CP,10121,2
1.28232,103.82857,Blk 121,10129,2
1.28619,103.80687,Opp Blk 2,10131,10
1.28635,103.8081,Blk 1,10139,10
1.28584,103.83238,Blk 18,10141,12
1.28607,103.83283,Blk 1,10149,12
1.28572,103.82853,Ctrl Green Condo,10151,12
1.28593,103.82669,Opp Tiong Bahru Stn/Plaza,10161,12
1.286,103.82748,Tiong Bahru Stn/Plaza,10169,13
1.28737,103.82346,Opp Tiong Bahru Pk,10171,8
1.28722,103.82396,Tiong Bahru Pk,10179,9
1.2885,103.8211,Bef Ar-Rabitah Mque,10181,7
1.28859,103.82183,Blk 104A CP,10189,9
1.2886,103.81903,Blk 78,10191,7
1.28876,103.81937,Delta Swim Cplx,10199,9
1.28928,103.81663,Opp Redhill Stn,10201,6
1.28955,103.81673,Redhill Stn,10209,8
1.29075,103.81144,BMW Eurokars Auto,10211,1
1.29084,103.81181,Skoda S'pore/Volkswagen Grp,10219,1
1.29033,103.83112,Ganges Ctr,10221,4
1.29052,103.83178,Opp Harvest Mansions,10229,4
1.29042,103.82788,Blk 51 CP,10231,4
1.29061,103.82865,Blk 79,10239,4
1.29062,103.82362,Gan Eng Seng Sec Sch,10241,5
1.29088,103.82408,Opp Gan Eng Seng Sec Sch,10249,5
1.2909,103.82047,Delta Sports Hall,10261,5
1.29125,103.82058,Opp Delta Sports Hall,10269,5
1.29116,103.81758,Opp Tanglin View,10271,5
1.29151,103.81758,Tanglin View,10279,5
1.29154,103.81445,SIS Bldg,10281,9
1.29191,103.81341,Opp Cycle & Carriage,10287,5
1.29187,103.81441,Opp SIS Bldg,10289,5
1.29216,103.81066,Opp Dawson Pl,10291,9
1.29233,103.81146,Aft Dawson Pl,10299,10
1.29428,103.81588,Opp Grace Ably of God Ch,10321,4
1.29365,103.81597,Crescent Girls' Sch,10329,4
1.28136,103.81834,Bef Bt Merah Ctrl,10331,6
1.28116,103.81857,Aft Bt Merah Ctrl,10339,7
1.28485,103.82059,Opp Blk 116,10341,5
1.28498,103.82101,Blk 116,10349,6
1.28676,103.82205,Blk 95B,10351,5
1.28724,103.82259,Opp Blk 95C,10359,6
1.28038,103.82353,Cendex Ctr,10361,8
1.28037,103.82387,Opp Cendex Ctr,10369,8
1.28365,103.8245,Blk 129,10371,8
1.28374,103.8249,Blk 25B,10379,8
1.28907,103.82559,Opp Blk 48,10381,6
1.28876,103.82573,Blk 48,10389,6
1.27627,103.83126,Opp Melati Blk 2,10391,4
1.27588,103.83019,Melati Blk 2,10399,4
