estate,n_2021_partial,median_psf_2021_partial,n_2022,median_psf_2022,n_2023,median_psf_2023,n_2024,median_psf_2024,n_2025,median_psf_2025,n_2026_ytd,median_psf_2026_ytd,growth_2022_2025_pct,cagr_2022_2025_pct,growth_2021partial_2026ytd_pct,median_price_m_2022,median_price_m_2025,sample_grade_2022_2025
QUEENSTOWN,0,,2,1340.500000,3,1587.000000,1,1759.000000,6,2410.000000,0,,79.783663,21.595287,,7.225000,10.990000,too_thin
SELETAR,104,1251.000000,113,1390.000000,103,1950.000000,183,2018.000000,167,2056.000000,82,2046.500000,47.913669,13.938222,63.589129,4.085000,4.223000,strong
ANG MO KIO,47,1283.000000,67,1564.000000,34,1746.000000,41,1853.000000,70,2109.500000,37,1861.000000,34.878517,10.487783,45.050663,3.880000,4.370000,strong
CHANGI,48,1003.500000,60,1146.000000,29,1315.000000,51,1379.000000,49,1504.000000,26,1423.500000,31.239092,9.484945,41.853513,2.315000,3.680000,strong
JURONG EAST,25,946.000000,33,1106.000000,24,1251.500000,23,1260.000000,27,1394.000000,14,1455.500000,26.039783,8.019596,53.858351,2.200000,2.462888,strong
TAMPINES,19,1005.000000,20,1193.000000,10,1358.000000,15,1307.000000,18,1451.500000,8,1398.000000,21.668064,6.755977,39.104478,2.390000,2.850000,usable
MARINE PARADE,214,1769.000000,222,1907.500000,156,2040.500000,220,2147.500000,244,2314.500000,124,2604.500000,21.336828,6.659009,47.230073,4.912944,5.675000,strong
SERANGOON,268,1437.500000,278,1580.500000,220,1723.500000,322,1862.500000,330,1912.000000,150,2141.000000,20.974375,6.552701,48.939130,4.010000,4.834000,strong
GEYLANG,75,1483.000000,67,1744.000000,57,1753.000000,54,1792.500000,79,2075.000000,33,2052.000000,18.979358,5.963723,38.368173,4.300000,5.060000,strong
CLEMENTI,37,1413.000000,38,1723.000000,31,1772.000000,50,2040.000000,30,2050.000000,27,2266.000000,18.978526,5.963476,60.368011,4.575000,4.715000,strong
BEDOK,110,1201.000000,129,1301.000000,79,1373.000000,142,1540.000000,167,1545.000000,75,1739.000000,18.754804,5.897018,44.796003,3.768888,4.300000,strong
BISHAN,105,1602.000000,113,1773.000000,103,1915.000000,122,1994.000000,138,2076.500000,72,2173.000000,17.117879,5.408201,35.642946,4.250000,5.065000,strong
CHOA CHU KANG,70,1313.500000,101,1339.000000,65,1412.000000,69,1446.000000,70,1550.500000,23,1416.000000,15.795370,5.009937,7.803578,3.608888,4.035000,strong
TOA PAYOH,7,1098.000000,7,2383.000000,4,333.500000,7,2140.000000,4,2738.500000,6,2189.500000,14.918170,4.744100,99.408015,3.300000,4.039000,too_thin
MACPHERSON,60,1665.000000,66,1859.000000,54,1996.500000,108,2058.000000,106,2121.000000,42,2336.500000,14.093599,4.492975,40.330330,4.175000,4.630000,strong
WOODLANDS,26,973.500000,18,962.000000,13,1070.000000,20,1031.000000,15,1097.000000,3,1051.000000,14.033264,4.474552,7.960966,2.650000,3.450000,usable
SEMBAWANG,40,1163.000000,52,1299.000000,34,1509.000000,28,1237.000000,40,1481.000000,16,1540.500000,14.010778,4.467685,32.459157,3.312500,3.928888,strong
BUKIT TIMAH,187,1851.000000,173,2087.000000,170,2104.500000,163,2200.000000,224,2326.000000,103,2327.000000,11.451845,3.680183,25.715829,7.500000,8.465000,strong
RIVER VALLEY,10,3804.000000,6,3673.000000,7,3853.000000,4,3508.000000,13,3995.000000,4,3628.000000,8.766676,2.840762,-4.626709,6.090000,6.880000,thin
NOVENA,72,2245.000000,91,2274.000000,65,2598.000000,59,2567.000000,74,2389.500000,48,2820.000000,5.079156,1.665170,25.612472,9.100000,11.550000,strong
CENTRAL AREA,2,3155.000000,2,3315.000000,2,3572.000000,3,3497.000000,3,3118.000000,2,4566.500000,-5.942685,-2.021484,44.738510,5.600000,5.900000,too_thin
BOON KENG,2,1682.500000,4,2928.500000,3,1950.000000,6,2083.000000,3,2673.000000,3,2942.000000,-8.724603,-2.997132,74.858841,4.990000,4.200000,too_thin
BUKIT MERAH,19,1751.000000,19,1997.000000,9,2210.000000,2,1810.500000,6,1740.000000,6,1808.500000,-12.869304,-4.488193,3.283838,17.600000,13.019444,thin
