planning_area,transacted_price,area_sqm,property_type,tenure,project_age_years,sale_month,type_of_sale
MARINE PARADE,2380000.0,113.0,Condominium,99 yrs lease commencing from 1998,28,26-Jun,Resale
MARINE PARADE,1908000.0,69.0,Condominium,99 yrs lease commencing from 2022,4,26-Jun,Sub Sale
MARINE PARADE,1600000.0,63.0,Apartment,99 yrs lease commencing from 2016,10,26-Jun,Resale
MARINE PARADE,2990000.0,110.0,Condominium,Freehold,36,26-Jun,Resale
MARINE PARADE,2065000.0,119.0,Condominium,99 yrs lease commencing from 1995,31,26-Jun,Resale
MARINE PARADE,2680000.0,128.0,Condominium,Freehold,36,26-Jun,Resale
MARINE PARADE,3135000.0,105.0,Apartment,Freehold,36,26-Jun,Resale
MARINE PARADE,1368000.0,74.0,Apartment,Freehold,36,26-Jun,Resale
MARINE PARADE,5600000.0,223.0,Condominium,Freehold,36,26-Jun,Resale
MARINE PARADE,3900000.0,253.0,Condominium,99 yrs lease commencing from 1997,29,26-Jun,Resale
MARINE PARADE,1800000.0,107.0,Condominium,99 yrs lease commencing from 1995,31,26-Jun,Resale
MARINE PARADE,1050000.0,58.0,Apartment,Freehold,36,26-Jun,Resale
MARINE PARADE,2750000.0,137.0,Condominium,Freehold,36,26-Jun,Resale
MARINE PARADE,2700000.0,120.0,Condominium,103 yrs lease commencing from 2009,17,26-Jun,Resale
MARINE PARADE,3880000.0,149.0,Condominium,Freehold,36,26-Jun,Resale
MARINE PARADE,3575000.0,156.0,Condominium,99 yrs lease commencing from 2001,25,26-Jun,Resale
MARINE PARADE,1035000.0,52.0,Apartment,Freehold,36,26-Jun,Resale
MARINE PARADE,1250000.0,118.0,Apartment,99 yrs lease commencing from 1976,50,26-Jun,Resale
MARINE PARADE,2350000.0,148.0,Apartment,Freehold,36,26-Jun,Resale
MARINE PARADE,2450000.0,142.0,Condominium,Freehold,36,26-May,Resale
MARINE PARADE,1980000.0,88.0,Condominium,Freehold,36,26-May,Resale
MARINE PARADE,2050000.0,107.0,Condominium,99 yrs lease commencing from 2001,25,26-May,Resale
