planning_area,transacted_price,area_sqm,property_type,tenure,project_age_years,sale_month,project_name,street_name,postal_district,market_segment,floor_level,type_of_sale,type_of_area,unit_price_psf,unit_price_psm,source_quality
CENTRAL AREA,4120000,69.1,Terrace House,Freehold,5.0,2026-06,BLAIR PLAIN CONSERVATION AREA,SPOTTISWOODE PARK ROAD,02,Rest of Central Region,-,Resale,Land,5539,59624,not_clean
CENTRAL AREA,6000000,155.1,Terrace House,Freehold,5.0,2026-03,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3594,38685,not_clean
CENTRAL AREA,4000000,119.2,Terrace House,Freehold,5.0,2025-10,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3118,33557,not_clean
CENTRAL AREA,5900000,189.3,Terrace House,Freehold,5.0,2025-09,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,2896,31167,not_clean
CENTRAL AREA,6633333,138.6,Terrace House,Freehold,5.0,2025-03,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,4446,47860,not_clean
CENTRAL AREA,5200000,131.5,Terrace House,Freehold,5.0,2024-10,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3674,39544,not_clean
CENTRAL AREA,6100000,173.8,Terrace House,Freehold,5.0,2024-06,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3261,35098,not_clean
CENTRAL AREA,4950000,131.5,Terrace House,Freehold,5.0,2024-01,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3497,37643,not_clean
CENTRAL AREA,4000000,82.0,Terrace House,Freehold,5.0,2023-09,BLAIR PLAIN CONSERVATION AREA,SPOTTISWOODE PARK ROAD,02,Rest of Central Region,-,Resale,Land,4532,48780,not_clean
CENTRAL AREA,4200000,149.4,Terrace House,Freehold,5.0,2023-03,BLAIR PLAIN CONSERVATION AREA,NEIL ROAD,02,Rest of Central Region,-,Resale,Land,2612,28112,not_clean
CENTRAL AREA,5900000,136.7,Terrace House,Freehold,5.0,2022-12,BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD,02,Rest of Central Region,-,Resale,Land,4010,43160,not_clean
CENTRAL AREA,5300000,187.9,Terrace House,Freehold,5.0,2022-10,BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD,02,Rest of Central Region,-,Resale,Land,2620,28206,not_clean
CENTRAL AREA,5950000,157.8,Terrace House,Freehold,5.0,2021-08,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,3503,37706,not_clean
CENTRAL AREA,5850000,193.6,Terrace House,Freehold,5.0,2021-06,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Rest of Central Region,-,Resale,Land,2807,30217,not_clean
QUEENSTOWN,9980000,388.8,Semi-Detached House,Freehold,5.0,2025-12,LANDED HOUSING DEVELOPMENT,JERVOIS LANE,03,Rest of Central Region,-,Resale,Land,2385,25669,not_clean
QUEENSTOWN,15078688,478.9,Detached House,Freehold,5.0,2025-11,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,2925,31486,not_clean
QUEENSTOWN,4900000,82.9,Terrace House,Freehold,5.0,2025-11,TIONG BAHRU ESTATE,ENG HOON STREET,03,Rest of Central Region,-,Resale,Land,5491,59107,not_clean
QUEENSTOWN,12000000,519.8,Detached House,Freehold,5.0,2025-10,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,2145,23086,not_clean
QUEENSTOWN,8800000,335.7,Semi-Detached House,Freehold,5.0,2025-02,SRI MENANTI ESTATE,JERVOIS LANE,03,Rest of Central Region,-,Resale,Land,2435,26214,not_clean
QUEENSTOWN,12300000,526.6,Detached House,Freehold,5.0,2025-01,LANDED HOUSING DEVELOPMENT,STIRLING ROAD,03,Rest of Central Region,-,Resale,Land,2170,23357,not_clean
QUEENSTOWN,8200000,433.1,Detached House,Freehold,5.0,2024-05,SHEPHERD'S HILL ESTATE,MERINO CRESCENT,03,Rest of Central Region,-,Resale,Land,1759,18933,not_clean
QUEENSTOWN,8480000,468.0,Detached House,Freehold,5.0,2023-12,SHEPHERD'S HILL ESTATE,SHEPHERDS DRIVE,03,Rest of Central Region,-,Resale,Land,1683,18120,not_clean
QUEENSTOWN,8250000,483.0,Detached House,Freehold,5.0,2023-11,SHEPHERD'S HILL ESTATE,BARBARY WALK,03,Rest of Central Region,-,Resale,Land,1587,17081,not_clean
QUEENSTOWN,8300000,497.1,Detached House,Freehold,5.0,2023-08,LANDED HOUSING DEVELOPMENT,STIRLING ROAD,03,Rest of Central Region,-,Resale,Land,1551,16697,not_clean
