estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.13872414428818836,-0.1382255550550906,decimal,4.232,4.859328451256775,A,1.1482345111665346,4.86
SEMBAWANG,hdb_resale,7097,-0.13548036713841327,-0.13491008356690018,decimal,3.978,4.552557959972101,A,1.1444338763127453,4.55
CHOA CHU KANG,hdb_resale,10482,-0.16319528312541465,-0.16272954316215515,decimal,3.816,4.490357395746472,B+,1.176718395111759,4.49
HOUGANG,hdb_resale,11764,-0.051206007102229556,-0.05107575610908998,decimal,4.207,4.427457806314762,B+,1.0524026161908158,4.43
YISHUN,hdb_resale,15822,-0.09374292852272159,-0.09356551949826392,decimal,4.001,4.393428269754574,B+,1.098082546801943,4.39
JURONG EAST,hdb_resale,4743,-0.07505280130845549,-0.07458106779928411,decimal,4.008,4.318350201794906,B+,1.0774326850785694,4.32
TOA PAYOH,hdb_resale,7637,0.04922939323617115,0.04903676485517938,decimal,4.525,4.3084612090215275,B+,0.9521461235406691,4.31
BEDOK,hdb_resale,12109,-0.0017229914525813683,-0.001718733297576944,decimal,4.284,4.291369384636074,B+,1.0017202111662171,4.29
SENGKANG,hdb_resale,18916,-0.08114528764031981,-0.08101679832177072,decimal,3.86,4.185741973597645,B+,1.0843891123309963,4.19
CANBERRA,hdb_resale,7097,-0.13548036713841327,-0.13491008356690018,decimal,3.595,4.11423978534432,B+,1.1444338763127453,4.11
JURONG WEST,hdb_resale,15342,-0.11769065203691209,-0.11746096692364585,decimal,3.631,4.083559601321121,B+,1.1246377310165578,4.08
BUKIT BATOK,hdb_resale,9855,-0.05684292576157013,-0.05667041308854349,decimal,3.758,3.977117513552534,B,1.058306948789924,3.98
WOODLANDS,hdb_resale,16583,-0.11698609385593706,-0.11677483864521658,decimal,3.402,3.823393322461076,B,1.1238663499297694,3.82
ANG MO KIO,hdb_resale,9469,0.023099694205368948,0.023026740123240325,decimal,3.902,3.813176245517297,B,0.9772363520034077,3.81
PUNGGOL,hdb_resale,16881,-0.017150698186910063,-0.017120272963941075,decimal,3.727,3.7913565865792,B,1.017267664765012,3.79
LENTOR,hdb_resale,9469,0.023099694205368948,0.023026740123240325,decimal,3.771,3.6851582834048506,B,0.9772363520034077,3.69
WOODLEIGH,hdb_resale,7637,0.04922939323617115,0.04903676485517938,decimal,3.821,3.638150338048897,B,0.9521461235406691,3.64
KALLANG,hdb_resale,14208,0.14160773277638672,0.14130935997239244,decimal,4.122,3.578805632336231,B,0.8682206774226664,3.58
TAMPINES EAST,hdb_resale,16029,0.05693877316294049,0.056832405195142564,decimal,3.783,3.573998297770372,B,0.9447523916918773,3.57
TAMPINES WEST,hdb_resale,16029,0.05693877316294049,0.056832405195142564,decimal,3.777,3.5683297834202206,B,0.9447523916918773,3.57
PASIR RIS,hdb_resale,6719,-0.025167181849159448,-0.02505531113416522,decimal,3.475,3.563167121186747,B,1.025371833435035,3.56
BOON KENG,hdb_resale,14208,0.14160773277638672,0.14130935997239244,decimal,4.086,3.547549687949015,B,0.8682206774226664,3.55
CLEMENTI,hdb_resale,5181,0.1005756391101773,0.09999661988674916,decimal,3.89,3.519829453561952,B,0.9048404764940751,3.52
CENTRAL AREA,hdb_resale,1815,0.23191400907158055,0.22814304957449322,decimal,4.343,3.4570730922574935,C,0.7960103827440694,3.46
GEYLANG,hdb_resale,5796,0.10760259312904008,0.1070485118050013,decimal,3.84,3.4501712061901233,C,0.8984820849453447,3.45
BUKIT MERAH,hdb_resale,8897,0.1921007030776778,0.19145513109467016,decimal,4.146,3.4235871748541515,C,0.8257566750733603,3.42
TAMPINES,hdb_resale,16029,0.05693877316294049,0.056832405195142564,decimal,3.591,3.3926058385655318,C,0.9447523916918773,3.39
HOLLAND VILLAGE,hdb_resale,6353,0.24979203674927852,0.24861801808995576,decimal,4.07,3.1741027099540893,C,0.7798778157135354,3.17
BUKIT TIMAH,hdb_resale,567,0.3920173434369172,0.37231797944514794,decimal,4.024,3.018,C,0.75,3.02
BISHAN,hdb_resale,4063,0.2738100377347621,0.2718031232143562,decimal,3.748,2.855991993742102,D,0.7620042672737731,2.86
DOVER,hdb_resale,6353,0.24979203674927852,0.24861801808995576,decimal,3.43,2.6749809078974267,D,0.7798778157135354,2.67
SERANGOON,hdb_resale,4095,0.15823504716994918,0.15708424682690017,decimal,3.081,2.6331213637529602,D,0.8546320557458488,2.63
QUEENSTOWN,hdb_resale,6353,0.24979203674927852,0.24861801808995576,decimal,3.311,2.582175447827516,D,0.7798778157135354,2.58
MARINE PARADE,hdb_resale,1419,0.33814963350303984,0.3311486058942959,decimal,2.824,2.118,F,0.75,2.12
