estate,segment,n,resid_raw,resid_shrunk,trust,score,value_score,value_band,mult,reported
BUKIT PANJANG,hdb_resale,8317,-0.13501526704753175,-0.13453000791114147,decimal,4.106,4.697259842704943,A,1.1439989875072925,4.7
SEMBAWANG,hdb_resale,7097,-0.1356466370913214,-0.1350756536322554,decimal,3.86,4.418246231328136,B+,1.1446233759917452,4.42
BEDOK,hdb_resale,12109,-0.012707281503136159,-0.01267587706742335,decimal,4.355,4.410554803692767,B+,1.0127565565310601,4.41
TOA PAYOH,hdb_resale,7637,0.04230554654641239,0.042140010300635855,decimal,4.586,4.396761178754342,B+,0.9587355383241041,4.4
CHOA CHU KANG,hdb_resale,10482,-0.16708334793682056,-0.16660651189818584,decimal,3.715,4.388489937259473,B+,1.181289350540908,4.39
JURONG EAST,hdb_resale,4743,-0.08346059157758035,-0.08293601212077097,decimal,3.998,4.343716196495718,B+,1.0864722852665627,4.34
HOUGANG,hdb_resale,11764,-0.05053608454138825,-0.05040753760767065,decimal,4.108,4.3203820233360215,B+,1.0516996161966947,4.32
YISHUN,hdb_resale,15822,-0.09511352642602855,-0.09493352353725712,decimal,3.926,4.316973678546352,B+,1.0995857561248987,4.32
CANBERRA,hdb_resale,7097,-0.1356466370913214,-0.1350756536322554,decimal,3.586,4.104619426306399,B+,1.1446233759917452,4.1
SENGKANG,hdb_resale,18916,-0.08172957243243495,-0.08160015792947935,decimal,3.749,4.067747049442186,B+,1.085021885687433,4.07
BUKIT BATOK,hdb_resale,9855,-0.05877736020009294,-0.05859897670934671,decimal,3.644,3.8639151465519292,B,1.06034993044784,3.86
WOODLANDS,hdb_resale,16583,-0.1267015115880863,-0.1264727121329809,decimal,3.346,3.7971026473893086,B,1.1348184839776774,3.8
ANG MO KIO,hdb_resale,9469,0.0227778351917145,0.02270589761347177,decimal,3.77,3.6853632785913506,B,0.9775499412709153,3.69
PUNGGOL,hdb_resale,16881,-0.015333443680226821,-0.015306242254502115,decimal,3.608,3.6636497297075348,B,1.0154239827349043,3.66
WOODLEIGH,hdb_resale,7637,0.04230554654641239,0.042140010300635855,decimal,3.784,3.62785527701841,B,0.9587355383241041,3.63
BOON KENG,hdb_resale,7104,0.13705435552339473,0.1364780125649313,decimal,4.082,3.561240900992022,B,0.8724255024478251,3.56
TAMPINES WEST,hdb_resale,16029,0.05239162456030044,0.052293751172369354,decimal,3.728,3.5380585540780762,B,0.9490500413299561,3.54
CENTRAL AREA,hdb_resale,1815,0.22721729700026572,0.2235227068051523,decimal,4.381,3.503471387726581,B,0.7996967331035336,3.5
TAMPINES EAST,hdb_resale,16029,0.05239162456030044,0.052293751172369354,decimal,3.679,3.4915551020529083,C,0.9490500413299561,3.49
BUKIT MERAH,hdb_resale,8897,0.18571336042541908,0.18508925369160717,decimal,4.178,3.4720437913784323,C,0.8310301080369632,3.47
LENTOR,hdb_resale,9469,0.0227778351917145,0.02270589761347177,decimal,3.538,3.4585716922164984,C,0.9775499412709153,3.46
CLEMENTI,hdb_resale,5181,0.10002353221618066,0.09944769150106614,decimal,3.763,3.4067842804663933,C,0.9053373054654248,3.41
GEYLANG,hdb_resale,5796,0.10302690177380036,0.10249638219721431,decimal,3.748,3.3828751438269458,C,0.9025814151085767,3.38
PASIR RIS,hdb_resale,6719,-0.027625407714991113,-0.02750260993287918,decimal,3.284,3.3755720340171584,C,1.0278842978127767,3.38
TAMPINES,hdb_resale,16029,0.05239162456030044,0.052293751172369354,decimal,3.471,3.2941526934562777,C,0.9490500413299561,3.29
BUKIT TIMAH,hdb_resale,567,0.39074595019557634,0.3711104753114162,decimal,3.854,2.8905000000000003,D,0.75,2.89
BISHAN,hdb_resale,4063,0.26754328945803785,0.26558230761496004,decimal,3.67,2.8140067416748065,D,0.766759330156623,2.81
DOVER,hdb_resale,6353,0.23795393639377238,0.23683555662065794,decimal,3.382,2.6688073676954467,D,0.7891210430796708,2.67
SERANGOON,hdb_resale,4095,0.141643196639885,0.1406130643006916,decimal,3.069,2.6664252331305467,D,0.8688254262399957,2.67
QUEENSTOWN,hdb_resale,6353,0.23795393639377238,0.23683555662065794,decimal,3.314,2.615147136766029,D,0.7891210430796708,2.62
MARINE PARADE,hdb_resale,1419,0.3211709727801342,0.3145214702381188,decimal,2.76,2.07,F,0.75,2.07
