lat,lon,corridor
1.347500,103.980300,Changi 02L/20R runway
1.349676,103.980994,Changi 02L/20R runway
1.351853,103.981688,Changi 02L/20R runway
1.354029,103.982382,Changi 02L/20R runway
1.356206,103.983076,Changi 02L/20R runway
1.358382,103.983771,Changi 02L/20R runway
1.360559,103.984465,Changi 02L/20R runway
1.362735,103.985159,Changi 02L/20R runway
1.364912,103.985853,Changi 02L/20R runway
1.367088,103.986547,Changi 02L/20R runway
1.369265,103.987241,Changi 02L/20R runway
1.371441,103.987935,Changi 02L/20R runway
1.373618,103.988629,Changi 02L/20R runway
1.375794,103.989324,Changi 02L/20R runway
1.377971,103.990018,Changi 02L/20R runway
1.380147,103.990712,Changi 02L/20R runway
1.382324,103.991406,Changi 02L/20R runway
1.384500,103.992100,Changi 02L/20R runway
1.343208,103.978931,Changi 02L/20R corridor S
1.338917,103.977563,Changi 02L/20R corridor S
1.334625,103.976194,Changi 02L/20R corridor S
1.330334,103.974825,Changi 02L/20R corridor S
1.326042,103.973457,Changi 02L/20R corridor S
1.321751,103.972088,Changi 02L/20R corridor S
1.317459,103.970719,Changi 02L/20R corridor S
1.313168,103.969351,Changi 02L/20R corridor S
1.308876,103.967982,Changi 02L/20R corridor S
1.304585,103.966613,Changi 02L/20R corridor S
1.300293,103.965245,Changi 02L/20R corridor S
1.296001,103.963876,Changi 02L/20R corridor S
1.291710,103.962507,Changi 02L/20R corridor S
1.287418,103.961139,Changi 02L/20R corridor S
1.283127,103.959770,Changi 02L/20R corridor S
1.278835,103.958402,Changi 02L/20R corridor S
1.274544,103.957033,Changi 02L/20R corridor S
1.270252,103.955664,Changi 02L/20R corridor S
1.265961,103.954296,Changi 02L/20R corridor S
1.261669,103.952927,Changi 02L/20R corridor S
1.257378,103.951558,Changi 02L/20R corridor S
1.253086,103.950190,Changi 02L/20R corridor S
1.248794,103.948821,Changi 02L/20R corridor S
1.244503,103.947452,Changi 02L/20R corridor S
1.388792,103.993469,Changi 02L/20R corridor N
1.393083,103.994837,Changi 02L/20R corridor N
1.397375,103.996206,Changi 02L/20R corridor N
1.401666,103.997575,Changi 02L/20R corridor N
1.405958,103.998943,Changi 02L/20R corridor N
1.410249,104.000312,Changi 02L/20R corridor N
1.414541,104.001681,Changi 02L/20R corridor N
1.418832,104.003049,Changi 02L/20R corridor N
1.423124,104.004418,Changi 02L/20R corridor N
1.427415,104.005787,Changi 02L/20R corridor N
1.431707,104.007155,Changi 02L/20R corridor N
1.435999,104.008524,Changi 02L/20R corridor N
1.440290,104.009893,Changi 02L/20R corridor N
1.444582,104.011261,Changi 02L/20R corridor N
1.448873,104.012630,Changi 02L/20R corridor N
1.453165,104.013998,Changi 02L/20R corridor N
1.457456,104.015367,Changi 02L/20R corridor N
1.461748,104.016736,Changi 02L/20R corridor N
1.466039,104.018104,Changi 02L/20R corridor N
1.470331,104.019473,Changi 02L/20R corridor N
1.474622,104.020842,Changi 02L/20R corridor N
1.478914,104.022210,Changi 02L/20R corridor N
1.483206,104.023579,Changi 02L/20R corridor N
1.487497,104.024948,Changi 02L/20R corridor N
1.352500,103.983600,Changi 02C/20C runway
1.354676,103.984294,Changi 02C/20C runway
1.356853,103.984988,Changi 02C/20C runway
1.359029,103.985682,Changi 02C/20C runway
1.361206,103.986376,Changi 02C/20C runway
1.363382,103.987071,Changi 02C/20C runway
1.365559,103.987765,Changi 02C/20C runway
1.367735,103.988459,Changi 02C/20C runway
1.369912,103.989153,Changi 02C/20C runway
1.372088,103.989847,Changi 02C/20C runway
1.374265,103.990541,Changi 02C/20C runway
1.376441,103.991235,Changi 02C/20C runway
1.378618,103.991929,Changi 02C/20C runway
1.380794,103.992624,Changi 02C/20C runway
1.382971,103.993318,Changi 02C/20C runway
1.385147,103.994012,Changi 02C/20C runway
1.387324,103.994706,Changi 02C/20C runway
1.389500,103.995400,Changi 02C/20C runway
1.348208,103.982231,Changi 02C/20C corridor S
1.343917,103.980863,Changi 02C/20C corridor S
1.339625,103.979494,Changi 02C/20C corridor S
1.335334,103.978125,Changi 02C/20C corridor S
1.331042,103.976757,Changi 02C/20C corridor S
1.326751,103.975388,Changi 02C/20C corridor S
1.322459,103.974019,Changi 02C/20C corridor S
1.318168,103.972651,Changi 02C/20C corridor S
1.313876,103.971282,Changi 02C/20C corridor S
1.309585,103.969913,Changi 02C/20C corridor S
1.305293,103.968545,Changi 02C/20C corridor S
1.301001,103.967176,Changi 02C/20C corridor S
1.296710,103.965807,Changi 02C/20C corridor S
1.292418,103.964439,Changi 02C/20C corridor S
1.288127,103.963070,Changi 02C/20C corridor S
1.283835,103.961702,Changi 02C/20C corridor S
1.279544,103.960333,Changi 02C/20C corridor S
1.275252,103.958964,Changi 02C/20C corridor S
1.270961,103.957596,Changi 02C/20C corridor S
1.266669,103.956227,Changi 02C/20C corridor S
1.262378,103.954858,Changi 02C/20C corridor S
1.258086,103.953490,Changi 02C/20C corridor S
1.253794,103.952121,Changi 02C/20C corridor S
1.249503,103.950752,Changi 02C/20C corridor S
1.393792,103.996769,Changi 02C/20C corridor N
1.398083,103.998137,Changi 02C/20C corridor N
1.402375,103.999506,Changi 02C/20C corridor N
1.406666,104.000875,Changi 02C/20C corridor N
1.410958,104.002243,Changi 02C/20C corridor N
1.415249,104.003612,Changi 02C/20C corridor N
1.419541,104.004981,Changi 02C/20C corridor N
1.423832,104.006349,Changi 02C/20C corridor N
1.428124,104.007718,Changi 02C/20C corridor N
1.432415,104.009087,Changi 02C/20C corridor N
1.436707,104.010455,Changi 02C/20C corridor N
1.440999,104.011824,Changi 02C/20C corridor N
1.445290,104.013193,Changi 02C/20C corridor N
1.449582,104.014561,Changi 02C/20C corridor N
1.453873,104.015930,Changi 02C/20C corridor N
1.458165,104.017298,Changi 02C/20C corridor N
1.462456,104.018667,Changi 02C/20C corridor N
1.466748,104.020036,Changi 02C/20C corridor N
1.471039,104.021404,Changi 02C/20C corridor N
1.475331,104.022773,Changi 02C/20C corridor N
1.479622,104.024142,Changi 02C/20C corridor N
1.483914,104.025510,Changi 02C/20C corridor N
1.488206,104.026879,Changi 02C/20C corridor N
1.492497,104.028248,Changi 02C/20C corridor N
1.409300,103.861700,Seletar 03/21 runway
1.410800,103.863230,Seletar 03/21 runway
1.412300,103.864760,Seletar 03/21 runway
1.413800,103.866290,Seletar 03/21 runway
1.415300,103.867820,Seletar 03/21 runway
1.416800,103.869350,Seletar 03/21 runway
1.418300,103.870880,Seletar 03/21 runway
1.419800,103.872410,Seletar 03/21 runway
1.421300,103.873940,Seletar 03/21 runway
1.422800,103.875470,Seletar 03/21 runway
1.424300,103.877000,Seletar 03/21 runway
1.406147,103.858483,Seletar 03/21 corridor S
1.402993,103.855267,Seletar 03/21 corridor S
1.399840,103.852050,Seletar 03/21 corridor S
1.396686,103.848834,Seletar 03/21 corridor S
1.393533,103.845617,Seletar 03/21 corridor S
1.390379,103.842401,Seletar 03/21 corridor S
1.387226,103.839184,Seletar 03/21 corridor S
1.384072,103.835968,Seletar 03/21 corridor S
1.380919,103.832751,Seletar 03/21 corridor S
1.377765,103.829535,Seletar 03/21 corridor S
1.374612,103.826318,Seletar 03/21 corridor S
1.371458,103.823101,Seletar 03/21 corridor S
1.368305,103.819885,Seletar 03/21 corridor S
1.365151,103.816668,Seletar 03/21 corridor S
1.361998,103.813452,Seletar 03/21 corridor S
1.358844,103.810235,Seletar 03/21 corridor S
1.355691,103.807019,Seletar 03/21 corridor S
1.352537,103.803802,Seletar 03/21 corridor S
1.349384,103.800586,Seletar 03/21 corridor S
1.346231,103.797369,Seletar 03/21 corridor S
1.343077,103.794153,Seletar 03/21 corridor S
1.339924,103.790936,Seletar 03/21 corridor S
1.336770,103.787719,Seletar 03/21 corridor S
1.333617,103.784503,Seletar 03/21 corridor S
1.427453,103.880217,Seletar 03/21 corridor N
1.430607,103.883433,Seletar 03/21 corridor N
1.433760,103.886650,Seletar 03/21 corridor N
1.436914,103.889866,Seletar 03/21 corridor N
1.440067,103.893083,Seletar 03/21 corridor N
1.443221,103.896299,Seletar 03/21 corridor N
1.446374,103.899516,Seletar 03/21 corridor N
1.449528,103.902732,Seletar 03/21 corridor N
1.452681,103.905949,Seletar 03/21 corridor N
1.455835,103.909165,Seletar 03/21 corridor N
1.458988,103.912382,Seletar 03/21 corridor N
1.462142,103.915599,Seletar 03/21 corridor N
1.465295,103.918815,Seletar 03/21 corridor N
1.468449,103.922032,Seletar 03/21 corridor N
1.471602,103.925248,Seletar 03/21 corridor N
1.474756,103.928465,Seletar 03/21 corridor N
1.477909,103.931681,Seletar 03/21 corridor N
1.481063,103.934898,Seletar 03/21 corridor N
1.484216,103.938114,Seletar 03/21 corridor N
1.487369,103.941331,Seletar 03/21 corridor N
1.490523,103.944547,Seletar 03/21 corridor N
1.493676,103.947764,Seletar 03/21 corridor N
1.496830,103.950981,Seletar 03/21 corridor N
1.499983,103.954197,Seletar 03/21 corridor N
1.345000,103.902700,Paya Lebar 02/20 runway
1.347067,103.903420,Paya Lebar 02/20 runway
1.349133,103.904140,Paya Lebar 02/20 runway
1.351200,103.904860,Paya Lebar 02/20 runway
1.353267,103.905580,Paya Lebar 02/20 runway
1.355333,103.906300,Paya Lebar 02/20 runway
1.357400,103.907020,Paya Lebar 02/20 runway
1.359467,103.907740,Paya Lebar 02/20 runway
1.361533,103.908460,Paya Lebar 02/20 runway
1.363600,103.909180,Paya Lebar 02/20 runway
1.365667,103.909900,Paya Lebar 02/20 runway
1.367733,103.910620,Paya Lebar 02/20 runway
1.369800,103.911340,Paya Lebar 02/20 runway
1.371867,103.912060,Paya Lebar 02/20 runway
1.373933,103.912780,Paya Lebar 02/20 runway
1.376000,103.913500,Paya Lebar 02/20 runway
