estate,region,pm25_annual_mean,no2_annual_mean,haze_days_y,road_buffer_correction
WOODLANDS,north,12.32,14.04,0.0,0.0
PASIR RIS,east,14.84,25.78,0.0,0.0
JURONG EAST,west,13.98,24.99,0.0,0.0
BISHAN,central,15.8,19.51,0.0,0.0
BEDOK,east,14.84,25.78,0.0,0.0
TAMPINES,east,14.84,25.78,0.0,0.0
TOA PAYOH,central,15.8,19.51,0.0,0.0
QUEENSTOWN,south,12.01,22.41,0.0,0.0
SERANGOON,central,15.8,19.51,0.0,0.0
SEMBAWANG,north,12.32,14.04,0.0,0.0
MARINE PARADE,east,14.84,25.78,0.0,0.0
CANBERRA,north,12.32,14.04,0.0,0.0
BOON KENG,central,15.8,19.51,0.0,0.0
WOODLEIGH,central,15.8,19.51,0.0,0.0
DOVER,south,12.01,22.41,0.0,0.0
TENGAH,west,13.98,24.99,0.0,0.0
TAMPINES WEST,east,14.84,25.78,0.0,0.0
TAMPINES EAST,east,14.84,25.78,0.0,0.0
ANG MO KIO,central,15.8,19.51,0.0,0.0
LENTOR,central,15.8,19.51,0.0,0.0
SENGKANG,central,15.8,19.51,0.0,0.0
PUNGGOL,central,15.8,19.51,0.0,0.0
YISHUN,north,12.32,14.04,0.0,0.0
HOUGANG,central,15.8,19.51,0.0,0.0
CHOA CHU KANG,west,13.98,24.99,0.0,0.2
BUKIT BATOK,west,13.98,24.99,0.0,0.0
BUKIT MERAH,south,12.01,22.41,0.0,0.0
BUKIT PANJANG,west,13.98,24.99,0.0,0.0
GEYLANG,central,15.8,19.51,0.0,0.0
CLEMENTI,west,13.98,24.99,0.0,0.0
CENTRAL AREA,south,12.01,22.41,0.0,0.0
BUKIT TIMAH,central,15.8,19.51,0.0,0.0
JURONG WEST,central,15.8,19.51,0.0,0.0
KALLANG,central,15.8,19.51,0.0,0.0
HOLLAND VILLAGE,central,15.8,19.51,0.0,0.0
