estate,n_active_permits_500m,total_gfa_active,max_remaining_months,severity_score
WOODLANDS,4,3950,24,714.0
PASIR RIS,1,150,0,0.0
JURONG EAST,5,4000,36,1068.0
BISHAN,1,150,0,0.0
BEDOK,4,1800,12,168.0
TAMPINES,2,1200,24,288.0
TOA PAYOH,1,600,24,144.0
QUEENSTOWN,0,0,0,0.0
SERANGOON,5,1950,24,348.0
SEMBAWANG,2,2300,36,756.0
MARINE PARADE,1,600,12,72.0
CANBERRA,1,2000,36,720.0
BOON KENG,0,0,0,0.0
WOODLEIGH,0,0,0,0.0
DOVER,1,600,12,72.0
TENGAH,5,5250,24,552.0
TAMPINES WEST,0,0,0,0.0
TAMPINES EAST,0,0,0,0.0
ANG MO KIO,0,0,0,0.0
LENTOR,7,5100,24,360.0
SENGKANG,2,2350,12,240.0
PUNGGOL,2,2350,12,240.0
YISHUN,2,160,36,38.4
HOUGANG,1,150,12,18.0
CHOA CHU KANG,3,630,12,9.6
BUKIT BATOK,0,0,0,0.0
BUKIT MERAH,0,0,0,0.0
BUKIT PANJANG,2,750,12,72.0
GEYLANG,3,1700,12,204.0
CLEMENTI,1,2000,36,720.0
CENTRAL AREA,2,1100,24,264.0
BUKIT TIMAH,5,2800,12,336.0
JURONG WEST,2,2150,36,720.0
KALLANG,0,0,0,0.0
HOLLAND VILLAGE,0,0,0,0.0
