estate,nearest_coast_m,nearest_reservoir_m,nearest_waterway_m,has_blue_within_800m,blue_type
WOODLANDS,889.6,4047.4,10501.7,False,NONE
PASIR RIS,1278.7,4195.7,676.4,True,WATERWAY
JURONG EAST,5072.1,1504.8,3613.5,False,NONE
BISHAN,6702.2,3775.7,1156.8,False,NONE
BEDOK,2613.1,1572.5,950.0,False,NONE
TAMPINES,3047.7,2595.5,711.9,True,WATERWAY
TOA PAYOH,4540.4,3662.1,2176.8,False,NONE
QUEENSTOWN,3839.8,4831.3,1318.0,False,NONE
SERANGOON,6925.2,4426.8,3228.1,False,NONE
SEMBAWANG,1891.1,4409.3,9591.8,False,NONE
MARINE PARADE,500.2,4555.4,2411.4,True,SEA
CANBERRA,1838.1,4338.0,9138.5,False,NONE
BOON KENG,2641.1,3348.7,344.8,True,WATERWAY
WOODLEIGH,4752.2,5964.4,1717.1,False,NONE
DOVER,3749.0,4304.8,999.2,False,NONE
TENGAH,7044.8,3008.9,6268.4,False,NONE
TAMPINES WEST,3489.0,1517.5,1233.5,False,NONE
TAMPINES EAST,3094.4,3758.0,1838.9,False,NONE
ANG MO KIO,5869.7,3279.8,1616.1,False,NONE
LENTOR,5089.6,2173.5,2702.4,False,NONE
SENGKANG,3371.2,892.7,1104.1,False,NONE
PUNGGOL,632.1,1655.8,1429.2,True,SEA
YISHUN,2467.0,2988.8,7965.2,False,NONE
HOUGANG,4384.6,2345.7,678.5,True,WATERWAY
CHOA CHU KANG,6062.4,4813.8,7416.2,False,NONE
BUKIT BATOK,7275.5,3316.7,4385.3,False,NONE
BUKIT MERAH,3326.3,4618.8,878.9,False,NONE
BUKIT PANJANG,7087.8,4430.7,5793.0,False,NONE
GEYLANG,2377.1,4237.0,621.5,True,WATERWAY
CLEMENTI,3584.5,2725.3,898.2,False,NONE
CENTRAL AREA,2610.1,2364.9,1002.3,False,NONE
BUKIT TIMAH,6295.6,4051.4,1158.8,False,NONE
