estate,dedicated_path_m_within_800m,pcn_continuous_m,bike_parks_at_mrt,provenance_note
WOODLANDS,0,0,0,unfetched (OneMap token required)
PASIR RIS,0,0,0,unfetched (OneMap token required)
JURONG EAST,0,0,0,unfetched (OneMap token required)
BISHAN,0,0,0,unfetched (OneMap token required)
BEDOK,0,0,0,unfetched (OneMap token required)
TAMPINES,0,0,0,unfetched (OneMap token required)
TOA PAYOH,0,0,0,unfetched (OneMap token required)
QUEENSTOWN,0,0,0,unfetched (OneMap token required)
SERANGOON,0,0,0,unfetched (OneMap token required)
SEMBAWANG,0,0,0,unfetched (OneMap token required)
MARINE PARADE,0,0,0,unfetched (OneMap token required)
CANBERRA,0,0,0,unfetched (OneMap token required)
BOON KENG,0,0,0,unfetched (OneMap token required)
WOODLEIGH,0,0,0,unfetched (OneMap token required)
DOVER,0,0,0,unfetched (OneMap token required)
TENGAH,0,0,0,unfetched (OneMap token required)
TAMPINES WEST,0,0,0,unfetched (OneMap token required)
TAMPINES EAST,0,0,0,unfetched (OneMap token required)
ANG MO KIO,0,0,0,unfetched (OneMap token required)
LENTOR,0,0,0,unfetched (OneMap token required)
SENGKANG,0,0,0,unfetched (OneMap token required)
PUNGGOL,0,0,0,unfetched (OneMap token required)
YISHUN,0,0,0,unfetched (OneMap token required)
HOUGANG,0,0,0,unfetched (OneMap token required)
CHOA CHU KANG,0,0,0,unfetched (OneMap token required)
BUKIT BATOK,0,0,0,unfetched (OneMap token required)
BUKIT MERAH,0,0,0,unfetched (OneMap token required)
BUKIT PANJANG,0,0,0,unfetched (OneMap token required)
GEYLANG,0,0,0,unfetched (OneMap token required)
CLEMENTI,0,0,0,unfetched (OneMap token required)
CENTRAL AREA,0,0,0,unfetched (OneMap token required)
BUKIT TIMAH,0,0,0,unfetched (OneMap token required)
