name,url,slug
1 KING ALBERT PARK,https://www.edgeprop.sg/condo-apartment/1-king-albert-park,1-king-albert-park
1 MOULMEIN RISE,https://www.edgeprop.sg/condo-apartment/1-moulmein-rise,1-moulmein-rise
10 SHELFORD,https://www.edgeprop.sg/condo-apartment/10-shelford,10-shelford
11 AMBER ROAD,https://www.edgeprop.sg/condo-apartment/11-amber-road,11-amber-road
111 EMERALD HILL,https://www.edgeprop.sg/condo-apartment/111-emerald-hill,111-emerald-hill
16 @ AMBER,https://www.edgeprop.sg/condo-apartment/16-amber,16-amber
18 SHELFORD,https://www.edgeprop.sg/condo-apartment/18-shelford,18-shelford
YGK GARDEN,https://www.edgeprop.sg/condo-apartment/ygk-garden,ygk-garden
2 RVG,https://www.edgeprop.sg/condo-apartment/2-rvg,2-rvg
21 RICHARDS,https://www.edgeprop.sg/condo-apartment/21-richards,21-richards
28 SHELFORD,https://www.edgeprop.sg/condo-apartment/28-shelford,28-shelford
283 STUDIO,https://www.edgeprop.sg/condo-apartment/283-studio,283-studio
2B COMPLEX,https://www.edgeprop.sg/condo-apartment/2b-complex,2b-complex
368 THOMSON,https://www.edgeprop.sg/condo-apartment/368-thomson,368-thomson
38 I SUITES,https://www.edgeprop.sg/condo-apartment/38-i-suites,38-i-suites
3@PHILLIPS,https://www.edgeprop.sg/condo-apartment/3phillips,3phillips
3@SANDILANDS,https://www.edgeprop.sg/condo-apartment/3sandilands,3sandilands
448@EAST COAST,https://www.edgeprop.sg/condo-apartment/448east-coast,448east-coast
57 @ KOVAN,https://www.edgeprop.sg/condo-apartment/57-kovan,57-kovan
76 SHENTON,https://www.edgeprop.sg/condo-apartment/76-shenton,76-shenton
8 @ MOUNT SOPHIA,https://www.edgeprop.sg/condo-apartment/8-mount-sophia,8-mount-sophia
8 EDEN GROVE,https://www.edgeprop.sg/condo-apartment/8-eden-grove,8-eden-grove
8 NAPIER,https://www.edgeprop.sg/condo-apartment/8-napier,8-napier
8 RODYK,https://www.edgeprop.sg/condo-apartment/8-rodyk,8-rodyk
833 M B RESIDENCES,https://www.edgeprop.sg/condo-apartment/833-m-b-residences,833-m-b-residences
8@WOODLEIGH,https://www.edgeprop.sg/condo-apartment/8woodleigh,8woodleigh
A TREASURE TROVE,https://www.edgeprop.sg/condo-apartment/a-treasure-trove,a-treasure-trove
336 RIVER VALLEY,https://www.edgeprop.sg/condo-apartment/336-river-valley,336-river-valley
AALTO,https://www.edgeprop.sg/condo-apartment/aalto,aalto
ABELIA,https://www.edgeprop.sg/condo-apartment/abelia,abelia
ADAM GARDEN,https://www.edgeprop.sg/condo-apartment/adam-garden,adam-garden
ADAM PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/adam-park-condominium,adam-park-condominium
ADAM PLACE,https://www.edgeprop.sg/condo-apartment/adam-place,adam-place
ADIS VILLAS,https://www.edgeprop.sg/condo-apartment/adis-villas,adis-villas
ADRIA,https://www.edgeprop.sg/condo-apartment/adria,adria
ADVANCE APARTMENTS,https://www.edgeprop.sg/condo-apartment/advance-apartments,advance-apartments
AFFLUENCE COURT,https://www.edgeprop.sg/condo-apartment/affluence-court,affluence-court
AIRSTREAM,https://www.edgeprop.sg/condo-apartment/airstream,airstream
AIRVIEW TOWERS,https://www.edgeprop.sg/condo-apartment/airview-towers,airview-towers
AKYAB APARTMENTS,https://www.edgeprop.sg/condo-apartment/akyab-apartments,akyab-apartments
ALBA,https://www.edgeprop.sg/condo-apartment/alba,alba
ALDEA BLANCA,https://www.edgeprop.sg/condo-apartment/aldea-blanca,aldea-blanca
ALEGRIA,https://www.edgeprop.sg/condo-apartment/alegria,alegria
ALESSANDREA,https://www.edgeprop.sg/condo-apartment/alessandrea,alessandrea
ALEXANDRA CENTRE,https://www.edgeprop.sg/condo-apartment/alexandra-centre,alexandra-centre
ALEXIS,https://www.edgeprop.sg/condo-apartment/alexis,alexis
ALLSWORTH PARK,https://www.edgeprop.sg/condo-apartment/allsworth-park,allsworth-park
ALOCASSIA APARTMENTS,https://www.edgeprop.sg/condo-apartment/alocassia-apartments,alocassia-apartments
ALPHA APARTMENTS,https://www.edgeprop.sg/condo-apartment/alpha-apartments,alpha-apartments
ALTEZ,https://www.edgeprop.sg/condo-apartment/altez,altez
AMANINDA,https://www.edgeprop.sg/condo-apartment/amaninda,amaninda
AMARANDA GARDENS,https://www.edgeprop.sg/condo-apartment/amaranda-gardens,amaranda-gardens
AMARYLLIS VILLE,https://www.edgeprop.sg/condo-apartment/amaryllis-ville,amaryllis-ville
AMBER APARTMENTS,https://www.edgeprop.sg/condo-apartment/amber-apartments,amber-apartments
AMBER LODGE,https://www.edgeprop.sg/condo-apartment/amber-lodge,amber-lodge
THE OPUS,https://www.edgeprop.sg/condo-apartment/the-opus,the-opus
AMBER POINT,https://www.edgeprop.sg/condo-apartment/amber-point,amber-point
AMBER RESIDENCES,https://www.edgeprop.sg/condo-apartment/amber-residences,amber-residences
AMBER TOWERS,https://www.edgeprop.sg/condo-apartment/amber-towers,amber-towers
AMBERGLADES,https://www.edgeprop.sg/condo-apartment/amberglades,amberglades
AMBERVILLE,https://www.edgeprop.sg/condo-apartment/amberville,amberville
AMPAS APARTMENTS,https://www.edgeprop.sg/condo-apartment/ampas-apartments,ampas-apartments
AMYTON COURT,https://www.edgeprop.sg/condo-apartment/amyton-court,amyton-court
ANCHOR GARDENS,https://www.edgeprop.sg/condo-apartment/anchor-gardens,anchor-gardens
ANDERSON 18,https://www.edgeprop.sg/condo-apartment/anderson-18,anderson-18
ANGEL COURT,https://www.edgeprop.sg/condo-apartment/angel-court,angel-court
ANGULLIA HEIGHTS,https://www.edgeprop.sg/condo-apartment/angullia-heights,angullia-heights
ANGULLIA MANSIONS,https://www.edgeprop.sg/condo-apartment/angullia-mansions,angullia-mansions
ANGULLIA VIEW,https://www.edgeprop.sg/condo-apartment/angullia-view,angullia-view
APARTMENT 8,https://www.edgeprop.sg/condo-apartment/apartment-8,apartment-8
APLETON VIEW,https://www.edgeprop.sg/condo-apartment/apleton-view,apleton-view
APOLLO GARDENS,https://www.edgeprop.sg/condo-apartment/apollo-gardens,apollo-gardens
AQUARINE GARDENS,https://www.edgeprop.sg/condo-apartment/aquarine-gardens,aquarine-gardens
AQUARIUS BY THE PARK,https://www.edgeprop.sg/condo-apartment/aquarius-by-the-park,aquarius-by-the-park
AQUENE,https://www.edgeprop.sg/condo-apartment/aquene,aquene
ARANG COURT,https://www.edgeprop.sg/condo-apartment/arang-court,arang-court
ARC AT TAMPINES,https://www.edgeprop.sg/condo-apartment/arc-at-tampines,arc-at-tampines
ARCHIPELAGO,https://www.edgeprop.sg/condo-apartment/archipelago,archipelago
ARDMORE II,https://www.edgeprop.sg/condo-apartment/ardmore-ii,ardmore-ii
ARDMORE PARK,https://www.edgeprop.sg/condo-apartment/ardmore-park,ardmore-park
ARDMORE POINT,https://www.edgeprop.sg/condo-apartment/ardmore-point,ardmore-point
ARDMORE VIEW,https://www.edgeprop.sg/condo-apartment/ardmore-view,ardmore-view
AROOZOO CENTRE,https://www.edgeprop.sg/condo-apartment/aroozoo-centre,aroozoo-centre
ARTHUR 118,https://www.edgeprop.sg/condo-apartment/arthur-118,arthur-118
ARTHUR COURT,https://www.edgeprop.sg/condo-apartment/arthur-court,arthur-court
ARTHUR MANSIONS,https://www.edgeprop.sg/condo-apartment/arthur-mansions,arthur-mansions
ASCENTIA SKY,https://www.edgeprop.sg/condo-apartment/ascentia-sky,ascentia-sky
ASIA GARDENS,https://www.edgeprop.sg/condo-apartment/asia-gardens,asia-gardens
ASIMONT @ BARKER,https://www.edgeprop.sg/condo-apartment/asimont-barker,asimont-barker
ASPEN HEIGHTS,https://www.edgeprop.sg/condo-apartment/aspen-heights,aspen-heights
ASPEN LINQ,https://www.edgeprop.sg/condo-apartment/aspen-linq,aspen-linq
ASPEN LOFT,https://www.edgeprop.sg/condo-apartment/aspen-loft,aspen-loft
ASTON LODGE,https://www.edgeprop.sg/condo-apartment/aston-lodge,aston-lodge
ASTON MANSIONS,https://www.edgeprop.sg/condo-apartment/aston-mansions,aston-mansions
ASTOR,https://www.edgeprop.sg/condo-apartment/astor,astor
ASTOR GREEN,https://www.edgeprop.sg/condo-apartment/astor-green,astor-green
CAIRNHILL ASTORIA,https://www.edgeprop.sg/condo-apartment/cairnhill-astoria,cairnhill-astoria
ASTORIA PARK,https://www.edgeprop.sg/condo-apartment/astoria-park,astoria-park
ASTRID MEADOWS,https://www.edgeprop.sg/condo-apartment/astrid-meadows,astrid-meadows
ASTRIDVILLE,https://www.edgeprop.sg/condo-apartment/astridville,astridville
ATRIUM RESIDENCES,https://www.edgeprop.sg/condo-apartment/atrium-residences,atrium-residences
ATTITUDE AT KIM YAM,https://www.edgeprop.sg/condo-apartment/attitude-at-kim-yam,attitude-at-kim-yam
AURA PARK,https://www.edgeprop.sg/condo-apartment/aura-park,aura-park
AURALIS,https://www.edgeprop.sg/condo-apartment/auralis,auralis
AUSTRAL VIEW,https://www.edgeprop.sg/condo-apartment/austral-view,austral-view
AUSTVILLE RESIDENCES,https://www.edgeprop.sg/condo-apartment/austville-residences,austville-residences
AUTUMN GLORY,https://www.edgeprop.sg/condo-apartment/autumn-glory,autumn-glory
AUTUMN TEN MANSIONS,https://www.edgeprop.sg/condo-apartment/autumn-ten-mansions,autumn-ten-mansions
AVA TOWERS,https://www.edgeprop.sg/condo-apartment/ava-towers,ava-towers
AVALON,https://www.edgeprop.sg/condo-apartment/avalon,avalon
AVENUE PARK,https://www.edgeprop.sg/condo-apartment/avenue-park,avenue-park
AVILA GARDENS,https://www.edgeprop.sg/condo-apartment/avila-gardens,avila-gardens
AVON PARK,https://www.edgeprop.sg/condo-apartment/avon-park,avon-park
AXIS @ SIGLAP,https://www.edgeprop.sg/condo-apartment/axis-siglap,axis-siglap
AZALEA PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/azalea-park-condominium,azalea-park-condominium
BAGNALL COURT,https://www.edgeprop.sg/condo-apartment/bagnall-court,bagnall-court
BALCON EAST,https://www.edgeprop.sg/condo-apartment/balcon-east,balcon-east
BALESTIER 288,https://www.edgeprop.sg/condo-apartment/balestier-288,balestier-288
BALESTIER COMPLEX,https://www.edgeprop.sg/condo-apartment/balestier-complex,balestier-complex
BALESTIER COURT,https://www.edgeprop.sg/condo-apartment/balestier-court,balestier-court
BALESTIER MANSION,https://www.edgeprop.sg/condo-apartment/balestier-mansion,balestier-mansion
BALESTIER PLAZA,https://www.edgeprop.sg/condo-apartment/balestier-plaza,balestier-plaza
BALESTIER POINT,https://www.edgeprop.sg/condo-apartment/balestier-point,balestier-point
