source_url,source_slug,name,row_count,pages_scraped,oldest_date,status,error
https://www.edgeprop.sg/condo-apartment/1-king-albert-park,1-king-albert-park,1 KING ALBERT PARK,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/1-moulmein-rise,1-moulmein-rise,1 MOULMEIN RISE,14,3,2012-07-11,ok,
https://www.edgeprop.sg/condo-apartment/10-shelford,10-shelford,10 SHELFORD,33,5,2011-06-15,ok,
https://www.edgeprop.sg/condo-apartment/11-amber-road,11-amber-road,11 AMBER ROAD,10,2,2013-05-14,ok,
https://www.edgeprop.sg/condo-apartment/111-emerald-hill,111-emerald-hill,111 EMERALD HILL,23,4,2012-10-08,ok,
https://www.edgeprop.sg/condo-apartment/16-amber,16-amber,16 @ AMBER,12,3,2012-12-17,ok,
https://www.edgeprop.sg/condo-apartment/18-shelford,18-shelford,18 SHELFORD,9,2,2011-01-03,ok,
https://www.edgeprop.sg/condo-apartment/ygk-garden,ygk-garden,YGK GARDEN,2,1,2017-02-13,ok,
https://www.edgeprop.sg/condo-apartment/2-rvg,2-rvg,2 RVG,11,3,2011-08-22,ok,
https://www.edgeprop.sg/condo-apartment/21-richards,21-richards,21 RICHARDS,12,3,2011-08-03,ok,
https://www.edgeprop.sg/condo-apartment/28-shelford,28-shelford,28 SHELFORD,10,2,2011-12-06,ok,
https://www.edgeprop.sg/condo-apartment/283-studio,283-studio,283 STUDIO,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/2b-complex,2b-complex,2B COMPLEX,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/368-thomson,368-thomson,368 THOMSON,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/38-i-suites,38-i-suites,38 I SUITES,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/3phillips,3phillips,3@PHILLIPS,5,2,2010-01-27,ok,
https://www.edgeprop.sg/condo-apartment/3sandilands,3sandilands,3@SANDILANDS,13,3,2011-09-12,ok,
https://www.edgeprop.sg/condo-apartment/448east-coast,448east-coast,448@EAST COAST,11,3,2011-06-10,ok,
https://www.edgeprop.sg/condo-apartment/57-kovan,57-kovan,57 @ KOVAN,4,2,2010-12-29,ok,
https://www.edgeprop.sg/condo-apartment/76-shenton,76-shenton,76 SHENTON,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/8-mount-sophia,8-mount-sophia,8 @ MOUNT SOPHIA,89,10,2018-04-13,ok,
https://www.edgeprop.sg/condo-apartment/8-eden-grove,8-eden-grove,8 EDEN GROVE,6,2,2010-03-29,ok,
https://www.edgeprop.sg/condo-apartment/8-napier,8-napier,8 NAPIER,13,3,2013-05-20,ok,
https://www.edgeprop.sg/condo-apartment/8-rodyk,8-rodyk,8 RODYK,22,4,2011-07-01,ok,
https://www.edgeprop.sg/condo-apartment/833-m-b-residences,833-m-b-residences,833 M B RESIDENCES,6,2,2010-02-12,ok,
https://www.edgeprop.sg/condo-apartment/8woodleigh,8woodleigh,8@WOODLEIGH,108,12,2018-05-04,ok,
https://www.edgeprop.sg/condo-apartment/a-treasure-trove,a-treasure-trove,A TREASURE TROVE,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/336-river-valley,336-river-valley,336 RIVER VALLEY,1,2,2004-03-17,ok,
https://www.edgeprop.sg/condo-apartment/aalto,aalto,AALTO,70,8,2017-12-18,ok,
https://www.edgeprop.sg/condo-apartment/abelia,abelia,ABELIA,0,1,2010-04-03,ok,
https://www.edgeprop.sg/condo-apartment/adam-garden,adam-garden,ADAM GARDEN,0,1,1995-12-06,ok,
https://www.edgeprop.sg/condo-apartment/adam-park-condominium,adam-park-condominium,ADAM PARK CONDOMINIUM,35,5,2015-06-08,ok,
https://www.edgeprop.sg/condo-apartment/adam-place,adam-place,ADAM PLACE,5,2,2006-05-29,ok,
https://www.edgeprop.sg/condo-apartment/adis-villas,adis-villas,ADIS VILLAS,0,1,1996-03-13,ok,
https://www.edgeprop.sg/condo-apartment/adria,adria,ADRIA,36,5,2017-04-24,ok,
https://www.edgeprop.sg/condo-apartment/advance-apartments,advance-apartments,ADVANCE APARTMENTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/affluence-court,affluence-court,AFFLUENCE COURT,4,2,1997-06-23,ok,
https://www.edgeprop.sg/condo-apartment/airstream,airstream,AIRSTREAM,36,5,2014-08-06,ok,
https://www.edgeprop.sg/condo-apartment/airview-towers,airview-towers,AIRVIEW TOWERS,0,1,2004-12-23,ok,
https://www.edgeprop.sg/condo-apartment/akyab-apartments,akyab-apartments,AKYAB APARTMENTS,0,1,1996-01-19,ok,
https://www.edgeprop.sg/condo-apartment/alba,alba,ALBA,5,2,2012-10-30,ok,
https://www.edgeprop.sg/condo-apartment/aldea-blanca,aldea-blanca,ALDEA BLANCA,0,1,2007-01-12,ok,
https://www.edgeprop.sg/condo-apartment/alegria,alegria,ALEGRIA,4,2,2005-04-05,ok,
https://www.edgeprop.sg/condo-apartment/alessandrea,alessandrea,ALESSANDREA,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/alexandra-centre,alexandra-centre,ALEXANDRA CENTRE,0,1,1997-06-01,ok,
https://www.edgeprop.sg/condo-apartment/alexis,alexis,ALEXIS,83,10,2017-12-26,ok,
https://www.edgeprop.sg/condo-apartment/allsworth-park,allsworth-park,ALLSWORTH PARK,25,4,2013-04-23,ok,
https://www.edgeprop.sg/condo-apartment/alocassia-apartments,alocassia-apartments,ALOCASSIA APARTMENTS,0,1,2006-05-29,ok,
https://www.edgeprop.sg/condo-apartment/alpha-apartments,alpha-apartments,ALPHA APARTMENTS,0,1,,ok,
https://www.edgeprop.sg/condo-apartment/altez,altez,ALTEZ,0,1,,ok,
