name,url,slug
AMBER 45,https://www.edgeprop.sg/landed-house/amber-45,amber-45
BUKIT PASOH CONSERVATION AREA,https://www.edgeprop.sg/landed-house/bukit-pasoh-conservation-area,bukit-pasoh-conservation-area
CHUAN VISTA,https://www.edgeprop.sg/landed-house/chuan-vista,chuan-vista
COUNTRYVIEW,https://www.edgeprop.sg/landed-house/countryview,countryview
DAVIS PINEGROVE,https://www.edgeprop.sg/landed-house/davis-pinegrove,davis-pinegrove
DAVISVILLE,https://www.edgeprop.sg/landed-house/davisville,davisville
DYSON RITZ,https://www.edgeprop.sg/landed-house/dyson-ritz,dyson-ritz
EAST COAST TERRACE,https://www.edgeprop.sg/landed-house/east-coast-terrace,east-coast-terrace
EAST TUDOR,https://www.edgeprop.sg/landed-house/east-tudor,east-tudor
EAST VIEW PARK,https://www.edgeprop.sg/landed-house/east-view-park,east-view-park
EATON PARK,https://www.edgeprop.sg/landed-house/eaton-park,eaton-park
