name,url,slug
BALLOTA PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
CARISSA PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/carissa-park-condominium,carissa-park-condominium
CASA PASIR RIS,https://www.edgeprop.sg/condo-apartment/casa-pasir-ris,casa-pasir-ris
DAHLIA PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/dahlia-park-condominium,dahlia-park-condominium
EDELWEISS PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/edelweiss-park-condominium,edelweiss-park-condominium
ESTELLA GARDENS,https://www.edgeprop.sg/condo-apartment/estella-gardens,estella-gardens
HEDGES PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/hedges-park-condominium,hedges-park-condominium
Kassia,https://www.edgeprop.sg/condo-apartment/kassia,kassia
LE LOYANG,https://www.edgeprop.sg/condo-apartment/le-loyang,le-loyang
PALM ISLES,https://www.edgeprop.sg/condo-apartment/palm-isles,palm-isles
SANDY PALM,https://www.edgeprop.sg/condo-apartment/sandy-palm,sandy-palm
THE GALE,https://www.edgeprop.sg/condo-apartment/the-gale,the-gale
THE INFLORA,https://www.edgeprop.sg/condo-apartment/the-inflora,the-inflora
THE JOVELL,https://www.edgeprop.sg/condo-apartment/the-jovell,the-jovell
WATERCREST,https://www.edgeprop.sg/condo-apartment/watercrest,watercrest
EIGHT COURTYARDS,https://www.edgeprop.sg/condo-apartment/eight-courtyards,eight-courtyards
KANDIS RESIDENCE,https://www.edgeprop.sg/condo-apartment/kandis-residence,kandis-residence
ORCHID PARK CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/orchid-park-condominium,orchid-park-condominium
SUN PLAZA,https://www.edgeprop.sg/condo-apartment/sun-plaza,sun-plaza
SYMPHONY SUITES,https://www.edgeprop.sg/condo-apartment/symphony-suites,symphony-suites
THE MILTONIA RESIDENCES,https://www.edgeprop.sg/condo-apartment/the-miltonia-residences,the-miltonia-residences
THE WATERGARDENS AT CANBERRA,https://www.edgeprop.sg/condo-apartment/the-watergardens-at-canberra,the-watergardens-at-canberra
YISHUN EMERALD,https://www.edgeprop.sg/condo-apartment/yishun-emerald,yishun-emerald
YISHUN SAPPHIRE,https://www.edgeprop.sg/condo-apartment/yishun-sapphire,yishun-sapphire
