Project,planning_area,Postal District,Date of Sale,Address,Street,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,27 Apr 2026,156 MARIAM WAY #05-XX,156 MARIAM WAY,2,1197,1185000,Condominium,Freehold,Resale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,6 Apr 2026,156 MARIAM WAY #03-XX,156 MARIAM WAY,2,1161,1650000,Condominium,Freehold,Resale,1421,132.015,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,27 Mar 2026,156 MARIAM WAY #04-XX,156 MARIAM WAY,3,1171,1500000,Condominium,Freehold,Resale,1281,119.009,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,16 Mar 2026,156 MARIAM WAY #04-XX,156 MARIAM WAY,2,1126,1600000,Condominium,Freehold,Resale,1421,132.015,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,6 Oct 2025,150 MARIAM WAY #06-XX,150 MARIAM WAY,2,1126,1600000,Condominium,Freehold,Resale,1421,132.015,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,2 Oct 2025,162 MARIAM WAY #03-XX,162 MARIAM WAY,3,1109,1635000,Condominium,Freehold,Resale,1475,137.032,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,30 Sep 2025,162 MARIAM WAY #07-XX,162 MARIAM WAY,4,1114,1895000,Condominium,Freehold,Resale,1701,158.028,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,10 Sep 2025,164 MARIAM WAY #04-XX,164 MARIAM WAY,3,1177,1735000,Condominium,Freehold,Resale,1475,137.032,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,8 Aug 2025,156 Mariam Way #05-XX,156 Mariam Way,2,1144,1626000,Condominium,Freehold,Resale,1421,132.015,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,14 Jul 2025,162 Mariam Way #03-XX,162 Mariam Way,3,1123,1620000,Condominium,Freehold,Resale,1442,133.966,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
BALLOTA PARK CONDOMINIUM,PASIR RIS,17,2 Jul 2025,162 Mariam Way #06-XX,162 Mariam Way,3,1061,1530000,Condominium,Freehold,Resale,1442,133.966,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,ballota-park-condominium
