source_url,source_slug,name,row_count,pages_scraped,oldest_date,status,error
https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium,CHANGI RISE CONDOMINIUM,110,11,2021-08-25,ok,
https://www.edgeprop.sg/condo-apartment/eastpoint-green,eastpoint-green,EASTPOINT GREEN,148,15,2021-07-30,ok,
https://www.edgeprop.sg/condo-apartment/livia,livia,LIVIA,162,17,2021-07-09,ok,
https://www.edgeprop.sg/condo-apartment/melville-park,melville-park,MELVILLE PARK,229,23,2021-07-28,ok,
https://www.edgeprop.sg/condo-apartment/nv-residences,nv-residences,NV RESIDENCES,175,18,2021-07-09,ok,
https://www.edgeprop.sg/condo-apartment/ripple-bay,ripple-bay,RIPPLE BAY,203,21,2021-07-12,ok,
https://www.edgeprop.sg/condo-apartment/ris-grandeur,ris-grandeur,RIS GRANDEUR,48,5,2021-07-15,ok,
https://www.edgeprop.sg/condo-apartment/savannah-condopark,savannah-condopark,SAVANNAH CONDOPARK,120,12,2021-07-21,ok,
https://www.edgeprop.sg/condo-apartment/sea-esta,sea-esta,SEA ESTA,144,16,2018-05-25,ok,
https://www.edgeprop.sg/condo-apartment/stratum,stratum,STRATUM,151,17,2017-10-16,ok,
https://www.edgeprop.sg/condo-apartment/the-alps-residences,the-alps-residences,THE ALPS RESIDENCES,208,21,2021-07-09,ok,
https://www.edgeprop.sg/condo-apartment/the-santorini,the-santorini,THE SANTORINI,196,20,2021-07-12,ok,
https://www.edgeprop.sg/condo-apartment/the-tropica,the-tropica,THE TROPICA,60,6,2021-07-12,ok,
https://www.edgeprop.sg/condo-apartment/waterview,waterview,WATERVIEW,173,18,2021-07-08,ok,
