name,url,slug
CHANGI RISE CONDOMINIUM,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
EASTPOINT GREEN,https://www.edgeprop.sg/condo-apartment/eastpoint-green,eastpoint-green
LIVIA,https://www.edgeprop.sg/condo-apartment/livia,livia
MELVILLE PARK,https://www.edgeprop.sg/condo-apartment/melville-park,melville-park
NV RESIDENCES,https://www.edgeprop.sg/condo-apartment/nv-residences,nv-residences
RIPPLE BAY,https://www.edgeprop.sg/condo-apartment/ripple-bay,ripple-bay
RIS GRANDEUR,https://www.edgeprop.sg/condo-apartment/ris-grandeur,ris-grandeur
SAVANNAH CONDOPARK,https://www.edgeprop.sg/condo-apartment/savannah-condopark,savannah-condopark
SEA ESTA,https://www.edgeprop.sg/condo-apartment/sea-esta,sea-esta
STRATUM,https://www.edgeprop.sg/condo-apartment/stratum,stratum
THE ALPS RESIDENCES,https://www.edgeprop.sg/condo-apartment/the-alps-residences,the-alps-residences
THE SANTORINI,https://www.edgeprop.sg/condo-apartment/the-santorini,the-santorini
THE TROPICA,https://www.edgeprop.sg/condo-apartment/the-tropica,the-tropica
WATERVIEW,https://www.edgeprop.sg/condo-apartment/waterview,waterview
