Project,planning_area,Postal District,Date of Sale,Address,Street,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug
CHANGI RISE CONDOMINIUM,TAMPINES,18,18 May 2026,18 SIMEI RISE #10-XX,18 SIMEI RISE,3,1159,1460000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1259,116.965,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,15 May 2026,4 SIMEI RISE #02-XX,4 SIMEI RISE,2,1154,1180000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1023,95.04,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,28 Apr 2026,18 SIMEI RISE #02-XX,18 SIMEI RISE,3,1137,1432000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1259,116.965,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,21 Apr 2026,8 SIMEI RISE #04-XX,8 SIMEI RISE,4,1162,1738000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1496,138.983,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,7 Apr 2026,20 SIMEI RISE #03-XX,20 SIMEI RISE,2,1154,1180000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1023,95.04,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,22 Oct 2025,4 SIMEI RISE #02-XX,4 SIMEI RISE,2,1133,1158888,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1023,95.04,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,22 Oct 2025,6 SIMEI RISE #10-XX,6 SIMEI RISE,3,1112,1400000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1259,116.965,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,17 Oct 2025,12 SIMEI RISE #04-XX,12 SIMEI RISE,3,1166,1468000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1259,116.965,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,15 Oct 2025,8 SIMEI RISE #08-XX,8 SIMEI RISE,3,1143,1440000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1259,116.965,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,1 Oct 2025,18 SIMEI RISE #09-XX,18 SIMEI RISE,3,1175,1328000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1130,104.98,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
CHANGI RISE CONDOMINIUM,TAMPINES,18,18 Sep 2025,16 SIMEI RISE #07-XX,16 SIMEI RISE,3,1157,1308000,Condominium,"99 Yrs From 29/11/2000, 99 Yrs From 29/11/200",Resale,1130,104.98,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/changi-rise-condominium,changi-rise-condominium
