estate,emp_score,emp_band,t_cbd,t_jld,t_one_north,t_changi,t_woodlands_rc,best_node,worst_node,s_cbd,s_jld,s_one_north,s_changi,s_woodlands_rc
CLEMENTI,4.5,A,10,12,12,42,48,cbd,woodlands_rc,5.0,5.0,5.0,3.0,2.0
QUEENSTOWN,4.35,B+,10,22,15,42,50,cbd,woodlands_rc,5.0,4.5,5.0,3.0,2.0
BUKIT BATOK,4.35,B+,18,15,22,52,30,jld,changi,4.5,5.0,4.5,2.0,4.0
DOVER,4.35,B+,10,18,12,45,50,cbd,woodlands_rc,5.0,4.5,5.0,3.0,2.0
JURONG EAST,4.33,B+,15,5,18,52,52,jld,changi,5.0,5.0,4.5,2.0,2.0
BUKIT TIMAH,4.27,B+,13,25,20,48,45,cbd,changi,5.0,4.5,4.5,2.0,3.0
HOLLAND VILLAGE,4.17,B+,22,22,12,45,48,one_north,woodlands_rc,4.5,4.5,5.0,3.0,2.0
BUKIT MERAH,4.12,B+,12,30,20,38,48,cbd,woodlands_rc,5.0,4.0,4.5,3.0,2.0
BUKIT PANJANG,4.02,B+,22,22,28,55,37,cbd,changi,4.5,4.5,4.0,2.0,3.0
CHOA CHU KANG,4.02,B+,25,22,30,57,28,jld,changi,4.5,4.5,4.0,1.0,4.0
TENGAH,3.98,B,25,15,30,60,55,jld,changi,4.5,5.0,4.0,1.0,2.0
JURONG WEST,3.97,B,28,10,18,52,52,jld,changi,4.0,5.0,4.5,2.0,2.0
GEYLANG,3.92,B,15,38,25,30,47,cbd,woodlands_rc,5.0,3.0,4.5,4.0,2.0
KALLANG,3.77,B,20,38,28,28,42,cbd,woodlands_rc,4.5,3.0,4.0,4.0,3.0
BOON KENG,3.77,B,18,43,35,35,42,cbd,jld,4.5,3.0,4.0,4.0,3.0
MARINE PARADE,3.67,B,18,38,28,32,50,cbd,woodlands_rc,4.5,3.0,4.0,4.0,2.0
BEDOK,3.67,B,22,42,35,27,50,cbd,woodlands_rc,4.5,3.0,4.0,4.0,2.0
BISHAN,3.48,C,25,48,30,45,33,cbd,jld,4.5,2.0,4.0,3.0,4.0
SERANGOON,3.48,C,25,50,35,35,40,cbd,jld,4.5,2.0,4.0,4.0,3.0
TOA PAYOH,3.38,C,22,50,32,47,35,cbd,jld,4.5,2.0,4.0,2.0,4.0
WOODLEIGH,3.33,C,22,47,38,35,42,cbd,jld,4.5,2.0,3.0,4.0,3.0
TAMPINES,3.15,C,32,50,42,15,55,changi,woodlands_rc,4.0,2.0,3.0,5.0,2.0
HOUGANG,3.15,C,30,55,40,32,43,cbd,jld,4.0,2.0,3.0,4.0,3.0
TAMPINES WEST,3.1,C,30,48,40,20,53,changi,woodlands_rc,4.0,2.0,3.0,4.5,2.0
LENTOR,3.1,C,28,52,38,50,18,woodlands_rc,jld,4.0,2.0,3.0,2.0,4.5
ANG MO KIO,3.05,C,30,52,42,50,28,woodlands_rc,jld,4.0,2.0,3.0,2.0,4.0
TAMPINES EAST,3.0,C,35,53,45,18,57,changi,woodlands_rc,4.0,2.0,3.0,4.5,1.0
SENGKANG,2.75,D,35,58,45,30,47,changi,jld,4.0,1.0,3.0,4.0,2.0
PASIR RIS,2.55,D,40,55,47,12,62,changi,woodlands_rc,3.0,2.0,2.0,5.0,1.0
YISHUN,2.3,F,37,57,48,54,20,woodlands_rc,jld,3.0,1.0,2.0,2.0,4.5
PUNGGOL,2.25,F,40,62,50,28,52,changi,jld,3.0,1.0,2.0,4.0,2.0
CANBERRA,2.25,F,40,60,52,58,12,woodlands_rc,jld,3.0,1.0,2.0,1.0,5.0
SEMBAWANG,2.25,F,42,62,54,60,14,woodlands_rc,jld,3.0,1.0,2.0,1.0,5.0
WOODLANDS,2.25,F,45,62,55,62,8,woodlands_rc,jld,3.0,1.0,2.0,1.0,5.0
