estate,lat,lon
WOODLANDS,1.4420,103.7920
PASIR RIS,1.3700,103.9520
JURONG EAST,1.3380,103.7415
BISHAN,1.3540,103.8490
BEDOK,1.3240,103.9300
TAMPINES,1.3540,103.9490
TOA PAYOH,1.3327,103.8493
QUEENSTOWN,1.3000,103.8040
SERANGOON,1.3610,103.8720
SEMBAWANG,1.4455,103.8195
MARINE PARADE,1.3005,103.9155
CANBERRA,1.4460,103.8300
BOON KENG,1.3199,103.8621
WOODLEIGH,1.3415,103.8735
DOVER,1.3114,103.7786
TENGAH,1.3630,103.7355
TAMPINES WEST,1.3492,103.9398
TAMPINES EAST,1.3552,103.9611
ANG MO KIO,1.3755,103.8495
LENTOR,1.3860,103.8368
SENGKANG,1.3928,103.8870
PUNGGOL,1.4149,103.9102
YISHUN,1.4335,103.8335
HOUGANG,1.3725,103.8930
CHOA CHU KANG,1.3890,103.7445
BUKIT BATOK,1.3560,103.7510
BUKIT MERAH,1.2920,103.8170
BUKIT PANJANG,1.3825,103.7615
GEYLANG,1.3200,103.8820
CLEMENTI,1.3195,103.7640
CENTRAL AREA,1.2795,103.8400
BUKIT TIMAH,1.3409,103.7758
