estate,n_chargers_800m,n_fast_chargers_800m,hdb_carpark_ev_coverage_pct,nearest_charger_m,provenance_note
WOODLANDS,0,0,0.0,-1,unfetched (LTA AccountKey required)
PASIR RIS,0,0,0.0,-1,unfetched (LTA AccountKey required)
JURONG EAST,0,0,0.0,-1,unfetched (LTA AccountKey required)
BISHAN,0,0,0.0,-1,unfetched (LTA AccountKey required)
BEDOK,0,0,0.0,-1,unfetched (LTA AccountKey required)
TAMPINES,0,0,0.0,-1,unfetched (LTA AccountKey required)
TOA PAYOH,0,0,0.0,-1,unfetched (LTA AccountKey required)
QUEENSTOWN,0,0,0.0,-1,unfetched (LTA AccountKey required)
SERANGOON,0,0,0.0,-1,unfetched (LTA AccountKey required)
SEMBAWANG,0,0,0.0,-1,unfetched (LTA AccountKey required)
MARINE PARADE,0,0,0.0,-1,unfetched (LTA AccountKey required)
CANBERRA,0,0,0.0,-1,unfetched (LTA AccountKey required)
BOON KENG,0,0,0.0,-1,unfetched (LTA AccountKey required)
WOODLEIGH,0,0,0.0,-1,unfetched (LTA AccountKey required)
DOVER,0,0,0.0,-1,unfetched (LTA AccountKey required)
TENGAH,0,0,0.0,-1,unfetched (LTA AccountKey required)
TAMPINES WEST,0,0,0.0,-1,unfetched (LTA AccountKey required)
TAMPINES EAST,0,0,0.0,-1,unfetched (LTA AccountKey required)
ANG MO KIO,0,0,0.0,-1,unfetched (LTA AccountKey required)
LENTOR,0,0,0.0,-1,unfetched (LTA AccountKey required)
SENGKANG,0,0,0.0,-1,unfetched (LTA AccountKey required)
PUNGGOL,0,0,0.0,-1,unfetched (LTA AccountKey required)
YISHUN,0,0,0.0,-1,unfetched (LTA AccountKey required)
HOUGANG,0,0,0.0,-1,unfetched (LTA AccountKey required)
CHOA CHU KANG,0,0,0.0,-1,unfetched (LTA AccountKey required)
BUKIT BATOK,0,0,0.0,-1,unfetched (LTA AccountKey required)
BUKIT MERAH,0,0,0.0,-1,unfetched (LTA AccountKey required)
BUKIT PANJANG,0,0,0.0,-1,unfetched (LTA AccountKey required)
GEYLANG,0,0,0.0,-1,unfetched (LTA AccountKey required)
CLEMENTI,0,0,0.0,-1,unfetched (LTA AccountKey required)
CENTRAL AREA,0,0,0.0,-1,unfetched (LTA AccountKey required)
BUKIT TIMAH,0,0,0.0,-1,unfetched (LTA AccountKey required)
