estate,n_hawker_centres_800m,total_stalls_800m,nearest_hawker_m,has_redundancy_dayoff
WOODLANDS,0,0,1001.2,False
PASIR RIS,1,40,389.1,False
JURONG EAST,1,40,739.8,False
BISHAN,0,0,1127.0,False
BEDOK,3,120,107.6,True
TAMPINES,0,0,960.0,False
TOA PAYOH,4,160,364.2,True
QUEENSTOWN,4,160,289.9,True
SERANGOON,2,95,630.6,True
SEMBAWANG,1,40,475.4,False
MARINE PARADE,1,60,582.1,False
CANBERRA,0,0,842.8,False
BOON KENG,1,40,127.5,False
WOODLEIGH,1,40,251.8,False
DOVER,0,0,927.4,False
TENGAH,0,0,1113.7,False
TAMPINES WEST,2,80,442.6,True
TAMPINES EAST,0,0,2132.2,False
ANG MO KIO,2,80,497.3,True
LENTOR,1,40,701.2,False
SENGKANG,1,40,471.9,False
PUNGGOL,1,40,189.1,False
YISHUN,2,80,578.7,True
HOUGANG,0,0,1162.4,False
CHOA CHU KANG,0,0,923.7,False
BUKIT BATOK,0,0,993.7,False
BUKIT MERAH,2,120,486.0,True
BUKIT PANJANG,1,40,524.0,False
GEYLANG,3,120,445.1,True
CLEMENTI,1,40,689.6,False
CENTRAL AREA,5,539,474.2,True
BUKIT TIMAH,2,117,66.2,True
JURONG WEST,1,40,678.5,False
KALLANG,1,40,391.1,False
HOLLAND VILLAGE,2,80,244.5,True
