estate,total_dwelling_units,residents_per_net_hectare,units_per_gross_hectare,n_blocks,mean_storey,oldest_block_year,newest_block_year
WOODLANDS,74558,610.3,203.4,733,12.5,1973,2025
PASIR RIS,30924,420.7,140.2,441,12.5,1975,2025
JURONG EAST,101491,622.6,207.5,978,14.0,1970,2026
BISHAN,20612,528.5,176.2,234,14.0,1973,2026
BEDOK,64414,729.2,243.1,530,13.3,1972,2021
TAMPINES,86927,567.5,189.2,919,11.7,1981,2026
TOA PAYOH,48947,760.8,253.6,386,16.2,1966,2025
QUEENSTOWN,34921,865.8,288.6,242,20.3,1961,2021
SERANGOON,21631,559.4,186.5,232,11.3,1977,2017
SEMBAWANG,32523,694.4,231.5,281,14.5,1997,2025
MARINE PARADE,7854,798.7,266.2,59,16.5,1974,1976
CANBERRA,32523,694.4,231.5,281,14.5,1997,2025
BOON KENG,41836,809.7,269.9,310,16.4,1962,2026
WOODLEIGH,48947,760.8,253.6,386,16.2,1966,2025
DOVER,34921,865.8,288.6,242,20.3,1961,2021
TENGAH,14148,668.4,222.8,127,13.8,2023,2025
TAMPINES WEST,86927,567.5,189.2,919,11.7,1981,2026
TAMPINES EAST,86927,567.5,189.2,919,11.7,1981,2026
ANG MO KIO,52139,798.0,266.0,392,13.5,1975,2025
LENTOR,52139,798.0,266.0,392,13.5,1975,2025
SENGKANG,76265,684.0,228.0,669,17.5,1997,2023
PUNGGOL,63264,681.5,227.2,557,17.6,2000,2025
YISHUN,71440,610.6,203.5,702,11.3,1977,2025
HOUGANG,58696,585.0,195.0,602,12.4,1974,2025
CHOA CHU KANG,50171,569.0,189.7,529,14.3,1977,2023
BUKIT BATOK,47154,650.4,216.8,435,13.4,1982,2024
BUKIT MERAH,53071,747.5,249.2,426,16.9,1962,2018
BUKIT PANJANG,37098,643.3,214.4,346,16.0,1986,2022
GEYLANG,36014,697.0,232.3,310,13.0,1962,2025
CLEMENTI,28712,836.3,278.8,206,16.8,1977,2023
CENTRAL AREA,11997,911.2,303.7,79,20.4,1963,2009
BUKIT TIMAH,2554,567.6,189.2,27,12.1,1973,2015
