stop_code,lat,lon,route_count,stop_name
10009,1.2821,103.81722,16,Bt Merah Int
10011,1.27774,103.8375,13,Bef Neil Rd
10017,1.27832,103.83763,18,Aft Hosp Dr
10018,1.27901,103.8386,8,Outram Pk Stn Exit 6/SGH
10021,1.27745,103.83839,5,Blk 3
10041,1.27606,103.83519,16,Bef Kampong Bahru Ter
10049,1.27623,103.83484,16,Opp Kampong Bahru Ter
10051,1.27741,103.83214,7,Blk 149
10059,1.2774,103.83275,7,Opp Blk 149
10061,1.2786,103.82949,7,Blk 140
10069,1.27855,103.83008,7,Opp Blk 140
10071,1.28045,103.82639,10,Blk 111
10079,1.2804,103.82709,10,Blk 201
10081,1.28228,103.82242,12,Opp Blk 120
10089,1.28292,103.82166,12,Blk 119
10091,1.28394,103.81784,8,Bt Merah Town Ctr
10099,1.28421,103.81766,8,Opp Bt Merah Town Ctr
10101,1.28506,103.81378,11,Opp Bt Merah Sec Sch
10109,1.28535,103.81371,7,Bt Merah Sec Sch
10111,1.28593,103.80935,10,Opp Blk 28
10119,1.28598,103.81123,11,Opp Pacific Tech Ctr
10121,1.2826,103.82891,2,Blk 126 CP
10129,1.28232,103.82857,2,Blk 121
10131,1.28619,103.80687,10,Opp Blk 2
10139,1.28635,103.8081,10,Blk 1
10141,1.28584,103.83238,12,Blk 18
10149,1.28607,103.83283,12,Blk 1
10151,1.28572,103.82853,12,Ctrl Green Condo
10161,1.28593,103.82669,12,Opp Tiong Bahru Stn/Plaza
10169,1.286,103.82748,13,Tiong Bahru Stn/Plaza
10171,1.28737,103.82346,8,Opp Tiong Bahru Pk
10179,1.28722,103.82396,9,Tiong Bahru Pk
10181,1.2885,103.8211,7,Bef Ar-Rabitah Mque
10189,1.28859,103.82183,9,Blk 104A CP
10191,1.2886,103.81903,7,Blk 78
10199,1.28876,103.81937,9,Delta Swim Cplx
10201,1.28928,103.81663,6,Opp Redhill Stn
10209,1.28955,103.81673,8,Redhill Stn
10211,1.29075,103.81144,1,BMW Eurokars Auto
10219,1.29084,103.81181,1,Skoda S'pore/Volkswagen Grp
10221,1.29033,103.83112,4,Ganges Ctr
10229,1.29052,103.83178,4,Opp Harvest Mansions
10231,1.29042,103.82788,4,Blk 51 CP
10239,1.29061,103.82865,4,Blk 79
10241,1.29062,103.82362,5,Gan Eng Seng Sec Sch
10249,1.29088,103.82408,5,Opp Gan Eng Seng Sec Sch
10261,1.2909,103.82047,5,Delta Sports Hall
10269,1.29125,103.82058,5,Opp Delta Sports Hall
10271,1.29116,103.81758,5,Opp Tanglin View
10279,1.29151,103.81758,5,Tanglin View
10281,1.29154,103.81445,9,SIS Bldg
10287,1.29191,103.81341,5,Opp Cycle & Carriage
10289,1.29187,103.81441,5,Opp SIS Bldg
10291,1.29216,103.81066,9,Opp Dawson Pl
10299,1.29233,103.81146,10,Aft Dawson Pl
10321,1.29428,103.81588,4,Opp Grace Ably of God Ch
10329,1.29365,103.81597,4,Crescent Girls' Sch
10331,1.28136,103.81834,6,Bef Bt Merah Ctrl
10339,1.28116,103.81857,7,Aft Bt Merah Ctrl
10341,1.28485,103.82059,5,Opp Blk 116
10349,1.28498,103.82101,6,Blk 116
