sn,location,lat,lon,onemap_result
1,Prince Philip Avenue / Jervois Road,1.29144050783918,103.825465054658,PRINCE PHILIP AVENUE
2,Admiralty Road West (from Sembawang Drive to Dock Road West),1.4578426108351,103.802726906139,ADMIRALTY ROAD WEST
3,St John's HQ junction Beach Road and Java Road,1.29952481042748,103.859303531667,BEACH ROAD
4,Bedok South Rd (slip road to Bedok South Ave 1),1.32121507654248,103.927422575488,4A BEDOK SOUTH ROAD SINGAPORE 469279
5,Service road off Changi Road near Chin Cheng Ave,1.31674643009229,103.905810242359,CHIN CHENG AVENUE
6,Junction of Commonwealth Drive and Commonwealth Ave,1.30014698515664,103.79721625953,COMMONWEALTH DRIVE
7,CTE slip road to Moulmein Road,1.31898626580253,103.848557646931,MOULMEIN ROAD
8,Derbyshire Road / Cambridge Road / Farrer Park Field,1.31046037800936,103.849938551571,FARRER PARK ROAD
9,Hong Kah Area,1.35844695956385,103.742474087879,BUKIT BATOK WEST AVENUE 5
10,Indus Road (from Havelock Road to Ganges Avenue),1.29130442807028,103.827447793798,78 INDUS ROAD ANIMAL MEDICAL CENTRE (VET@RV) SINGAPORE 161078
11,Jalan Benaan Kapal,1.30191791989883,103.880130433091,JALAN BENAAN KAPAL
12,Jalan Besar Area,1.30977661688661,103.858717469751,29 TYRWHITT ROAD AQUEEN PRESTIGE HOTEL - JALAN BESAR SINGAPORE 207533
13,Jalan Mashor,1.33372888295973,103.830689549849,490 JALAN MASHHOR BUKIT BROWN MRT STATION (CC18) SINGAPORE 299176
14,Jalan Mat Jambol,1.27825991389948,103.791863546132,JALAN MAT JAMBOL
15,Jalan Taman,1.32577036090194,103.864787986812,JALAN TAMAN
16,People's Association HQ at King George's Avenue,1.3076,103.8632,King George's Avenue (manual fallback)
17,Langsat Road Area,1.31536544460754,103.902757865635,LANGSAT ROAD
18,Lorong Buangkok Area,1.38289858617845,103.878017431533,8 LORONG BUANG KOK SINGAPORE 547558
19,Lorong H Telok Kurau near canal,1.31611240823113,103.909986759446,LORONG H TELOK KURAU
20,State Land junction Alexandra Road and Lower Delta Road,1.28083419778829,103.823318065486,1080 LOWER DELTA ROAD SINGAPORE 169311
21,Margaret Drive / Tanglin Road,1.2968175610396,103.808394887713,MARGARET DRIVE
22,Meyer Road Area (from Fort Road to Broadrick Road),1.3047,103.8935,Meyer Road (manual fallback)
23,Mimosa Walk near canal,1.38233417272035,103.860792681697,MIMOSA WALK
24,Changi Camp junction Changi Village Road and Farnborough Road,1.38843226604293,103.987295796543,CHANGI VILLAGE ROAD
25,Service Road off Mountbatten Rd near Jalan Seaview,1.30053440551886,103.888725812189,MOUNTBATTEN ROAD
26,Junction of Neo Pee Teck Lane and Pasir Panjang Road,1.28118763392567,103.784414161809,PASIR PANJANG ROAD
27,State Land junction New Upper Changi Road and Tanah Merah Kechil Avenue,1.32478236985627,103.930570304559,208B NEW UPPER CHANGI ROAD HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD) SINGAPORE 462208
28,Rose Lane,1.29924811981195,103.841708895435,1 OXLEY RISE ONE OXLEY RISE SINGAPORE 238714
29,Second Chin Bee Road,1.33182839218493,103.714448392077,SECOND CHIN BEE ROAD
30,Sennett Estate - Siang Kuang Avenue,1.3296166982684,103.871967105014,SIANG KUANG AVENUE
31,Service road off Tampines Road near Jalan Teliti,1.36039309000014,103.890228271108,JALAN TELITI
32,Junction of Stevens Road and Balmoral Road,1.31324355521211,103.830181342875,BALMORAL ROAD
33,South Bridge Road / Upper Hokkien Street / Upper Pickering Street,1.28693249313871,103.848260947828,65 SOUTH BRIDGE ROAD GATHER HOUSE ON 65 SOUTH BRIDGE ROAD SINGAPORE 058695
34,Upper East Coast Road near Parbury Avenue,1.31768610493182,103.942898380816,PARBURY AVENUE
35,Waterloo Street / Bencoolen Street / Prinsep Street,1.29856513323306,103.851379100827,WATERLOO STREET
36,Zion Road (Former Boys' Brigade HQ),1.2877,103.8268,Zion Road (manual fallback)
