estate,nearest_industrial_m,area_share_800m,area_share_1500m,area_share_3km,intensity_tag
WOODLANDS,600.4,2.0889,0.9054,0.2264,HEAVY
PASIR RIS,429.1,0.746,0.2122,0.1485,LIGHT
JURONG EAST,547.4,0.3979,0.2546,0.0637,LIGHT
BISHAN,1467.8,0.0,0.2688,0.0884,LIGHT
BEDOK,740.9,0.4476,0.1273,0.0318,LIGHT
TAMPINES,1903.0,0.0,0.0,0.1415,NONE
TOA PAYOH,1097.6,0.0,0.0849,0.0637,LIGHT
QUEENSTOWN,3148.6,0.0,0.0,0.0,NONE
SERANGOON,1338.8,0.0,0.2122,0.1556,LIGHT
SEMBAWANG,991.6,0.0,0.2264,0.099,LIGHT
MARINE PARADE,3108.5,0.0,0.0,0.0,NONE
CANBERRA,842.8,0.0,0.2264,0.0566,LIGHT
BOON KENG,475.0,0.3482,0.1698,0.099,LIGHT
WOODLEIGH,1125.7,0.0,0.3537,0.1804,LIGHT
DOVER,2914.0,0.0,0.0,0.0141,NONE
TENGAH,2413.6,0.0,0.0,0.0354,NONE
TAMPINES WEST,2221.7,0.0,0.0,0.1415,NONE
TAMPINES EAST,1979.8,0.0,0.0,0.1379,NONE
ANG MO KIO,925.3,0.0,0.2688,0.0672,LIGHT
LENTOR,2485.8,0.0,0.0,0.0672,NONE
SENGKANG,1665.9,0.0,0.0,0.0283,NONE
PUNGGOL,467.5,0.1492,0.0424,0.0106,LIGHT
YISHUN,1059.1,0.0,0.2264,0.0566,LIGHT
HOUGANG,1081.3,0.0,0.0566,0.0672,LIGHT
CHOA CHU KANG,44.5,0.2487,0.0707,0.0265,LIGHT
BUKIT BATOK,1134.0,0.0,0.1415,0.0637,LIGHT
BUKIT MERAH,1592.0,0.0,0.0,0.0177,NONE
BUKIT PANJANG,142.4,0.1243,0.0354,0.0265,LIGHT
GEYLANG,1095.1,0.0,0.2122,0.1061,LIGHT
CLEMENTI,2714.8,0.0,0.0,0.0283,NONE
CENTRAL AREA,1890.7,0.0,0.0,0.0177,NONE
BUKIT TIMAH,2500.8,0.0,0.0,0.0141,NONE
JURONG WEST,1882.2,0.0,0.0,0.0884,NONE
KALLANG,1016.2,0.0,0.1698,0.0778,LIGHT
HOLLAND VILLAGE,2012.7,0.0,0.0,0.0141,NONE
