estate,mixed_use_share,commercial_share,white_share,business_park_share,buffer_km
WOODLANDS,0.03341867498089757,0.015357244044634889,0.006398732584308595,0.011662698351954085,2.0
PASIR RIS,0.01075754259366328,0.007693782767351479,0.0030637598263118025,0.0,2.0
JURONG EAST,0.11427871299415092,0.007292030467365823,0.08776719600892603,0.019219486517859066,2.0
BISHAN,0.01335255327888011,0.01335255327888011,0.0,0.0,2.0
BEDOK,0.007716560822720393,0.0018610006378206177,0.0,0.005855560184899776,2.0
TAMPINES,0.015195508785698138,0.015195508785698145,0.0,0.0,2.0
TOA PAYOH,0.01905152846200102,0.017889672266272,0.0011618561957290247,0.0,2.0
QUEENSTOWN,0.07154662147453282,0.0104871000395529,0.017179745965838013,0.043879775469141874,2.0
SERANGOON,0.005829487713341573,0.003830677852754113,0.00199880986058746,0.0,2.0
SEMBAWANG,0.003472430967859723,0.0014020668588557012,0.002070364109004022,0.0,2.0
MARINE PARADE,0.01183179430819563,0.011831794308195634,0.0,0.0,2.0
CANBERRA,0.004389255003086517,0.0023188913500740605,0.002070363653012456,0.0,2.0
BOON KENG,0.05685897031266098,0.041503903110810286,0.01535506720185073,0.0,2.0
WOODLEIGH,0.00885864419274115,0.002296050211795291,0.001998825907031722,0.004563768073914136,2.0
DOVER,0.051803727918037834,0.0075737269690426545,0.030946124904053848,0.01328387604494134,2.0
TENGAH,0.0033101033404213972,0.0033101033404213964,0.0,0.0,2.0
TAMPINES WEST,0.015195538821580916,0.015195538821580916,0.0,0.0,2.0
TAMPINES EAST,0.02696291306776554,0.008776659197934682,0.0,0.018186253869830873,2.0
ANG MO KIO,0.0015428787577087255,0.0015428787577087255,0.0,0.0,2.0
LENTOR,0.00020184932195082726,0.00020184932195082726,0.0,0.0,2.0
SENGKANG,0.003526071760482754,0.0035260717604827553,0.0,0.0,2.0
PUNGGOL,0.02092009330327838,0.002834992441144981,0.0,0.0180851008621334,2.0
YISHUN,0.0024924277424590966,0.0024924277424590966,0.0,0.0,2.0
HOUGANG,0.0019201548360769124,0.0019201548360769124,0.0,0.0,2.0
CHOA CHU KANG,0.0071932814859192095,0.006619467909229952,0.0005738135766892585,0.0,2.0
BUKIT BATOK,0.003958826028354207,0.003958826028354206,0.0,0.0,2.0
BUKIT MERAH,0.008691856970163265,0.008630378411585777,0.0,6.147855857748694e-05,2.0
BUKIT PANJANG,0.004354731572915726,0.004354731572915727,0.0,0.0,2.0
GEYLANG,0.04099424952988421,0.03375568302744975,0.007238566502434455,0.0,2.0
CLEMENTI,0.014115127666635627,0.00030279125632539945,0.0,0.013812336410310225,2.0
CENTRAL AREA,0.11808898565762317,0.07520667845964685,0.0389687470540226,0.003913560143953721,2.0
BUKIT TIMAH,0.0028853641288113375,0.0028853641288113375,0.0,0.0,2.0
JURONG WEST,0.04521107417910449,0.003324032108050541,0.0,0.04188704207105396,2.0
KALLANG,0.06906850999941526,0.05192611070962757,0.017142399289787655,0.0,2.0
HOLLAND VILLAGE,0.040722852817506885,0.009282084442388077,0.017355303117396036,0.014085465257722758,2.0
