lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.442634790331114,103.800040119743,ADMIRALTY PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,738907
1.445890689109919,103.8023981965959,ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,737916
1.433152715435181,103.8329424010853,AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768643
1.436059753688065,103.8297186900766,AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768928
1.360583433890406,103.8330203339857,AI TONG SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,579646
1.291299041348708,103.8239408023872,ALEXANDRA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,159016
1.390508309546516,103.8874331629368,ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,544969
1.384199419079249,103.8414117160061,ANDERSON PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,569785
1.374340017011785,103.8515541070679,ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,Yes,No,No,No,569206
1.365043420024426,103.8870388093729,ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,534768
1.369321765846087,103.839630858752,ANG MO KIO PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569920
1.367337101710713,103.8421549736715,ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569362
1.330581262051284,103.9410825130811,ANGLICAN HIGH SCHOOL,SECONDARY (S1-S4),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,Yes,No,No,Yes,487012
1.303042551933919,103.7853584364079,ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,No,No,No,139745
1.319616491513279,103.8357726899882,ANGLO-CHINESE SCHOOL (BARKER ROAD),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,BOYS' SCHOOL,No,No,No,No,309919
1.303704092577828,103.7803634176709,ANGLO-CHINESE SCHOOL (INDEPENDENT),MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,SOUTH,CO-ED SCHOOL,No,Yes,Yes,No,139650
1.309322527301762,103.8415521273722,ANGLO-CHINESE SCHOOL (JUNIOR),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BOYS' SCHOOL,No,No,No,No,227988
1.318718606217883,103.8353451688401,ANGLO-CHINESE SCHOOL (PRIMARY),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BOYS' SCHOOL,No,Yes,No,No,309918
1.363248189724602,103.9389148211668,ANGSANA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,528565
1.368381606628573,103.766687526556,ASSUMPTION ENGLISH SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,No,No,No,678117
1.369670704322713,103.7659591305809,ASSUMPTION PATHWAY SCHOOL,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,679697
1.339954155878111,103.8828062117046,BARTLEY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,538403
1.383949362118238,103.7736320229752,BEACON PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,679944
1.341790284928019,103.8522808423451,BEATTY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,318990
1.323996279903049,103.9377450235765,BEDOK GREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469317
1.33451947288432,103.9350283833453,BEDOK GREEN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469722
1.325136551591829,103.9509891392604,BEDOK SOUTH SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,468585
1.324157040296861,103.9437762450238,BEDOK VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469293
1.322208485302922,103.8653513360851,BENDEMEER PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,339948
1.324611113079975,103.8609702844009,BENDEMEER SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,327919
1.276145229209989,103.8086131660401,BLANGAH RISE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,109100
1.342840137916176,103.7128583819372,BOON LAY GARDEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649930
1.34272216334335,103.7018914539119,BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648354
1.3703599443621,103.877659577677,BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,547529
1.307050611234331,103.886917922608,BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,399935
1.348491110790525,103.7408737048192,BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,658962
1.285692830642895,103.8134389293932,BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,159050
1.382242433600432,103.7383612218687,BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,Yes,No,No,No,689809
1.373500899865845,103.7694173376537,BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,679676
1.33729955751691,103.7668287207205,BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,598112
1.345860547886968,103.75366641455,BUKIT VIEW PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659634
1.345733055429413,103.7522265939839,BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659633
1.45123288382933,103.8158894131695,CANBERRA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,757714
1.453190863159718,103.8142035838178,CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,757699
1.326855666045431,103.881547155683,CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,387621
1.275472526232034,103.8399626317482,CANTONMENT PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,88256
1.372460639280005,103.9570202861143,CASUARINA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518935
1.354525170657562,103.8449008048039,CATHOLIC HIGH SCHOOL,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,BOYS' SCHOOL,Yes,Yes,Yes,Yes,579767
1.324556057832193,103.8350288423532,CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,No,297822
1.333758002163343,103.8739330648855,CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY (S1-S4),GOVERNMENT SCHOOL,SOUTH,GIRLS' SCHOOL,Yes,No,Yes,No,349692
1.335660843562641,103.8756200625899,CEDAR PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,349700
1.339506300728762,103.9532455255639,CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529894
1.340231639516331,103.9520801140343,CHANGKAT PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,529896
1.306485352770875,103.9111056204962,CHIJ (KATONG) PRIMARY,PRIMARY,GOVERNMENT-AIDED SCH,EAST,GIRLS' SCHOOL,No,No,No,No,424821
1.275022722964019,103.8281575648959,CHIJ (KELLOCK),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,99757
1.306442680348951,103.9171443500279,CHIJ KATONG CONVENT,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,GIRLS' SCHOOL,Yes,No,No,No,449150
1.357429522696155,103.8640093973725,CHIJ OUR LADY OF GOOD COUNSEL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,GIRLS' SCHOOL,No,No,No,No,558979
