estate,pct_sheltered_to_mrt,n_covered_linkway_segments_800m,provenance_note
WOODLANDS,,67,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
PASIR RIS,,76,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
JURONG EAST,,67,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BISHAN,,31,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BEDOK,,33,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
TAMPINES,,106,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
TOA PAYOH,,54,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
QUEENSTOWN,,76,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
SERANGOON,,14,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
SEMBAWANG,,84,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
MARINE PARADE,,20,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
CANBERRA,,4,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BOON KENG,,92,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
WOODLEIGH,,59,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
DOVER,,31,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
TENGAH,,0,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
TAMPINES WEST,,100,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
TAMPINES EAST,,56,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
ANG MO KIO,,108,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
LENTOR,,59,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
SENGKANG,,76,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
PUNGGOL,,0,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
YISHUN,,69,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
HOUGANG,,78,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
CHOA CHU KANG,,118,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BUKIT BATOK,,145,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BUKIT MERAH,,134,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BUKIT PANJANG,,159,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
GEYLANG,,100,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
CLEMENTI,,72,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
CENTRAL AREA,,51,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
BUKIT TIMAH,,41,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
JURONG WEST,,51,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
KALLANG,,60,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
HOLLAND VILLAGE,,49,"n_covered_linkway_segments_800m measured from covered_linkway.csv within 800m of the estate centroid; pct_sheltered_to_mrt unmeasured (needs route geometry, which no available source provides)"
