estate,dens,env,mom,hawker
WOODLANDS,3,3,4,3
PASIR RIS,2,4,4,3
JURONG EAST,4,2,5,4
BISHAN,3,3,3,3
BEDOK,4,3,4,5
TAMPINES,3,3,4,3
TOA PAYOH,4,2,3,4
QUEENSTOWN,4,2,3,4
SERANGOON,3,3,5,5
SEMBAWANG,2,4,4,3
MARINE PARADE,3,4,2,5
CANBERRA,2,4,3,2
BOON KENG,4,2,2,4
WOODLEIGH,4,4,3,3
DOVER,3,3,2,4
TENGAH,1,5,5,1
TAMPINES WEST,3,3,1,3
TAMPINES EAST,3,3,2,3
ANG MO KIO,4,3,4,4
LENTOR,2,4,4,2
SENGKANG,3,3,3,3
PUNGGOL,2,4,4,3
YISHUN,3,3,3,4
HOUGANG,3,3,3,4
CHOA CHU KANG,3,3,4,3
BUKIT BATOK,3,3,3,3
BUKIT MERAH,4,2,2,5
BUKIT PANJANG,2,3,3,3
GEYLANG,4,2,3,5
CLEMENTI,3,3,3,3
CENTRAL AREA,4,2,3,5
BUKIT TIMAH,2,4,4,4
JURONG WEST,3,3,4,3
KALLANG,4,3,3,5
HOLLAND VILLAGE,2,3,3,3
