estate,dens,env,mom
WOODLANDS,3,3,4
PASIR RIS,2,4,3
JURONG EAST,4,2,4
BISHAN,3,3,3
BEDOK,4,3,3
TAMPINES,3,3,3
TOA PAYOH,4,2,3
QUEENSTOWN,4,2,3
SERANGOON,3,3,4
SEMBAWANG,2,4,4
MARINE PARADE,3,4,2
CANBERRA,2,4,3
BOON KENG,4,2,2
WOODLEIGH,4,4,3
DOVER,3,3,1
TENGAH,1,5,5
TAMPINES WEST,3,3,1
TAMPINES EAST,3,3,2
ANG MO KIO,4,3,4
LENTOR,2,4,2
SENGKANG,3,3,3
PUNGGOL,2,4,4
YISHUN,3,3,2
HOUGANG,3,3,3
CHOA CHU KANG,3,3,4
BUKIT BATOK,3,3,3
BUKIT MERAH,4,2,2
BUKIT PANJANG,2,3,2
GEYLANG,4,2,1
CLEMENTI,3,3,2
CENTRAL AREA,4,2,1
BUKIT TIMAH,2,4,2
