estate,mean_lease_years,lease_score,lease_band,source
WOODLANDS,75.9,4.0,B+,hdb_resale
PASIR RIS,72.9,3.0,B,hdb_resale
JURONG EAST,67.2,3.0,B,hdb_resale
BISHAN,67.1,3.0,B,hdb_resale
BEDOK,63.0,2.0,C,hdb_resale
TAMPINES,71.0,3.0,B,hdb_resale
TOA PAYOH,65.0,3.0,B,hdb_resale
QUEENSTOWN,71.0,3.0,B,hdb_resale
SERANGOON,65.4,3.0,B,hdb_resale
SEMBAWANG,84.7,4.0,B+,hdb_resale
MARINE PARADE,52.3,1.0,D,hdb_resale
CANBERRA,,5.0,A,manual_override
BOON KENG,67.7,3.0,B,hdb_resale
WOODLEIGH,,5.0,A,manual_override
DOVER,71.0,3.0,B,hdb_resale
TENGAH,,5.0,A,manual_override
TAMPINES WEST,71.0,3.0,B,hdb_resale
TAMPINES EAST,71.0,3.0,B,hdb_resale
ANG MO KIO,62.7,2.0,C,hdb_resale
LENTOR,,5.0,A,manual_override
SENGKANG,85.7,5.0,A,hdb_resale
PUNGGOL,89.3,5.0,A,hdb_resale
YISHUN,74.0,3.0,B,hdb_resale
HOUGANG,72.6,3.0,B,hdb_resale
CHOA CHU KANG,78.0,4.0,B+,hdb_resale
BUKIT BATOK,74.2,3.0,B,hdb_resale
BUKIT MERAH,69.9,3.0,B,hdb_resale
BUKIT PANJANG,78.3,4.0,B+,hdb_resale
GEYLANG,62.5,2.0,C,hdb_resale
CLEMENTI,67.3,3.0,B,hdb_resale
CENTRAL AREA,67.7,3.0,B,hdb_resale
BUKIT TIMAH,60.7,2.0,C,hdb_resale
JURONG WEST,73.1,3.0,B,hdb_resale
KALLANG,67.7,3.0,B,hdb_resale
HOLLAND VILLAGE,71.0,3.0,B,hdb_resale
