estate,path,start_score,start_band,end_score,end_band,delta,arrow,band_shift
WOODLANDS,forming_family,3.406,C,3.693,B,0.287,up,C->B
WOODLANDS,downsizing,3.585,B,3.471,C,-0.114,down,B->C
WOODLANDS,settling_single,3.334,C,3.522,B,0.188,up,C->B
WOODLANDS,ageing_in_place,3.353,C,3.471,C,0.118,up,C->C
WOODLANDS,upgrader,3.406,C,3.693,B,0.287,up,C->B
PASIR RIS,forming_family,3.208,C,4.018,B+,0.81,up,C->B+
PASIR RIS,downsizing,3.688,B,3.905,B,0.217,up,B->B
PASIR RIS,settling_single,3.103,C,3.833,B,0.73,up,C->B
PASIR RIS,ageing_in_place,3.508,B,3.905,B,0.397,up,B->B
PASIR RIS,upgrader,3.208,C,4.018,B+,0.81,up,C->B+
JURONG EAST,forming_family,3.864,B,4.002,B+,0.138,up,B->B+
JURONG EAST,downsizing,3.789,B,4.044,B+,0.255,up,B->B+
JURONG EAST,settling_single,3.862,B,4.206,B+,0.344,up,B->B+
JURONG EAST,ageing_in_place,3.764,B,4.044,B+,0.28,up,B->B+
JURONG EAST,upgrader,3.864,B,4.185,B+,0.321,up,B->B+
BISHAN,forming_family,3.541,B,3.842,B,0.301,up,B->B
BISHAN,downsizing,3.765,B,3.76,B,-0.005,flat,B->B
BISHAN,settling_single,3.505,B,3.688,B,0.183,up,B->B
BISHAN,ageing_in_place,3.667,B,3.76,B,0.093,flat,B->B
BISHAN,upgrader,3.541,B,3.842,B,0.301,up,B->B
BEDOK,forming_family,4.331,B+,4.489,B+,0.158,up,B+->B+
BEDOK,downsizing,4.471,B+,4.588,A,0.117,up,B+->A
BEDOK,settling_single,4.333,B+,4.342,B+,0.009,flat,B+->B+
BEDOK,ageing_in_place,4.57,A,4.588,A,0.018,flat,A->A
BEDOK,upgrader,4.331,B+,4.489,B+,0.158,up,B+->B+
TAMPINES,forming_family,3.44,C,3.937,B,0.497,up,C->B
TAMPINES,downsizing,3.703,B,3.902,B,0.199,up,B->B
TAMPINES,settling_single,3.375,C,3.868,B,0.493,up,C->B
TAMPINES,ageing_in_place,3.621,B,3.902,B,0.281,up,B->B
TAMPINES,upgrader,3.44,C,3.937,B,0.497,up,C->B
TOA PAYOH,forming_family,4.334,B+,4.513,A,0.179,up,B+->A
TOA PAYOH,downsizing,4.477,B+,4.607,A,0.13,up,B+->A
TOA PAYOH,settling_single,4.349,B+,4.347,B+,-0.002,flat,B+->B+
TOA PAYOH,ageing_in_place,4.521,A,4.607,A,0.086,flat,A->A
TOA PAYOH,upgrader,4.334,B+,4.513,A,0.179,up,B+->A
QUEENSTOWN,forming_family,3.339,C,3.849,B,0.51,up,C->B
QUEENSTOWN,downsizing,3.661,B,3.764,B,0.103,up,B->B
QUEENSTOWN,settling_single,3.358,C,3.496,C,0.138,up,C->C
QUEENSTOWN,ageing_in_place,3.557,B,3.764,B,0.207,up,B->B
QUEENSTOWN,upgrader,3.339,C,3.849,B,0.51,up,C->B
SERANGOON,forming_family,3.023,C,3.813,B,0.79,up,C->B
SERANGOON,downsizing,3.39,C,3.529,B,0.139,up,C->B
SERANGOON,settling_single,3.023,C,3.722,B,0.699,up,C->B
SERANGOON,ageing_in_place,2.974,D,3.529,B,0.555,up,D->B
SERANGOON,upgrader,3.023,C,3.813,B,0.79,up,C->B
SEMBAWANG,forming_family,3.975,B,4.178,B+,0.203,up,B->B+
SEMBAWANG,downsizing,4.076,B+,3.9,B,-0.176,down,B+->B
SEMBAWANG,settling_single,3.826,B,4.055,B+,0.229,up,B->B+
SEMBAWANG,ageing_in_place,3.758,B,3.9,B,0.142,up,B->B
SEMBAWANG,upgrader,3.975,B,4.178,B+,0.203,up,B->B+
MARINE PARADE,forming_family,2.694,D,3.117,C,0.423,up,D->C
MARINE PARADE,downsizing,3.117,C,3.056,C,-0.061,flat,C->C
MARINE PARADE,settling_single,2.72,D,2.694,D,-0.026,flat,D->D
MARINE PARADE,ageing_in_place,3.056,C,3.056,C,0.0,flat,C->C
MARINE PARADE,upgrader,2.694,D,3.117,C,0.423,up,D->C
CANBERRA,forming_family,3.605,B,3.844,B,0.239,up,B->B
CANBERRA,downsizing,3.795,B,3.54,B,-0.255,down,B->B
CANBERRA,settling_single,3.469,C,3.658,B,0.189,up,C->B
CANBERRA,ageing_in_place,3.481,C,3.54,B,0.059,flat,C->B
CANBERRA,upgrader,3.605,B,3.844,B,0.239,up,B->B
BOON KENG,forming_family,3.977,B,4.184,B+,0.207,up,B->B+
BOON KENG,downsizing,4.168,B+,4.223,B+,0.055,flat,B+->B+
BOON KENG,settling_single,3.996,B,4.026,B+,0.03,flat,B->B+
BOON KENG,ageing_in_place,4.197,B+,4.223,B+,0.026,flat,B+->B+
BOON KENG,upgrader,3.977,B,4.184,B+,0.207,up,B->B+
WOODLEIGH,forming_family,3.701,B,3.865,B,0.164,up,B->B
WOODLEIGH,downsizing,3.846,B,3.806,B,-0.04,flat,B->B
WOODLEIGH,settling_single,3.738,B,3.709,B,-0.029,flat,B->B
WOODLEIGH,ageing_in_place,3.76,B,3.806,B,0.046,flat,B->B
WOODLEIGH,upgrader,3.701,B,3.865,B,0.164,up,B->B
DOVER,forming_family,3.408,C,3.72,B,0.312,up,C->B
DOVER,downsizing,3.571,B,3.605,B,0.034,flat,B->B
DOVER,settling_single,3.386,C,3.55,B,0.164,up,C->B
DOVER,ageing_in_place,3.461,C,3.605,B,0.144,up,C->B
DOVER,upgrader,3.408,C,3.72,B,0.312,up,C->B
TENGAH,forming_family,2.065,F,2.964,D,0.899,up,F->D
TENGAH,downsizing,2.115,F,2.96,D,0.845,up,F->D
TENGAH,settling_single,1.92,F,3.383,C,1.463,up,F->C
TENGAH,ageing_in_place,1.983,F,2.96,D,0.977,up,F->D
TENGAH,upgrader,2.065,F,3.165,C,1.1,up,F->C
