estate,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label
WOODLANDS,C,3.39,1.0,1.0,1.0,3.445,C,3.554,B,3.582,B,↑,↑,3.355,C,3.471,C,3.499,C,↑,↑,3.021,C,3.14,C,3.171,C,↑,↑,3.317,C,3.436,C,3.465,C,↑,↑,0.05,matched,0.16,matched,0.19,matched,-0.04,matched,0.08,matched,0.11,matched,-0.37,matched,-0.25,matched,-0.22,matched,-0.07,matched,0.05,matched,0.07,matched
PASIR RIS,C,3.39,1.0,1.0,1.0,3.618,B,3.952,B,4.209,B+,↑,↑,3.211,C,3.837,B,4.263,B+,↑,↑,3.28,C,3.681,B,3.982,B,↑,↑,3.126,C,3.719,B,4.127,B+,↑,↑,0.23,matched,0.56,punches_above,0.82,punches_above,-0.18,matched,0.45,matched,0.87,punches_above,-0.11,matched,0.29,matched,0.59,punches_above,-0.26,matched,0.33,matched,0.74,punches_above
JURONG EAST,B,3.81,1.0,1.0,1.0,3.693,B,3.872,B,3.932,B,↑,↑,3.861,B,4.143,B+,4.23,B+,↑,↑,3.488,C,3.729,B,3.796,B,↑,↑,3.883,B,4.148,B+,4.234,B+,↑,↑,-0.12,matched,0.06,matched,0.12,matched,0.05,matched,0.33,matched,0.42,matched,-0.32,matched,-0.08,matched,-0.01,matched,0.07,matched,0.34,matched,0.42,matched
BISHAN,B,3.63,1.0,1.0,1.0,3.725,B,3.803,B,3.846,B,→,↑,3.58,B,3.727,B,3.771,B,↑,↑,3.43,C,3.524,B,3.601,B,→,↑,3.562,B,3.701,B,3.739,B,↑,↑,0.1,matched,0.17,matched,0.22,matched,-0.05,matched,0.1,matched,0.14,matched,-0.2,matched,-0.11,matched,-0.03,matched,-0.07,matched,0.07,matched,0.11,matched
BEDOK,B+,4.35,1.0,1.0,1.0,4.386,B+,4.404,B+,4.404,B+,→,→,4.322,B+,4.333,B+,4.333,B+,→,→,4.281,B+,4.299,B+,4.299,B+,→,→,4.352,B+,4.363,B+,4.363,B+,→,→,0.04,matched,0.05,matched,0.05,matched,-0.03,matched,-0.02,matched,-0.02,matched,-0.07,matched,-0.05,matched,-0.05,matched,0.0,matched,0.01,matched,0.01,matched
TAMPINES,B,3.52,1.0,1.0,1.0,3.61,B,3.846,B,3.912,B,↑,↑,3.431,C,3.858,B,3.956,B,↑,↑,3.322,C,3.606,B,3.688,B,↑,↑,3.393,C,3.801,B,3.894,B,↑,↑,0.09,matched,0.33,matched,0.39,matched,-0.09,matched,0.34,matched,0.44,matched,-0.2,matched,0.09,matched,0.17,matched,-0.13,matched,0.28,matched,0.37,matched
TOA PAYOH,B+,4.31,1.0,1.0,1.0,4.356,B+,4.392,B+,4.401,B+,→,→,4.282,B+,4.296,B+,4.299,B+,→,→,4.211,B+,4.297,B+,4.317,B+,→,↑,4.332,B+,4.336,B+,4.337,B+,→,→,0.05,matched,0.08,matched,0.09,matched,-0.03,matched,-0.01,matched,-0.01,matched,-0.1,matched,-0.01,matched,0.01,matched,0.02,matched,0.03,matched,0.03,matched
QUEENSTOWN,B,3.59,0.96,1.0,1.0,3.573,B,3.757,B,3.797,B,↑,↑,3.33,C,3.487,C,3.519,B,↑,↑,3.272,C,3.467,C,3.52,B,↑,↑,3.377,C,3.53,B,3.561,B,↑,↑,-0.02,matched,0.17,matched,0.21,matched,-0.26,matched,-0.1,matched,-0.07,matched,-0.32,matched,-0.12,matched,-0.07,matched,-0.21,matched,-0.06,matched,-0.03,matched
SERANGOON,C,3.21,1.0,1.0,1.0,3.403,C,3.83,B,3.906,B,↑,↑,3.059,C,3.758,B,3.894,B,↑,↑,2.944,D,3.504,B,3.595,B,↑,↑,3.057,C,3.716,B,3.845,B,↑,↑,0.19,matched,0.62,punches_above,0.7,punches_above,-0.15,matched,0.55,punches_above,0.68,punches_above,-0.27,matched,0.29,matched,0.39,matched,-0.15,matched,0.51,punches_above,0.64,punches_above
SEMBAWANG,B,3.88,1.0,1.0,1.0,3.975,B,4.078,B+,4.093,B+,↑,↑,3.937,B,4.016,B+,4.029,B+,→,→,3.511,B,3.655,B,3.672,B,↑,↑,3.813,B,3.889,B,3.903,B,→,→,0.1,matched,0.2,matched,0.21,matched,0.06,matched,0.14,matched,0.15,matched,-0.37,matched,-0.23,matched,-0.21,matched,-0.07,matched,0.01,matched,0.02,matched
MARINE PARADE,D,2.9,1.0,1.0,1.0,3.115,C,3.115,C,3.13,C,→,→,2.746,D,2.746,D,2.763,D,→,→,2.905,D,2.905,D,2.921,D,→,→,2.782,D,2.782,D,2.799,D,→,→,0.22,matched,0.22,matched,0.23,matched,-0.15,matched,-0.15,matched,-0.14,matched,0.0,matched,0.0,matched,0.02,matched,-0.12,matched,-0.12,matched,-0.1,matched
CANBERRA,B,3.56,1.0,1.0,1.0,3.701,B,3.751,B,3.776,B,→,→,3.566,B,3.62,B,3.631,B,→,→,3.242,C,3.301,C,3.315,C,→,→,3.456,C,3.513,B,3.523,B,→,→,0.14,matched,0.19,matched,0.22,matched,0.01,matched,0.06,matched,0.07,matched,-0.32,matched,-0.26,matched,-0.25,matched,-0.1,matched,-0.05,matched,-0.04,matched
BOON KENG,B+,4.08,1.0,1.0,1.0,4.125,B+,4.125,B+,4.13,B+,→,→,4.009,B+,4.009,B+,4.015,B+,→,→,3.936,B,3.936,B,3.942,B,→,→,4.051,B+,4.051,B+,4.057,B+,→,→,0.04,matched,0.04,matched,0.05,matched,-0.07,matched,-0.07,matched,-0.07,matched,-0.14,matched,-0.14,matched,-0.14,matched,-0.03,matched,-0.03,matched,-0.02,matched
WOODLEIGH,B,3.77,1.0,1.0,1.0,3.841,B,3.86,B,3.86,B,→,→,3.753,B,3.76,B,3.76,B,→,→,3.606,B,3.652,B,3.652,B,→,→,3.799,B,3.802,B,3.802,B,→,→,0.07,matched,0.09,matched,0.09,matched,-0.02,matched,-0.01,matched,-0.01,matched,-0.16,matched,-0.12,matched,-0.12,matched,0.03,matched,0.03,matched,0.03,matched
DOVER,B,3.6,0.96,1.0,1.0,3.552,B,3.7,B,3.7,B,↑,↑,3.445,C,3.589,B,3.589,B,↑,↑,3.253,C,3.389,C,3.389,C,↑,↑,3.441,C,3.584,B,3.584,B,↑,↑,-0.05,matched,0.1,matched,0.1,matched,-0.16,matched,-0.01,matched,-0.01,matched,-0.35,matched,-0.21,matched,-0.21,matched,-0.16,matched,-0.02,matched,-0.02,matched
TENGAH,F,2.22,0.9,1.0,1.0,2.031,F,2.876,D,3.178,C,↑,↑,2.042,F,3.357,C,3.794,B,↑,↑,1.811,F,2.777,D,3.097,C,↑,↑,1.912,F,3.157,C,3.575,B,↑,↑,-0.19,matched,0.66,punches_above,0.96,punches_above,-0.18,matched,1.14,punches_above,1.57,punches_above,-0.41,matched,0.56,punches_above,0.88,punches_above,-0.31,matched,0.94,punches_above,1.36,punches_above
