estate,archetype,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label,provision_private,measured_only,value_hdb_score,value_hdb_band,value_hdb_basis,value_hdb_n,emp_score,emp_band,best_node,worst_node,lease_score,lease_band,lease_source,archetype_confidence,value_private_band,value_private_basis,value_private_score,value_private_n
WOODLANDS,A,B,3.51,1.0,1.0,1.0,3.581,B,3.69,B,3.718,B,↑,↑,3.406,C,3.522,B,3.55,B,↑,↑,3.346,C,3.466,C,3.497,C,↑,↑,3.334,C,3.453,C,3.482,C,↑,↑,0.07,matched,0.18,matched,0.21,matched,-0.1,matched,0.01,matched,0.04,matched,-0.16,matched,-0.04,matched,-0.01,matched,-0.18,matched,-0.06,matched,-0.03,matched,3.62,False,4.062952452579028,B+,direct,16583.0,2.45,F,woodlands_rc,jld,4.0,B+,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
PASIR RIS,C,C,3.45,1.0,1.0,1.0,3.685,B,4.018,B+,4.275,B+,↑,↑,3.208,C,3.833,B,4.259,B+,↑,↑,3.503,B,3.904,B,4.206,B+,↑,↑,3.103,C,3.696,B,4.104,B+,↑,↑,0.23,matched,0.57,punches_above,0.83,punches_above,-0.24,matched,0.38,matched,0.81,punches_above,0.05,matched,0.45,matched,0.76,punches_above,-0.35,matched,0.25,matched,0.65,punches_above,3.52,False,3.624050046691248,B,direct,6719.0,2.65,D,changi,woodlands_rc,3.0,B,hdb_resale,Medium,not_covered,not_covered,not_covered,not_covered
JURONG EAST,A,B,3.85,1.0,1.0,1.0,3.787,B,3.965,B,4.025,B+,↑,↑,3.794,B,4.076,B+,4.163,B+,↑,↑,3.762,B,4.003,B+,4.07,B+,↑,↑,3.802,B,4.067,B+,4.153,B+,↑,↑,-0.06,matched,0.11,matched,0.18,matched,-0.06,matched,0.23,matched,0.31,matched,-0.09,matched,0.15,matched,0.22,matched,-0.05,matched,0.22,matched,0.3,matched,3.92,False,4.111748023204108,B+,direct,4743.0,3.88,B,jld,changi,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
BISHAN,B,B,3.68,1.0,1.0,1.0,3.773,B,3.851,B,3.894,B,→,↑,3.541,B,3.688,B,3.732,B,↑,↑,3.673,B,3.767,B,3.844,B,→,↑,3.505,B,3.644,B,3.682,B,↑,↑,0.09,matched,0.17,matched,0.21,matched,-0.14,matched,0.01,matched,0.05,matched,-0.01,matched,0.09,matched,0.16,matched,-0.18,matched,-0.04,matched,0.0,matched,3.72,False,2.826649278549039,D,direct,4063.0,3.73,B,cbd,jld,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
BEDOK,B,B+,4.44,1.0,1.0,1.0,4.486,B+,4.504,A,4.504,A,→,→,4.331,B+,4.342,B+,4.342,B+,→,→,4.585,A,4.604,A,4.604,A,→,→,4.333,B+,4.344,B+,4.344,B+,→,→,0.05,matched,0.06,matched,0.06,matched,-0.11,matched,-0.1,matched,-0.1,matched,0.14,matched,0.16,matched,0.16,matched,-0.11,matched,-0.1,matched,-0.1,matched,4.45,False,4.324303979165468,B+,direct,12109.0,3.83,B,cbd,woodlands_rc,2.0,C,hdb_resale,High,A,direct,4.6167630002516065,3316
TAMPINES,A,B,3.61,1.0,1.0,1.0,3.71,B,3.946,B,4.012,B+,↑,↑,3.44,C,3.868,B,3.965,B,↑,↑,3.627,B,3.911,B,3.992,B,↑,↑,3.375,C,3.782,B,3.876,B,↑,↑,0.1,matched,0.34,matched,0.4,matched,-0.17,matched,0.26,matched,0.36,matched,0.02,matched,0.3,matched,0.38,matched,-0.23,matched,0.17,matched,0.27,matched,3.68,False,3.4720165624185855,C,direct,16029.0,3.35,C,changi,woodlands_rc,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
TOA PAYOH,B,B+,4.43,1.0,1.0,1.0,4.492,B+,4.528,A,4.536,A,→,→,4.334,B+,4.347,B+,4.35,B+,→,→,4.536,A,4.623,A,4.643,A,→,↑,4.349,B+,4.354,B+,4.355,B+,→,→,0.06,matched,0.1,matched,0.11,matched,-0.1,matched,-0.08,matched,-0.08,matched,0.11,matched,0.19,matched,0.21,matched,-0.08,matched,-0.08,matched,-0.07,matched,4.44,False,4.040006026090103,B+,direct,7637.0,3.62,B,cbd,jld,2.0,C,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
QUEENSTOWN,B,B,3.68,0.96,1.0,1.0,3.669,B,3.857,B,3.901,B,↑,↑,3.339,C,3.496,C,3.53,B,↑,↑,3.564,B,3.772,B,3.835,B,↑,↑,3.358,C,3.512,B,3.543,B,↑,↑,-0.01,matched,0.18,matched,0.22,matched,-0.34,matched,-0.18,matched,-0.15,matched,-0.12,matched,0.09,matched,0.15,matched,-0.32,matched,-0.17,matched,-0.14,matched,3.77,False,2.9998180351586154,D,direct,6353.0,4.4,B+,cbd,woodlands_rc,3.0,B,hdb_resale,High,B,direct,3.5068010038438255,30
SERANGOON,B,C,3.19,1.0,1.0,1.0,3.384,C,3.811,B,3.888,B,↑,↑,3.023,C,3.722,B,3.858,B,↑,↑,2.964,D,3.524,B,3.615,B,↑,↑,3.023,C,3.682,B,3.812,B,↑,↑,0.19,matched,0.62,punches_above,0.7,punches_above,-0.17,matched,0.53,punches_above,0.67,punches_above,-0.23,matched,0.33,matched,0.43,matched,-0.17,matched,0.49,matched,0.62,punches_above,3.3,False,2.876744132227805,D,direct,4095.0,3.73,B,cbd,jld,3.0,B,hdb_resale,High,not_covered,not_covered,not_covered,not_covered
SEMBAWANG,B,B,3.97,1.0,1.0,1.0,4.076,B+,4.18,B+,4.195,B+,↑,↑,3.975,B,4.055,B+,4.068,B+,→,→,3.755,B,3.899,B,3.916,B,↑,↑,3.826,B,3.902,B,3.916,B,→,→,0.11,matched,0.21,matched,0.23,matched,0.0,matched,0.08,matched,0.1,matched,-0.22,matched,-0.07,matched,-0.05,matched,-0.14,matched,-0.07,matched,-0.05,matched,4.04,False,4.490142457261917,B+,direct,7097.0,2.45,F,woodlands_rc,jld,4.0,B+,hdb_resale,Medium,not_covered,not_covered,not_covered,not_covered
