profile_id,estate,tenure,eligible,rank,profile_score,soft_weight_covered,filter_reasons,borderline_flags,persona,horizon,life_path,liveability_score,liveability_band,life_path_end_score,life_path_delta,value_score,value_band,value_basis,value_n,employment_score,employment_band,lease_score,lease_band,provision_score,provision_band,archetype,measured_only
forming-family-hdb-balanced,BUKIT PANJANG,hdb,True,1,4.077,1.0,,,YoungFam,T5,forming_family,4.039,B+,4.039,0.287,4.482518256623972,B+,direct,8552.0,3.35,C,4.0,B+,4.03,B+,B,False
forming-family-hdb-balanced,TOA PAYOH,hdb,True,2,3.972,1.0,,,YoungFam,T5,forming_family,4.3,B+,4.3,0.703,3.800384660302251,B,direct,7933.0,3.62,B,3.0,B,4.2,B+,B,False
forming-family-hdb-balanced,HOUGANG,hdb,True,3,3.912,1.0,,,YoungFam,T5,forming_family,4.101,B+,4.101,0.218,4.102342554268635,B+,direct,12162.0,3.35,C,3.0,B,4.02,B+,B,False
forming-family-hdb-balanced,CHOA CHU KANG,hdb,True,4,3.911,1.0,,,YoungFam,T5,forming_family,3.842,B,3.842,0.345,4.289905178225992,B+,direct,10805.0,3.35,C,4.0,B+,3.66,B,B,False
forming-family-hdb-balanced,PASIR RIS,hdb,True,5,3.905,1.0,,,YoungFam,T5,forming_family,4.19,B+,4.19,0.353,4.179497632495928,B+,direct,6971.0,2.65,D,3.0,B,4.0,B+,C,False
forming-family-hdb-balanced,BEDOK,hdb,True,6,3.867,1.0,,,YoungFam,T5,forming_family,4.154,B+,4.154,0.714,4.000468098598832,B+,direct,12563.0,3.83,B,2.0,C,4.13,B+,B,False
forming-family-hdb-balanced,SENGKANG,hdb,True,7,3.858,1.0,,,YoungFam,T5,forming_family,3.783,B,3.783,1.099,3.916295829571601,B,direct,19482.0,3.05,C,5.0,A,3.64,B,B,False
forming-family-hdb-balanced,YISHUN,hdb,True,8,3.825,1.0,,,YoungFam,T5,forming_family,4.051,B+,4.051,0.349,4.21782963431658,B+,direct,16343.0,2.5,D,3.0,B,3.9,B,B,False
forming-family-hdb-balanced,BUKIT BATOK,hdb,True,9,3.803,1.0,,,YoungFam,T5,forming_family,3.87,B,3.87,0.274,3.904654483807102,B,direct,10304.0,4.08,B+,3.0,B,3.68,B,B,False
forming-family-hdb-balanced,JURONG WEST,hdb,True,10,3.802,1.0,,,YoungFam,T5,forming_family,3.868,B,3.868,1.451,4.015140177661898,B+,direct,15765.0,3.88,B,3.0,B,3.53,B,B,False
forming-family-hdb-balanced,BUKIT MERAH,hdb,True,11,3.767,1.0,,,YoungFam,T5,forming_family,4.082,B+,4.082,0.135,3.219819581473879,C,direct,9161.0,4.22,B+,3.0,B,3.99,B,B,False
forming-family-hdb-balanced,BOON KENG,hdb,True,12,3.705,1.0,,,YoungFam,T5,forming_family,3.967,B,3.967,0.112,3.334552359079636,C,proxy_from:KALLANG/WHAMPOA,7345.0,3.92,B,3.0,B,3.92,B,F,False
forming-family-hdb-balanced,JURONG EAST,hdb,True,13,3.695,1.0,,,YoungFam,T5,forming_family,3.721,B,3.721,1.146,3.8611850553628746,B,direct,4869.0,3.88,B,3.0,B,3.63,B,A,False
forming-family-hdb-balanced,WOODLEIGH,hdb,True,14,3.673,1.0,,,YoungFam,T5,forming_family,3.663,B,3.663,0.118,3.2212784263514314,C,proxy_from:TOA PAYOH,7933.0,3.58,B,5.0,A,3.56,B,E,False
forming-family-hdb-balanced,ANG MO KIO,hdb,True,15,3.649,1.0,,,YoungFam,T5,forming_family,4.102,B+,4.102,0.559,3.560022369687617,B,direct,9710.0,3.25,C,2.0,C,3.66,B,B,False
forming-family-hdb-balanced,TAMPINES,hdb,True,16,3.64,1.0,,,YoungFam,T5,forming_family,3.835,B,3.835,1.207,3.5963655138803685,B,direct,16707.0,3.35,C,3.0,B,3.76,B,A,False
forming-family-hdb-balanced,CLEMENTI,hdb,True,17,3.636,1.0,,,YoungFam,T5,forming_family,3.789,B,3.789,1.283,3.3190450085789736,C,direct,5316.0,4.28,B+,3.0,B,3.68,B,B,False
forming-family-hdb-balanced,TAMPINES WEST,hdb,True,18,3.62,1.0,,,YoungFam,T5,forming_family,3.84,B,3.84,0.275,3.538976702488661,B,proxy_from:TAMPINES,16707.0,3.3,C,3.0,B,3.7,B,A,False
forming-family-hdb-balanced,KALLANG,hdb,True,19,3.605,1.0,,,YoungFam,T5,forming_family,3.846,B,3.846,0.082,3.2069546922781194,C,proxy_from:KALLANG/WHAMPOA,7345.0,3.92,B,3.0,B,3.77,B,B,False
forming-family-hdb-balanced,GEYLANG,hdb,True,20,3.551,1.0,,,YoungFam,T5,forming_family,3.825,B,3.825,0.933,3.3561861003526037,C,direct,5976.0,4.12,B+,2.0,C,3.74,B,B,False
forming-family-hdb-balanced,TAMPINES EAST,hdb,True,21,3.211,1.0,,value_borderline:C,YoungFam,T5,forming_family,3.373,C,3.373,0.472,2.9937829942674345,D,proxy_from:TAMPINES,16707.0,3.2,C,3.0,B,3.13,C,A,False
forming-family-hdb-balanced,CENTRAL AREA,hdb,False,,4.22,0.05,excluded_archetype:X;liveability_below:C;value_below:C;employment_below:D;lease_below:C;value_n_below:100,,YoungFam,T5,forming_family,,N/R,,,,N/R,N/R,,,N/R,,N/R,4.22,N/R,X,False
forming-family-hdb-balanced,SEMBAWANG,hdb,False,,3.981,1.0,employment_below:D,,YoungFam,T5,forming_family,4.092,B+,4.092,1.38,4.3816083180506995,B+,direct,7347.0,2.45,F,4.0,B+,3.89,B,B,False
forming-family-hdb-balanced,HOLLAND VILLAGE,hdb,False,,3.888,0.75,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,4.013,B+,4.013,0.231,,no_data,no_hdb_segment,0.0,4.17,B+,3.0,B,3.85,B,D,True
forming-family-hdb-balanced,CANBERRA,hdb,False,,3.794,1.0,employment_below:D,,YoungFam,T5,forming_family,3.724,B,3.724,1.228,4.0324313055582275,B+,proxy_from:SEMBAWANG,7347.0,2.45,F,5.0,A,3.58,B,B,False
forming-family-hdb-balanced,LENTOR,hdb,False,,3.587,0.75,value_below:C;value_n_below:100,,YoungFam,T5,forming_family,3.375,C,3.375,0.869,,no_data,no_hdb_segment,0.0,3.3,C,5.0,A,3.46,C,F,False
forming-family-hdb-balanced,WOODLANDS,hdb,False,,3.497,1.0,employment_below:D,,YoungFam,T5,forming_family,3.466,C,3.466,1.193,3.8130020014098256,B,direct,17154.0,2.45,F,4.0,B+,3.31,C,A,False
forming-family-hdb-balanced,PUNGGOL,hdb,False,,3.483,1.0,employment_below:D,,YoungFam,T5,forming_family,3.383,C,3.383,0.624,3.4984173300782726,C,direct,17417.0,2.45,F,5.0,A,3.43,C,E,False
