estate,emp_score_T0,emp_band_T0,emp_score_T5,emp_band_T5,emp_score_T15,emp_band_T15,delta_T5,delta_T15,model_version
QUEENSTOWN,4.4,B+,4.38,B+,4.35,B+,-0.02,-0.05,2.1.0
DOVER,4.4,B+,4.38,B+,4.35,B+,-0.02,-0.05,2.1.0
CLEMENTI,4.28,B+,4.3,B+,4.5,A,0.02,0.22,2.1.0
BUKIT MERAH,4.22,B+,4.17,B+,4.12,B+,-0.05,-0.1,2.1.0
HOLLAND VILLAGE,4.17,B+,4.17,B+,4.17,B+,0.0,0.0,2.1.0
GEYLANG,4.12,B+,4.03,B+,3.92,B,-0.09,-0.2,2.1.0
BUKIT BATOK,4.08,B+,4.12,B+,4.35,B+,0.04,0.27,2.1.0
BOON KENG,3.92,B,3.85,B,3.77,B,-0.07,-0.15,2.1.0
KALLANG,3.92,B,3.85,B,3.77,B,-0.07,-0.15,2.1.0
JURONG WEST,3.88,B,3.92,B,3.97,B,0.04,0.09,2.1.0
BUKIT TIMAH,3.88,B,3.9,B,4.27,B+,0.02,0.39,2.1.0
JURONG EAST,3.88,B,3.92,B,4.33,B+,0.04,0.45,2.1.0
MARINE PARADE,3.83,B,3.75,B,3.67,B,-0.08,-0.16,2.1.0
BEDOK,3.83,B,3.75,B,3.67,B,-0.08,-0.16,2.1.0
BISHAN,3.73,B,3.6,B,3.48,C,-0.13,-0.25,2.1.0
SERANGOON,3.73,B,3.6,B,3.48,C,-0.13,-0.25,2.1.0
TOA PAYOH,3.62,B,3.5,B,3.38,C,-0.12,-0.24,2.1.0
WOODLEIGH,3.58,B,3.45,C,3.33,C,-0.13,-0.25,2.1.0
BUKIT PANJANG,3.35,C,3.43,C,4.02,B+,0.08,0.67,2.1.0
CHOA CHU KANG,3.35,C,3.43,C,4.02,B+,0.08,0.67,2.1.0
TAMPINES,3.35,C,3.25,C,3.15,C,-0.1,-0.2,2.1.0
HOUGANG,3.35,C,3.25,C,3.15,C,-0.1,-0.2,2.1.0
LENTOR,3.3,C,3.2,C,3.1,C,-0.1,-0.2,2.1.0
TAMPINES WEST,3.3,C,3.2,C,3.1,C,-0.1,-0.2,2.1.0
ANG MO KIO,3.25,C,3.15,C,3.05,C,-0.1,-0.2,2.1.0
TAMPINES EAST,3.2,C,3.1,C,3.0,C,-0.1,-0.2,2.1.0
SENGKANG,3.05,C,2.9,D,2.75,D,-0.15,-0.3,2.1.0
PASIR RIS,2.65,D,2.6,D,2.55,D,-0.05,-0.1,2.1.0
YISHUN,2.5,D,2.4,F,2.3,F,-0.1,-0.2,2.1.0
CANBERRA,2.45,F,2.35,F,2.25,F,-0.1,-0.2,2.1.0
SEMBAWANG,2.45,F,2.35,F,2.25,F,-0.1,-0.2,2.1.0
PUNGGOL,2.45,F,2.35,F,2.25,F,-0.1,-0.2,2.1.0
WOODLANDS,2.45,F,2.35,F,2.25,F,-0.1,-0.2,2.1.0
TENGAH,2.0,F,3.35,C,3.98,B,1.35,1.98,2.1.0
