estate,model_version,mean_lease_years,lease_score,lease_band,source
WOODLANDS,2.1.0,75.9,4.0,B+,hdb_resale
PASIR RIS,2.1.0,72.9,3.0,B,hdb_resale
JURONG EAST,2.1.0,67.2,3.0,B,hdb_resale
BISHAN,2.1.0,67.1,3.0,B,hdb_resale
BEDOK,2.1.0,63.0,2.0,C,hdb_resale
TAMPINES,2.1.0,71.0,3.0,B,hdb_resale
TOA PAYOH,2.1.0,65.0,3.0,B,hdb_resale
QUEENSTOWN,2.1.0,71.0,3.0,B,hdb_resale
SERANGOON,2.1.0,65.4,3.0,B,hdb_resale
SEMBAWANG,2.1.0,84.7,4.0,B+,hdb_resale
MARINE PARADE,2.1.0,52.3,1.0,D,hdb_resale
CANBERRA,2.1.0,,5.0,A,manual_override
BOON KENG,2.1.0,67.7,3.0,B,hdb_resale
WOODLEIGH,2.1.0,,5.0,A,manual_override
DOVER,2.1.0,71.0,3.0,B,hdb_resale
TENGAH,2.1.0,,5.0,A,manual_override
TAMPINES WEST,2.1.0,71.0,3.0,B,hdb_resale
TAMPINES EAST,2.1.0,71.0,3.0,B,hdb_resale
ANG MO KIO,2.1.0,62.7,2.0,C,hdb_resale
LENTOR,2.1.0,,5.0,A,manual_override
SENGKANG,2.1.0,85.7,5.0,A,hdb_resale
PUNGGOL,2.1.0,89.3,5.0,A,hdb_resale
YISHUN,2.1.0,74.0,3.0,B,hdb_resale
HOUGANG,2.1.0,72.6,3.0,B,hdb_resale
CHOA CHU KANG,2.1.0,78.0,4.0,B+,hdb_resale
BUKIT BATOK,2.1.0,74.2,3.0,B,hdb_resale
BUKIT MERAH,2.1.0,69.9,3.0,B,hdb_resale
BUKIT PANJANG,2.1.0,78.3,4.0,B+,hdb_resale
GEYLANG,2.1.0,62.5,2.0,C,hdb_resale
CLEMENTI,2.1.0,67.3,3.0,B,hdb_resale
CENTRAL AREA,2.1.0,67.7,3.0,B,hdb_resale
BUKIT TIMAH,2.1.0,60.7,2.0,C,hdb_resale
JURONG WEST,2.1.0,73.1,3.0,B,hdb_resale
KALLANG,2.1.0,67.7,3.0,B,hdb_resale
HOLLAND VILLAGE,2.1.0,71.0,3.0,B,hdb_resale
