estate,model_version,path,start_score,start_band,end_score,end_band,delta,arrow,band_shift
WOODLANDS,2.1.0,forming_family,2.259,F,3.454,C,1.195,↑,F→C
WOODLANDS,2.1.0,settling_single,2.115,F,3.334,C,1.219,↑,F→C
WOODLANDS,2.1.0,ageing_in_place,2.166,F,3.204,C,1.038,↑,F→C
WOODLANDS,2.1.0,downsizing,2.348,F,3.204,C,0.856,↑,F→C
WOODLANDS,2.1.0,upgrader,2.259,F,3.131,C,0.872,↑,F→C
PASIR RIS,2.1.0,forming_family,3.312,C,4.06,B+,0.748,↑,C→B+
PASIR RIS,2.1.0,settling_single,3.278,C,3.814,B,0.536,↑,C→B
PASIR RIS,2.1.0,ageing_in_place,3.647,B,3.962,B,0.315,↑,B→B
PASIR RIS,2.1.0,downsizing,3.802,B,3.962,B,0.16,↑,B→B
PASIR RIS,2.1.0,upgrader,3.312,C,3.753,B,0.441,↑,C→B
JURONG EAST,2.1.0,forming_family,2.566,D,3.71,B,1.144,↑,D→B
JURONG EAST,2.1.0,settling_single,2.421,F,3.897,B,1.476,↑,F→B
JURONG EAST,2.1.0,ageing_in_place,2.425,F,3.669,B,1.244,↑,F→B
JURONG EAST,2.1.0,downsizing,2.494,F,3.669,B,1.175,↑,F→B
JURONG EAST,2.1.0,upgrader,2.566,D,3.674,B,1.108,↑,D→B
BISHAN,2.1.0,forming_family,3.511,B,3.764,B,0.253,↑,B→B
BISHAN,2.1.0,settling_single,3.392,C,3.628,B,0.236,↑,C→B
BISHAN,2.1.0,ageing_in_place,3.546,B,3.62,B,0.074,→,B→B
BISHAN,2.1.0,downsizing,3.704,B,3.62,B,-0.084,→,B→B
BISHAN,2.1.0,upgrader,3.511,B,3.503,B,-0.008,→,B→B
BEDOK,2.1.0,forming_family,3.496,C,4.203,B+,0.707,↑,C→B+
BEDOK,2.1.0,settling_single,3.313,C,4.212,B+,0.899,↑,C→B+
BEDOK,2.1.0,ageing_in_place,3.512,B,4.237,B+,0.725,↑,B→B+
BEDOK,2.1.0,downsizing,3.483,C,4.237,B+,0.754,↑,C→B+
BEDOK,2.1.0,upgrader,3.496,C,3.992,B,0.496,↑,C→B
TAMPINES,2.1.0,forming_family,2.45,F,3.798,B,1.348,↑,F→B
TAMPINES,2.1.0,settling_single,2.343,F,3.786,B,1.443,↑,F→B
TAMPINES,2.1.0,ageing_in_place,2.49,F,3.723,B,1.233,↑,F→B
TAMPINES,2.1.0,downsizing,2.572,D,3.723,B,1.151,↑,D→B
TAMPINES,2.1.0,upgrader,2.45,F,3.619,B,1.169,↑,F→B
TOA PAYOH,2.1.0,forming_family,3.648,B,4.337,B+,0.689,↑,B→B+
TOA PAYOH,2.1.0,settling_single,3.474,C,4.275,B+,0.801,↑,C→B+
TOA PAYOH,2.1.0,ageing_in_place,3.653,B,4.354,B+,0.701,↑,B→B+
TOA PAYOH,2.1.0,downsizing,3.682,B,4.354,B+,0.672,↑,B→B+
TOA PAYOH,2.1.0,upgrader,3.648,B,4.063,B+,0.415,↑,B→B+
QUEENSTOWN,2.1.0,forming_family,3.29,C,3.697,B,0.407,↑,C→B
QUEENSTOWN,2.1.0,settling_single,3.107,C,3.443,C,0.336,↑,C→C
QUEENSTOWN,2.1.0,ageing_in_place,3.356,C,3.552,B,0.196,↑,C→B
QUEENSTOWN,2.1.0,downsizing,3.517,B,3.552,B,0.035,→,B→B
QUEENSTOWN,2.1.0,upgrader,3.29,C,3.249,C,-0.041,→,C→C
SERANGOON,2.1.0,forming_family,2.132,F,3.713,B,1.581,↑,F→B
SERANGOON,2.1.0,settling_single,2.08,F,3.616,B,1.536,↑,F→B
SERANGOON,2.1.0,ageing_in_place,2.043,F,3.388,C,1.345,↑,F→C
SERANGOON,2.1.0,downsizing,2.356,F,3.388,C,1.032,↑,F→C
SERANGOON,2.1.0,upgrader,2.132,F,3.506,B,1.374,↑,F→B
SEMBAWANG,2.1.0,forming_family,2.745,D,4.124,B+,1.379,↑,D→B+
SEMBAWANG,2.1.0,settling_single,2.59,D,3.994,B,1.404,↑,D→B
SEMBAWANG,2.1.0,ageing_in_place,2.648,D,3.918,B,1.27,↑,D→B
SEMBAWANG,2.1.0,downsizing,2.82,D,3.918,B,1.098,↑,D→B
SEMBAWANG,2.1.0,upgrader,2.745,D,3.769,B,1.024,↑,D→B
MARINE PARADE,2.1.0,forming_family,2.714,D,3.175,C,0.461,↑,D→C
MARINE PARADE,2.1.0,settling_single,2.587,D,2.925,D,0.338,↑,D→D
MARINE PARADE,2.1.0,ageing_in_place,2.84,D,3.061,C,0.221,↑,D→C
MARINE PARADE,2.1.0,downsizing,2.947,D,3.061,C,0.114,↑,D→C
MARINE PARADE,2.1.0,upgrader,2.714,D,2.788,D,0.074,→,D→D
CANBERRA,2.1.0,forming_family,2.482,F,3.728,B,1.246,↑,F→B
CANBERRA,2.1.0,settling_single,2.337,F,3.595,B,1.258,↑,F→B
CANBERRA,2.1.0,ageing_in_place,2.446,F,3.548,B,1.102,↑,F→B
CANBERRA,2.1.0,downsizing,2.578,D,3.548,B,0.97,↑,D→B
CANBERRA,2.1.0,upgrader,2.482,F,3.39,C,0.908,↑,F→C
BOON KENG,2.1.0,forming_family,3.837,B,3.954,B,0.117,↑,B→B
BOON KENG,2.1.0,settling_single,3.638,B,3.837,B,0.199,↑,B→B
BOON KENG,2.1.0,ageing_in_place,3.901,B,3.901,B,0.0,→,B→B
BOON KENG,2.1.0,downsizing,3.954,B,3.901,B,-0.053,→,B→B
BOON KENG,2.1.0,upgrader,3.837,B,3.638,B,-0.199,↓,B→B
WOODLEIGH,2.1.0,forming_family,3.599,B,3.68,B,0.081,→,B→B
WOODLEIGH,2.1.0,settling_single,3.425,C,3.606,B,0.181,↑,C→B
WOODLEIGH,2.1.0,ageing_in_place,3.502,B,3.547,B,0.045,→,B→B
WOODLEIGH,2.1.0,downsizing,3.661,B,3.547,B,-0.114,↓,B→B
WOODLEIGH,2.1.0,upgrader,3.599,B,3.427,C,-0.172,↓,B→C
DOVER,2.1.0,forming_family,3.065,C,3.501,B,0.436,↑,C→B
DOVER,2.1.0,settling_single,2.905,D,3.451,C,0.546,↑,D→C
DOVER,2.1.0,ageing_in_place,2.95,D,3.322,C,0.372,↑,D→C
DOVER,2.1.0,downsizing,3.109,C,3.322,C,0.213,↑,C→C
DOVER,2.1.0,upgrader,3.065,C,3.272,C,0.207,↑,C→C
