estate,model_version,archetype,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label
WOODLANDS,2.1.0,A,C,3.29,0.7,1.0,1.0,2.348,F,3.454,C,3.48,C,↑,↑,2.259,F,3.334,C,3.36,C,↑,↑,2.166,F,3.204,C,3.233,C,↑,↑,2.115,F,3.131,C,3.158,C,↑,↑,-0.94,over_equipped,0.16,matched,0.19,matched,-1.03,over_equipped,0.04,matched,0.07,matched,-1.12,over_equipped,-0.09,matched,-0.06,matched,-1.17,over_equipped,-0.16,matched,-0.13,matched
PASIR RIS,2.1.0,C,B,3.58,1.0,1.0,1.0,3.802,B,4.06,B+,4.298,B+,↑,↑,3.312,C,3.814,B,4.248,B+,↑,↑,3.647,B,3.962,B,4.253,B+,↑,↑,3.278,C,3.753,B,4.164,B+,↑,↑,0.22,matched,0.48,matched,0.72,punches_above,-0.27,matched,0.23,matched,0.67,punches_above,0.07,matched,0.38,matched,0.67,punches_above,-0.3,matched,0.17,matched,0.58,punches_above
JURONG EAST,2.1.0,A,B,3.62,0.7,1.0,1.0,2.494,F,3.71,B,3.766,B,↑,↑,2.566,D,3.897,B,3.994,B,↑,↑,2.425,F,3.669,B,3.736,B,↑,↑,2.421,F,3.674,B,3.767,B,↑,↑,-1.13,over_equipped,0.09,matched,0.15,matched,-1.05,over_equipped,0.28,matched,0.37,matched,-1.2,over_equipped,0.05,matched,0.12,matched,-1.2,over_equipped,0.05,matched,0.15,matched
BISHAN,2.1.0,B,B,3.61,1.0,1.0,1.0,3.704,B,3.764,B,3.803,B,→,→,3.511,B,3.628,B,3.666,B,↑,↑,3.546,B,3.62,B,3.691,B,→,↑,3.392,C,3.503,B,3.534,B,↑,↑,0.09,matched,0.15,matched,0.19,matched,-0.1,matched,0.02,matched,0.06,matched,-0.06,matched,0.01,matched,0.08,matched,-0.22,matched,-0.11,matched,-0.08,matched
BEDOK,2.1.0,B,B+,4.18,0.832,1.0,1.0,3.483,C,4.203,B+,4.203,B+,↑,↑,3.496,C,4.212,B+,4.212,B+,↑,↑,3.512,B,4.237,B+,4.237,B+,↑,↑,3.313,C,3.992,B,3.992,B,↑,↑,-0.7,over_equipped,0.02,matched,0.02,matched,-0.68,over_equipped,0.03,matched,0.03,matched,-0.67,over_equipped,0.06,matched,0.06,matched,-0.87,over_equipped,-0.19,matched,-0.19,matched
TAMPINES,2.1.0,A,B,3.56,0.712,1.0,1.0,2.572,D,3.798,B,3.857,B,↑,↑,2.45,F,3.786,B,3.877,B,↑,↑,2.49,F,3.723,B,3.798,B,↑,↑,2.343,F,3.619,B,3.706,B,↑,↑,-0.99,over_equipped,0.24,matched,0.3,matched,-1.11,over_equipped,0.23,matched,0.32,matched,-1.07,over_equipped,0.16,matched,0.24,matched,-1.22,over_equipped,0.06,matched,0.15,matched
TOA PAYOH,2.1.0,B,B+,4.24,0.856,1.0,1.0,3.682,B,4.337,B+,4.345,B+,↑,↑,3.648,B,4.275,B+,4.278,B+,↑,↑,3.653,B,4.354,B+,4.374,B+,↑,↑,3.474,C,4.063,B+,4.064,B+,↑,↑,-0.56,over_equipped,0.1,matched,0.1,matched,-0.59,over_equipped,0.04,matched,0.04,matched,-0.59,over_equipped,0.11,matched,0.13,matched,-0.77,over_equipped,-0.18,matched,-0.18,matched
QUEENSTOWN,2.1.0,B,B,3.53,0.96,1.0,1.0,3.517,B,3.697,B,3.738,B,↑,↑,3.29,C,3.443,C,3.474,C,↑,↑,3.356,C,3.552,B,3.612,B,↑,↑,3.107,C,3.249,C,3.277,C,↑,↑,-0.01,matched,0.17,matched,0.21,matched,-0.24,matched,-0.09,matched,-0.06,matched,-0.17,matched,0.02,matched,0.08,matched,-0.42,matched,-0.28,matched,-0.25,matched
SERANGOON,2.1.0,B,C,3.18,0.7,1.0,1.0,2.356,F,3.713,B,3.773,B,↑,↑,2.132,F,3.616,B,3.726,B,↑,↑,2.043,F,3.388,C,3.46,C,↑,↑,2.08,F,3.506,B,3.611,B,↑,↑,-0.82,over_equipped,0.53,punches_above,0.59,punches_above,-1.05,over_equipped,0.44,matched,0.55,punches_above,-1.14,over_equipped,0.21,matched,0.28,matched,-1.1,over_equipped,0.33,matched,0.43,matched
SEMBAWANG,2.1.0,B,B,3.93,0.7,1.0,1.0,2.82,D,4.124,B+,4.138,B+,↑,↑,2.745,D,3.994,B,4.006,B+,↑,↑,2.648,D,3.918,B,3.933,B,↑,↑,2.59,D,3.769,B,3.781,B,↑,↑,-1.11,over_equipped,0.19,matched,0.21,matched,-1.18,over_equipped,0.06,matched,0.08,matched,-1.28,over_equipped,-0.01,matched,0.0,matched,-1.34,over_equipped,-0.16,matched,-0.15,matched
