estate,model_version,archetype,provision_band,provision_score,D_T0,D_T5,D_T15,yf_T0,yf_T0_band,yf_T5,yf_T5_band,yf_T15,yf_T15_band,yf_arrow,yf_T15_arrow,sp_T0,sp_T0_band,sp_T5,sp_T5_band,sp_T15,sp_T15_band,sp_arrow,sp_T15_arrow,ret_T0,ret_T0_band,ret_T5,ret_T5_band,ret_T15,ret_T15_band,ret_arrow,ret_T15_arrow,ls_T0,ls_T0_band,ls_T5,ls_T5_band,ls_T15,ls_T15_band,ls_arrow,ls_T15_arrow,gap_yf_T0,gap_yf_T0_label,gap_yf_T5,gap_yf_T5_label,gap_yf_T15,gap_yf_T15_label,gap_sp_T0,gap_sp_T0_label,gap_sp_T5,gap_sp_T5_label,gap_sp_T15,gap_sp_T15_label,gap_ret_T0,gap_ret_T0_label,gap_ret_T5,gap_ret_T5_label,gap_ret_T15,gap_ret_T15_label,gap_ls_T0,gap_ls_T0_label,gap_ls_T5,gap_ls_T5_label,gap_ls_T15,gap_ls_T15_label,provision_private,measured_only,value_hdb_score,value_hdb_band,value_hdb_basis,value_hdb_n,emp_score,emp_band,best_node,worst_node,lease_score,lease_band,lease_source,archetype_confidence,provision_private_status,value_hdb_status,employment_status,lease_status,value_private_band,value_private_basis,value_private_score,value_private_n,value_private_status
WOODLANDS,2.1.0,A,C,3.33,0.7,1.0,1.0,2.371,F,3.486,C,3.512,B,↑,↑,2.279,F,3.362,C,3.387,C,↑,↑,2.211,F,3.268,C,3.297,C,↑,↑,2.131,F,3.153,C,3.18,C,↑,↑,-0.96,over_equipped,0.16,matched,0.18,matched,-1.05,over_equipped,0.03,matched,0.06,matched,-1.12,over_equipped,-0.06,matched,-0.03,matched,-1.2,over_equipped,-0.18,matched,-0.15,matched,3.45,False,3.836041288427407,B,direct,17154,2.45,F,woodlands_rc,jld,4.0,B+,hdb_resale,High,available,available,available,available,B+,direct,4.01654985501074,1035,available
PASIR RIS,2.1.0,C,B,3.99,1.0,1.0,1.0,4.099,B+,4.185,B+,4.277,B+,→,↑,3.835,B,4.002,B+,4.166,B+,↑,↑,3.983,B,4.088,B+,4.205,B+,↑,↑,3.779,B,3.937,B,4.091,B+,↑,↑,0.11,matched,0.19,matched,0.29,matched,-0.16,matched,0.01,matched,0.18,matched,-0.01,matched,0.1,matched,0.21,matched,-0.21,matched,-0.05,matched,0.1,matched,3.98,False,4.169048888414689,B+,direct,6971,2.65,D,changi,woodlands_rc,3.0,B,hdb_resale,Medium,available,available,available,available,not_covered,not_covered,,,not_covered
JURONG EAST,2.1.0,A,B,3.64,0.7,1.0,1.0,2.512,D,3.735,B,3.791,B,↑,↑,2.579,D,3.915,B,4.011,B+,↑,↑,2.457,F,3.715,B,3.782,B,↑,↑,2.431,F,3.689,B,3.781,B,↑,↑,-1.13,over_equipped,0.09,matched,0.15,matched,-1.06,over_equipped,0.27,matched,0.37,matched,-1.18,over_equipped,0.07,matched,0.14,matched,-1.21,over_equipped,0.05,matched,0.14,matched,3.66,False,3.871821928793626,B,direct,4869,3.88,B,jld,changi,3.0,B,hdb_resale,High,available,available,available,available,B,direct,3.801532909526183,2602,available
BISHAN,2.1.0,B,B,3.62,1.0,1.0,1.0,3.709,B,3.77,B,3.808,B,→,→,3.515,B,3.632,B,3.67,B,↑,↑,3.564,B,3.638,B,3.709,B,→,↑,3.393,C,3.504,B,3.535,B,↑,↑,0.09,matched,0.15,matched,0.19,matched,-0.1,matched,0.01,matched,0.05,matched,-0.06,matched,0.02,matched,0.09,matched,-0.23,matched,-0.12,matched,-0.08,matched,3.66,False,2.7672557401695705,D,direct,4192,3.73,B,cbd,jld,3.0,B,hdb_resale,High,available,available,available,available,B,direct,3.509478313376852,3536,available
BEDOK,2.1.0,B,B+,4.12,0.832,1.0,1.0,3.433,C,4.154,B+,4.159,B+,↑,↑,3.436,C,4.144,B+,4.149,B+,↑,↑,3.438,C,4.176,B+,4.182,B+,↑,↑,3.255,C,3.923,B,3.929,B,↑,↑,-0.69,over_equipped,0.03,matched,0.04,matched,-0.68,over_equipped,0.02,matched,0.03,matched,-0.68,over_equipped,0.06,matched,0.06,matched,-0.87,over_equipped,-0.2,matched,-0.19,matched,4.09,False,3.990781735163968,B,direct,12563,3.83,B,cbd,woodlands_rc,2.0,C,hdb_resale,High,available,available,available,available,B+,direct,4.199931621494057,5805,available
TAMPINES,2.1.0,A,B,3.77,0.712,1.0,1.0,2.683,D,3.842,B,3.878,B,↑,↑,2.63,D,3.821,B,3.868,B,↑,↑,2.622,D,3.772,B,3.819,B,↑,↑,2.514,D,3.654,B,3.7,B,↑,↑,-1.09,over_equipped,0.07,matched,0.11,matched,-1.14,over_equipped,0.05,matched,0.1,matched,-1.15,over_equipped,0.0,matched,0.05,matched,-1.26,over_equipped,-0.12,matched,-0.07,matched,3.79,False,3.605930315778987,B,direct,16707,3.35,C,changi,woodlands_rc,3.0,B,hdb_resale,High,available,available,available,available,B+,direct,4.330262048014832,6883,available
TOA PAYOH,2.1.0,B,B+,4.21,0.856,1.0,1.0,3.661,B,4.313,B+,4.318,B+,↑,↑,3.602,B,4.221,B+,4.227,B+,↑,↑,3.64,B,4.338,B+,4.344,B+,↑,↑,3.426,C,4.007,B+,4.012,B+,↑,↑,-0.55,over_equipped,0.1,matched,0.11,matched,-0.61,over_equipped,0.01,matched,0.02,matched,-0.57,over_equipped,0.13,matched,0.13,matched,-0.78,over_equipped,-0.2,matched,-0.2,matched,4.14,False,3.809433195207732,B,direct,7933,3.62,B,cbd,jld,3.0,B,hdb_resale,High,available,available,available,available,B+,direct,4.17925385599414,3306,available
QUEENSTOWN,2.1.0,B,B,3.53,0.96,1.0,1.0,3.53,B,3.711,B,3.752,B,↑,↑,3.283,C,3.436,C,3.467,C,↑,↑,3.379,C,3.577,B,3.637,B,↑,↑,3.101,C,3.242,C,3.27,C,↑,↑,0.0,matched,0.18,matched,0.22,matched,-0.25,matched,-0.09,matched,-0.06,matched,-0.15,matched,0.05,matched,0.11,matched,-0.43,matched,-0.29,matched,-0.26,matched,3.59,False,2.8578011359215134,D,direct,6591,4.4,B+,cbd,woodlands_rc,3.0,B,hdb_resale,High,available,available,available,available,C,direct,3.0055092353725192,5714,available
SERANGOON,2.1.0,B,C,3.15,0.7,1.0,1.0,2.336,F,3.685,B,3.745,B,↑,↑,2.105,F,3.578,B,3.689,B,↑,↑,2.019,F,3.353,C,3.426,C,↑,↑,2.053,F,3.468,C,3.573,B,↑,↑,-0.81,over_equipped,0.54,punches_above,0.6,punches_above,-1.04,over_equipped,0.43,matched,0.54,punches_above,-1.13,over_equipped,0.2,matched,0.28,matched,-1.1,over_equipped,0.32,matched,0.42,matched,3.25,False,2.8266095729186067,D,direct,4226,3.73,B,cbd,jld,3.0,B,hdb_resale,High,available,available,available,available,B,direct,3.517627775006669,12373,available
SEMBAWANG,2.1.0,B,B,3.89,0.7,1.0,1.0,2.798,D,4.092,B+,4.105,B+,↑,↑,2.712,D,3.947,B,3.959,B,↑,↑,2.619,D,3.877,B,3.892,B,↑,↑,2.557,D,3.721,B,3.734,B,↑,↑,-1.09,over_equipped,0.2,matched,0.22,matched,-1.18,over_equipped,0.06,matched,0.07,matched,-1.27,over_equipped,-0.01,matched,0.0,matched,-1.33,over_equipped,-0.17,matched,-0.16,matched,3.95,False,4.3816083180506995,B+,direct,7347,2.45,F,woodlands_rc,jld,4.0,B+,hdb_resale,Medium,available,available,available,available,A,direct,4.902127766581981,3290,available
