project_name,project_name_norm,postal_district,total_txns,unattributed_txns,in_edgeprop,reason
LENTOR GARDENS RESIDENCES,LENTOR GARDENS RESIDENCES,26,285,285,False,no_edgeprop_project
DUNEARN HOUSE,DUNEARN HOUSE,11,233,233,False,no_edgeprop_project
TRE RESIDENCES,TRE RESIDENCES,14,111,111,False,no_edgeprop_project
LENTOR CENTRAL RESIDENCES,LENTOR CENTRAL RESIDENCES,26,477,83,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,15,66,66,False,placeholder
NORMANTON PARK,NORMANTON PARK,05,1204,51,True,partial_match
LYNDENWOODS,LYNDENWOODS,05,343,48,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,14,44,44,False,placeholder
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,08,41,41,False,placeholder
CENTRAL GROVE,CENTRAL GROVE,14,40,40,False,no_edgeprop_project
KEW GREEN,KEW GREEN,16,40,40,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,10,40,40,False,placeholder
CANNINGHILL PIERS,CANNINGHILL PIERS,06,701,33,True,partial_match
ZYON GRAND,ZYON GRAND,03,637,33,True,partial_match
GRAND DUNMAN,GRAND DUNMAN,15,931,31,True,partial_match
NOVENA COURT,NOVENA COURT,11,31,31,True,partial_match
PROMENADE PEAK,PROMENADE PEAK,03,430,31,True,partial_match
EASTERN LAGOON,EASTERN LAGOON,15,24,24,False,no_edgeprop_project
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,12,23,23,False,placeholder
PICCADILLY GRAND,PICCADILLY GRAND,08,444,20,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,03,20,20,False,placeholder
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,19,19,19,False,placeholder
WATTEN HILL,WATTEN HILL,11,19,19,True,partial_match
PARKWOOD RESIDENCES,PARKWOOD RESIDENCES,19,17,17,False,no_edgeprop_project
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,09,15,15,False,placeholder
CHUAN PARK,CHUAN PARK,19,898,14,True,partial_match
NICON GARDENS,NICON GARDENS,23,14,14,True,partial_match
STRATFORD COURT,STRATFORD COURT,16,71,14,True,partial_match
APOLLO GARDENS,APOLLO GARDENS,16,12,12,True,partial_match
CONDOMINIUM DEVELOPMENT,CONDOMINIUM DEVELOPMENT,10,12,12,False,no_edgeprop_project
UNITED MANSION,UNITED MANSION,15,12,12,True,partial_match
WHISTLER GRAND,WHISTLER GRAND,05,257,12,True,partial_match
AMO RESIDENCE,AMO RESIDENCE,20,413,11,True,partial_match
ORCHID APARTMENTS,ORCHID APARTMENTS,11,11,11,True,partial_match
SERAYA VILLE,SERAYA VILLE,15,11,11,True,partial_match
CRESCENDO BUILDING,CRESCENDO BUILDING,15,10,10,True,partial_match
GILSTEAD COURT,GILSTEAD COURT,11,10,10,True,partial_match
THE SEN,SEN,21,162,10,True,partial_match
WATERCREST,WATERCREST,17,10,10,True,partial_match
EASTVILLE APARTMENTS,EASTVILLE APARTMENTS,15,9,9,True,partial_match
TERRA HILL,TERRA HILL,05,245,9,True,partial_match
VERDÉ JOO CHIAT,VERDE JOO CHIAT,15,9,9,False,no_edgeprop_project
CANAAN,CANAAN,14,8,8,True,partial_match
CHAPEL LODGE,CHAPEL LODGE,15,8,8,True,partial_match
EAST COURT,EAST COURT,15,8,8,True,partial_match
HILLTOPS,HILLTOPS,09,87,8,True,partial_match
NOVENA HILL,NOVENA HILL,11,8,8,True,partial_match
PARC CLEMATIS,PARC CLEMATIS,05,629,8,True,partial_match
WATTEN HOUSE,WATTEN HOUSE,11,180,8,True,partial_match
ENG AUN MANSION,ENG AUN MANSION,11,7,7,True,partial_match
KINGS APARTMENTS,KINGS APARTMENTS,15,7,7,True,partial_match
LOYANG GARDENS,LOYANG GARDENS,17,7,7,True,partial_match
PARK NATURA,PARK NATURA,23,49,7,True,partial_match
PASIR PANJANG COURT,PASIR PANJANG COURT,05,7,7,True,partial_match
REFLECTIONS AT KEPPEL BAY,REFLECTIONS AT KEPPEL BAY,04,356,7,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,05,7,7,False,placeholder
ROYALE MANSIONS,ROYALE MANSIONS,15,7,7,True,partial_match
SENNETT ESTATE,SENNETT ESTATE,13,7,7,True,partial_match
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,RESIDENCES AT W SINGAPORE SENTOSA COVE,04,123,7,True,partial_match
VICENTA LODGE,VICENTA LODGE,14,7,7,True,partial_match
VILLA DELLE ROSE,VILLA DELLE ROSE,10,7,7,True,partial_match
COTE D'AZUR,COTE DAZUR,15,112,6,True,partial_match
DYNASTY GARDEN,DYNASTY GARDEN,10,6,6,True,partial_match
LE REVE,LE REVE,14,14,6,True,partial_match
LENTOR HILLS RESIDENCES,LENTOR HILLS RESIDENCES,26,600,6,True,partial_match
MEADOWS @ PEIRCE,MEADOWS AT PEIRCE,26,75,6,True,partial_match
SKYWATERS RESIDENCES,SKYWATERS RESIDENCES,01,7,6,True,partial_match
STILL MANSIONS,STILL MANSIONS,15,6,6,True,partial_match
THE MINTON,MINTON,19,304,6,True,partial_match
BINJAI PARK,BINJAI PARK,21,5,5,True,partial_match
BOON COURT,BOON COURT,15,5,5,True,partial_match
CAMELODGE,CAMELODGE,15,5,5,True,partial_match
CHESTNUT VILLE,CHESTNUT VILLE,23,5,5,True,partial_match
CHUAN PARK (DEMOLISHED),CHUAN PARK DEMOLISHED,19,5,5,False,no_edgeprop_project
EAST GROVE,EAST GROVE,15,5,5,True,partial_match
FLORA EAST,FLORA EAST,15,5,5,True,partial_match
GILSTEAD MANSION,GILSTEAD MANSION,11,5,5,True,partial_match
KOON SENG COURT,KOON SENG COURT,15,5,5,True,partial_match
KUM HING COURT,KUM HING COURT,10,5,5,False,no_edgeprop_project
LEONIE GARDENS,LEONIE GARDENS,09,34,5,True,partial_match
LIMAU PARK,LIMAU PARK,16,5,5,True,partial_match
PARC BOTANNIA,PARC BOTANNIA,28,219,5,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,11,5,5,False,placeholder
SEVEN PALMS SENTOSA COVE,SEVEN PALMS SENTOSA COVE,04,10,5,True,partial_match
SUNSET LODGE,SUNSET LODGE,21,5,5,True,partial_match
TANGLIN HILL CONDOMINIUM,TANGLIN HILL CONDOMINIUM,10,5,5,True,partial_match
THE ELEGANCE @ CHANGI,ELEGANCE AT CHANGI,15,5,5,False,no_edgeprop_project
THE HILL @ONE-NORTH,HILL AT ONE NORTH,05,141,5,True,partial_match
THE INTERLACE,INTERLACE,04,228,5,True,partial_match
THE LUXURIE,LUXURIE,19,192,5,True,partial_match
THOMSON IMPRESSIONS,THOMSON IMPRESSIONS,20,103,5,True,partial_match
WAN THO LODGE,WAN THO LODGE,13,5,5,True,partial_match
YONG SIAK VIEW,YONG SIAK VIEW,03,5,5,True,partial_match
ASTRIDVILLE,ASTRIDVILLE,10,4,4,True,partial_match
BALLOTA PARK CONDOMINIUM,BALLOTA PARK CONDOMINIUM,17,74,4,True,partial_match
GOODWILL COURT,GOODWILL COURT,15,4,4,True,partial_match
GRANDE VISTA,GRANDE VISTA,28,56,4,True,partial_match
GRANDEUR 8,GRANDEUR 8,20,95,4,True,partial_match
GREENLANE APARTMENT,GREENLANE APARTMENT,15,4,4,True,partial_match
HIGHLAND CONDOMINIUM,HIGHLAND CONDOMINIUM,19,4,4,True,partial_match
HILLVIEW GARDEN ESTATE,HILLVIEW GARDEN ESTATE,23,4,4,True,partial_match
HOLLYWOOD APARTMENTS,HOLLYWOOD APARTMENTS,09,4,4,True,partial_match
JK BUILDING,JK BUILDING,21,4,4,True,partial_match
KATONG APARTMENTS,KATONG APARTMENTS,15,4,4,True,partial_match
KENT RIDGE HILL RESIDENCES,KENT RIDGE HILL RESIDENCES,05,453,4,True,partial_match
KISMIS COURT,KISMIS COURT,21,4,4,True,partial_match
ONE CLAYMORE,ONE CLAYMORE,09,4,4,True,partial_match
RIPPLE BAY,RIPPLE BAY,18,217,4,True,partial_match
SERENE VIEW MANSIONS,SERENE VIEW MANSIONS,13,4,4,True,partial_match
SIN CHUAN GARDEN,SIN CHUAN GARDEN,14,4,4,True,partial_match
STIRLING RESIDENCES,STIRLING RESIDENCES,03,452,4,True,partial_match
THE SPRINGBLOOM,SPRINGBLOOM,19,64,4,True,partial_match
THE WOODLEIGH RESIDENCES,WOODLEIGH RESIDENCES,13,353,4,True,partial_match
THOMSON HILLS ESTATE,THOMSON HILLS ESTATE,20,4,4,True,partial_match
TORIE MANSIONS,TORIE MANSIONS,15,4,4,True,partial_match
VALLEY MANSION,VALLEY MANSION,09,4,4,True,partial_match
WATERFRONT ISLE,WATERFRONT ISLE,16,133,4,True,partial_match
YISHUN SAPPHIRE,YISHUN SAPPHIRE,27,82,4,True,partial_match
A TREASURE TROVE,A TREASURE TROVE,19,232,3,True,partial_match
ARTISAN 8,ARTISAN 8,20,22,3,True,partial_match
BENG TONG MANSION,BENG TONG MANSION,15,3,3,True,partial_match
BRISTOL LODGE,BRISTOL LODGE,08,3,3,True,partial_match
CANNAVILLE,CANNAVILLE,15,3,3,True,partial_match
CASA CAMBIO,CASA CAMBIO,19,63,3,True,partial_match
CLAYMORE PLAZA,CLAYMORE PLAZA,09,3,3,True,partial_match
D'LEEDON,DLEEDON,10,433,3,True,partial_match
DAINTREE RESIDENCE,DAINTREE RESIDENCE,21,350,3,True,partial_match
DUET @ EMILY,DUET AT EMILY,09,3,3,False,no_edgeprop_project
EMERALD HILL CONSERVATION AREA,EMERALD HILL CONSERVATION AREA,09,3,3,True,partial_match
HERTFORD MANSION,HERTFORD MANSION,08,3,3,True,partial_match
HILLCREST PARK,HILLCREST PARK,11,3,3,True,partial_match
J COURT,J COURT,15,3,3,True,partial_match
JALAN KAYU ESTATE,JALAN KAYU ESTATE,28,3,3,True,partial_match
JI XIANG COURT,JI XIANG COURT,15,3,3,True,partial_match
JOO CHIAT MANSIONS,JOO CHIAT MANSIONS,15,8,3,True,partial_match
KINGSFORD WATERBAY,KINGSFORD WATERBAY,19,400,3,True,partial_match
KLIMT CAIRNHILL,KLIMT CAIRNHILL,09,141,3,True,partial_match
LAKEVILLE,LAKEVILLE,22,170,3,True,partial_match
LEEDON GREEN,LEEDON GREEN,10,614,3,True,partial_match
LITTLE INDIA CONSERVATION AREA,LITTLE INDIA CONSERVATION AREA,08,3,3,True,partial_match
MARINA BAY SUITES,MARINA BAY SUITES,01,58,3,True,partial_match
NORTH PARK RESIDENCES,NORTH PARK RESIDENCES,27,194,3,True,partial_match
NOUVEL 18,NOUVEL 18,10,90,3,True,partial_match
PANDAN VALLEY,PANDAN VALLEY,21,86,3,True,partial_match
PEOPLE'S GARDEN,PEOPLES GARDEN,19,3,3,True,partial_match
PICARDY GARDENS,PICARDY GARDENS,16,3,3,True,partial_match
RESIDENTIAL APARTMENTS,RESIDENTIAL APARTMENTS,26,3,3,False,placeholder
RIVERGATE,RIVERGATE,09,68,3,True,partial_match
RIVERSAILS,RIVERSAILS,19,243,3,True,partial_match
SAPPHIRE COURT,SAPPHIRE COURT,15,3,3,True,partial_match
SING LIAN BUILDING,SING LIAN BUILDING,14,3,3,True,partial_match
ST MARTIN'S,ST MARTINS,10,5,3,True,partial_match
ST PATRICK'S COURT,ST PATRICKS COURT,15,3,3,True,partial_match
TEACHERS' HOUSING ESTATE,TEACHERS HOUSING ESTATE,26,3,3,False,no_edgeprop_project
THE ARTE,ARTE,12,67,3,True,partial_match
THE POIZ RESIDENCES,POIZ RESIDENCES,13,221,3,True,partial_match
THE TRILINQ,TRILINQ,05,247,3,True,partial_match
THE VIRIDIAN,VIRIDIAN,12,42,3,True,partial_match
TOH YI COURT,TOH YI COURT,21,3,3,True,partial_match
TORIEVIEW MANSIONS,TORIEVIEW MANSIONS,14,8,3,True,partial_match
VACANZA @ EAST,VACANZA AT EAST,14,125,3,True,partial_match
AALTO,AALTO,15,68,2,True,partial_match
ALEXIS,ALEXIS,03,82,2,True,partial_match
AMBER PARK,AMBER PARK,15,518,2,True,partial_match
ARCHIPELAGO,ARCHIPELAGO,16,150,2,True,partial_match
ASTRID MEADOWS,ASTRID MEADOWS,10,36,2,True,partial_match
BARTLEY RIDGE,BARTLEY RIDGE,13,259,2,True,partial_match
BELLE VUE RESIDENCES,BELLE VUE RESIDENCES,09,40,2,True,partial_match
BOULEVARD 88,BOULEVARD 88,10,155,2,True,partial_match
CARABELLE,CARABELLE,05,74,2,True,partial_match
CARIBBEAN AT KEPPEL BAY,CARIBBEAN AT KEPPEL BAY,04,191,2,True,partial_match
CLAVON,CLAVON,05,746,2,True,partial_match
COCO PALMS,COCO PALMS,18,254,2,True,partial_match
COMPASS HEIGHTS,COMPASS HEIGHTS,19,85,2,True,partial_match
