project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
BOAT QUAY CONSERVATION AREA,BOAT QUAY,01,CENTRAL AREA,1.287258019840631,103.8492310297781,matched,105,BOAT QUAY CONSERVATION AREA BOAT QUAY,BOAT QUAY CONSERVATION AREA,BOAT QUAY,56 BOAT QUAY BOAT QUAY CONSERVATION AREA SINGAPORE 049845,049845,"project,street"
EMERALD GARDEN,CLUB STREET,01,CENTRAL AREA,1.281548629244838,103.8464725700609,matched,105,EMERALD GARDEN CLUB STREET,EMERALD GARDEN,CLUB STREET,33 CLUB STREET EMERALD GARDEN SINGAPORE 069415,069415,"project,street"
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,01,CENTRAL AREA,1.284974882399226,103.8464391330763,matched,105,FOOK HAI BUILDING SOUTH BRIDGE ROAD,FOOK HAI BUILDING,SOUTH BRIDGE ROAD,150 SOUTH BRIDGE ROAD FOOK HAI BUILDING SINGAPORE 058727,058727,"project,street"
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,CENTRAL AREA,1.279625798918008,103.8549872037732,matched,105,MARINA BAY RESIDENCES MARINA BOULEVARD,MARINA BAY RESIDENCES,MARINA BOULEVARD,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,018980,"project,street"
MARINA BAY SUITES,CENTRAL BOULEVARD,01,CENTRAL AREA,1.280344979995934,103.8521432776714,matched,105,MARINA BAY SUITES CENTRAL BOULEVARD,MARINA BAY SUITES,CENTRAL BOULEVARD,3 CENTRAL BOULEVARD MARINA BAY SUITES SINGAPORE 018965,018965,"project,street"
MARINA ONE RESIDENCES,MARINA WAY,01,CENTRAL AREA,1.277224256162836,103.8536949402406,matched,105,MARINA ONE RESIDENCES MARINA WAY,MARINA ONE RESIDENCES,MARINA WAY,23 MARINA WAY MARINA ONE RESIDENCES SINGAPORE 018979,018979,"project,street"
ONE MARINA GARDENS,MARINA GARDENS LANE,01,CENTRAL AREA,1.275800608512697,103.8629361923512,matched,105,ONE MARINA GARDENS MARINA GARDENS LANE,ONE MARINA GARDENS (U/C),MARINA GARDENS LANE,1 MARINA GARDENS LANE ONE MARINA GARDENS (U/C) SINGAPORE 019921,019921,"project,street"
ONE SHENTON,SHENTON WAY,01,CENTRAL AREA,1.27929478959372,103.8505525550745,matched,105,ONE SHENTON SHENTON WAY,ONE SHENTON,SHENTON WAY,1 SHENTON WAY ONE SHENTON SINGAPORE 068803,068803,"project,street"
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,01,CENTRAL AREA,1.285770099818055,103.8439801228374,matched,105,PEOPLE'S PARK CENTRE UPPER CROSS STREET,PEOPLE'S PARK CENTRE,UPPER CROSS STREET,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,058357,"project,street"
PEOPLE'S PARK COMPLEX,PARK ROAD,01,CENTRAL AREA,1.284133971784198,103.8425199726656,matched,105,PEOPLE'S PARK COMPLEX PARK ROAD,PEOPLE'S PARK COMPLEX,PARK ROAD,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,059108,"project,street"
