project_name,street_name,postal_district,planning_area,lat,lon,match_status,primary_1km_count,primary_1km_ranked_count,top_primary_1km_count,primary_1km_schools,best_primary_1km_school,best_primary_1km_rank,best_primary_1km_distance_m,best_primary_1km_metric,best_primary_1km_source_year,secondary_2km_count,secondary_2km_ranked_count,top_secondary_2km_count,best_secondary_2km_school,best_secondary_2km_rank,best_secondary_2km_distance_m,best_secondary_2km_metric,best_secondary_2km_source_year,jc_5km_count,jc_5km_ranked_count,top_jc_5km_count,best_jc_5km_school,best_jc_5km_rank,best_jc_5km_distance_m,best_jc_5km_metric,best_jc_5km_source_year,has_primary_1km,has_ranked_primary_1km
BOAT QUAY CONSERVATION AREA,BOAT QUAY,1,CENTRAL AREA,1.287258019840631,103.8492310297781,matched,0,0,0,,,,,,,1,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4657,IB 6,2025.0,False,False
EMERALD GARDEN,CLUB STREET,1,CENTRAL AREA,1.281548629244838,103.8464725700609,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,1,0,0,,,,,,3,1,1,DUNMAN HIGH SCHOOL,8,4542,Arts 8; Science 7,2025.0,True,False
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,1,CENTRAL AREA,1.284974882399226,103.8464391330763,matched,0,0,0,,,,,,,1,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4741,IB 6,2025.0,False,False
MARINA BAY RESIDENCES,MARINA BOULEVARD,1,CENTRAL AREA,1.279625798918008,103.8549872037732,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,3843,Arts 8; Science 7,2025.0,False,False
MARINA BAY SUITES,CENTRAL BOULEVARD,1,CENTRAL AREA,1.280344979995934,103.8521432776714,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4060,Arts 8; Science 7,2025.0,False,False
MARINA ONE RESIDENCES,MARINA WAY,1,CENTRAL AREA,1.277224256162836,103.8536949402406,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4119,Arts 8; Science 7,2025.0,False,False
ONE MARINA GARDENS,MARINA GARDENS LANE,1,CENTRAL AREA,1.275800608512697,103.8629361923512,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,3488,Arts 8; Science 7,2025.0,False,False
ONE SHENTON,SHENTON WAY,1,CENTRAL AREA,1.27929478959372,103.8505525550745,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4271,Arts 8; Science 7,2025.0,False,False
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,1,CENTRAL AREA,1.285770099818055,103.8439801228374,matched,0,0,0,,,,,,,1,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4550,IB 6,2025.0,False,False
PEOPLE'S PARK COMPLEX,PARK ROAD,1,CENTRAL AREA,1.284133971784198,103.8425199726656,matched,0,0,0,,,,,,,1,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4663,IB 6,2025.0,False,False
ROBINSON SUITES,ROBINSON ROAD,1,CENTRAL AREA,1.280934744561978,103.8498224657338,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4246,Arts 8; Science 7,2025.0,False,False
THE CLIFT,MCCALLUM STREET,1,CENTRAL AREA,1.279400142886165,103.8473295791477,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4572,Arts 8; Science 7,2025.0,True,False
THE RIVERSIDE PIAZZA,KENG CHEOW STREET,1,CENTRAL AREA,1.288486200031616,103.8440494413625,matched,0,0,0,,,,,,,1,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4275,IB 6,2025.0,False,False
THE SAIL @ MARINA BAY,MARINA BOULEVARD,1,CENTRAL AREA,1.28076943476847,103.8526585621513,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,3986,Arts 8; Science 7,2025.0,False,False
UNION SQUARE RESIDENCES,HAVELOCK ROAD,1,CENTRAL AREA,1.288001080520596,103.8434537136866,matched,0,0,0,,,,,,,1,0,0,,,,,,4,2,2,ST. JOSEPH'S INSTITUTION,5,4299,IB 6,2025.0,False,False
V ON SHENTON,SHENTON WAY,1,CENTRAL AREA,1.277083407076311,103.8491813435475,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4534,Arts 8; Science 7,2025.0,False,False
W RESIDENCES MARINA VIEW - SINGAPORE,MARINA VIEW,1,CENTRAL AREA,1.276658476210224,103.8498342786148,matched,0,0,0,,,,,,,0,0,0,,,,,,2,1,1,DUNMAN HIGH SCHOOL,8,4501,Arts 8; Science 7,2025.0,False,False
76 SHENTON,SHENTON WAY,2,CENTRAL AREA,1.273466113485299,103.8455807925103,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
ALTEZ,ENGGOR STREET,2,CENTRAL AREA,1.274617941038219,103.8443195536877,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
CRAIG PLACE,CRAIG ROAD,2,CENTRAL AREA,1.278031247126998,103.8423879126401,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
DORSETT RESIDENCES,NEW BRIDGE ROAD,2,CENTRAL AREA,1.2800452933183,103.8403586732533,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,2,0,0,,,,,,True,False
EON SHENTON,SHENTON WAY,2,CENTRAL AREA,1.273886603639456,103.8462355422443,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
ICON,GOPENG STREET,2,CENTRAL AREA,1.275169975779209,103.8444963126445,matched,1,0,0,CANTONMENT PRIMARY SCHOOL,,,,,,0,0,0,,,,,,1,0,0,,,,,,True,False
