estate,property_segment,n,resid_raw,resid_shrunk,trust,value_score,value_band,mult,value_basis,reported
SEMBAWANG,condo,2704,-0.22629598870093037,-0.22380654710711792,decimal,4.987500000000001,A,1.25,direct,4.99
CANBERRA,condo,2704,-0.22629598870093037,-0.22380654710711792,decimal,4.525,A,1.25,proxy_from:SEMBAWANG,4.53
TAMPINES WEST,condo,5945,-0.14542015885725945,-0.1446871281589878,decimal,4.3800193721914,B+,1.1556779346151451,proxy_from:TAMPINES,4.38
BEDOK,condo,4656,-0.02818569126395687,-0.02800156313882369,decimal,4.28841670742275,B+,1.0283972919479019,direct,4.29
TOA PAYOH,condo,2968,-0.019440995884733248,-0.019240701177262478,decimal,4.261204844812538,B+,1.019426996366636,direct,4.26
TAMPINES,condo,5945,-0.14542015885725945,-0.1446871281589878,decimal,4.1719973439606735,B+,1.1556779346151451,direct,4.17
TAMPINES EAST,condo,5945,-0.14542015885725945,-0.1446871281589878,decimal,4.148883785268371,B+,1.1556779346151451,proxy_from:TAMPINES,4.15
CHOA CHU KANG,condo,5530,-0.10787724431641799,-0.10729206967865758,decimal,4.096794431196071,B+,1.11325935630328,direct,4.1
BOON KENG,condo,1436,-0.04802829882857029,-0.04703368585359589,decimal,4.08781353457964,B+,1.048157316558882,direct,4.09
ANG MO KIO,condo,3970,-0.0813574128281509,-0.08074291881782593,decimal,4.065345603919199,B+,1.0840921610451197,direct,4.07
GEYLANG,condo,4506,-0.06271254316508745,-0.06229397395181408,decimal,4.012317383065099,B+,1.064275167921777,direct,4.01
WOODLANDS,condo,854,-0.1518637044297506,-0.14669044109338422,decimal,3.9487644495082432,B,1.1579954397384877,direct,3.95
CLEMENTI,condo,7330,-0.04976161501129628,-0.04955643809461228,decimal,3.9405183598779403,B,1.0508048959674507,direct,3.94
BUKIT MERAH,condo,1673,0.06301932878477068,0.061919313395993374,decimal,3.788033665010042,B,0.9399587258089434,direct,3.79
JURONG EAST,condo,2303,-0.031661032007725964,-0.031246507954280984,decimal,3.7452154907351862,B,1.0317398046102442,direct,3.75
WOODLEIGH,condo,2968,-0.019440995884733248,-0.019240701177262478,decimal,3.680131456883556,B,1.019426996366636,proxy_from:TOA PAYOH,3.68
SERANGOON,condo,10015,-0.08127522558352673,-0.08103077457068839,decimal,3.5676900421446214,B,1.0844042681290642,direct,3.57
BUKIT TIMAH,condo,12280,0.12183489186990393,0.12153937658967308,decimal,3.489091358970782,C,0.885556182479894,direct,3.49
BISHAN,condo,2629,0.047805397705909414,0.047272525094129825,decimal,3.4814700839465074,C,0.9538274202593171,direct,3.48
CENTRAL AREA,condo,3658,0.21144331286309104,0.2097280076219204,decimal,3.437812134458545,C,0.810804748693053,direct,3.44
QUEENSTOWN,condo,5434,0.17801442807417356,0.17704020055115566,decimal,2.9991310594472833,D,0.8377461059908613,direct,3.0
DOVER,condo,5434,0.17801442807417356,0.17704020055115566,decimal,2.8986015267283802,D,0.8377461059908613,proxy_from:QUEENSTOWN,2.9
MARINE PARADE,condo,9480,0.0678554443061321,0.06764320354138673,decimal,2.8692031928118915,D,0.934593873880095,direct,2.87
KALLANG,condo,959,0.2725434544173879,0.26429365666605703,decimal,2.8253128321585446,D,0.7677480522169958,direct,2.83
TENGAH,condo,675,-0.09727417423532714,-0.09311037440055382,decimal,2.7439571840860184,D,1.0975828736344073,direct,2.74
HOLLAND VILLAGE,condo,0,,,band_only,,N/A,,no_hdb_segment,no private-segment match
LENTOR,condo,0,,,band_only,,N/A,,no_hdb_segment,no private-segment match
SEMBAWANG,landed,316,-0.07828998856329505,-0.06999097792917544,decimal,4.27926903516185,B+,1.072498505053095,direct,4.28
BEDOK,landed,854,-0.019049826133248793,-0.01781198359195468,decimal,4.244941417873287,B+,1.0179715630391575,direct,4.24
ANG MO KIO,landed,340,-0.0662462740791927,-0.05946209503897024,decimal,3.9797457487066907,B,1.0612655329884508,direct,3.98
WOODLANDS,landed,106,-0.1978181651942279,-0.1503379962358943,decimal,3.9631940860316153,B,1.1622270047013534,direct,3.96
BUKIT MERAH,landed,66,0.019848399383153748,0.01909117064369457,band_only,3.9537923436128755,B,0.9810899115664703,direct,"B (band only, n<100)"
JURONG EAST,landed,170,-0.10017146406820032,-0.08253195434543761,decimal,3.9423011562240586,B,1.086033376370264,direct,3.94
TOA PAYOH,landed,45,0.08813779729142368,0.05985278534160796,band_only,3.937155314695621,B,0.9419031853338806,direct,"B (band only, n<100)"
GEYLANG,landed,393,-0.04436237722798708,-0.039980274770904004,decimal,3.9237792204979107,B,1.040790244163902,direct,3.92
CANBERRA,landed,316,-0.07828998856329505,-0.06999097792917544,decimal,3.8824445882922043,B,1.072498505053095,proxy_from:SEMBAWANG,3.88
TAMPINES WEST,landed,95,-0.00913198748546229,-0.0027582463088990875,band_only,3.8004681837886154,B,1.0027620537700832,proxy_from:TAMPINES,"B (band only, n<100)"
CHOA CHU KANG,landed,415,-0.02440919066827618,-0.021588890123209175,decimal,3.7603109080859687,B,1.0218236163277088,direct,3.76
CLEMENTI,landed,305,0.029861902935387263,0.028748174381491486,decimal,3.6437292105859744,B,0.9716611228229265,direct,3.64
TAMPINES,landed,95,-0.00913198748546229,-0.0027582463088990875,band_only,3.6199710141100003,B,1.0027620537700832,direct,"B (band only, n<100)"
TAMPINES EAST,landed,95,-0.00913198748546229,-0.0027582463088990875,band_only,3.5999157730345988,B,1.0027620537700832,proxy_from:TAMPINES,"B (band only, n<100)"
BOON KENG,landed,25,0.19114719022932825,0.09638977778617705,band_only,3.541628945309194,B,0.9081099859767163,direct,"B (band only, n<100)"
QUEENSTOWN,landed,14,0.013593071147548486,0.01620593224027751,band_only,3.5224503450117877,B,0.9839246773775943,direct,"B (band only, n<100)"
CENTRAL AREA,landed,14,0.5560870047843087,0.18881763839742852,band_only,3.5104549021995264,B,0.8279374769338506,direct,"B (band only, n<100)"
BISHAN,landed,730,0.05996918554550579,0.058289820356218096,decimal,3.443324218066435,C,0.9433764981003933,direct,3.44
DOVER,landed,14,0.013593071147548486,0.01620593224027751,band_only,3.404379383726476,C,0.9839246773775943,proxy_from:QUEENSTOWN,"C (band only, n<100)"
WOODLEIGH,landed,45,0.08813779729142368,0.05985278534160796,band_only,3.400270499055309,C,0.9419031853338806,proxy_from:TOA PAYOH,"C (band only, n<100)"
SERANGOON,landed,1829,-0.03255044766382653,-0.0317439541445036,decimal,3.3961129204825515,C,1.0322531673199244,direct,3.4
BUKIT TIMAH,landed,1229,0.2009186111365473,0.19654625187396596,decimal,3.2369595263968884,C,0.8215633315728144,direct,3.24
MARINE PARADE,landed,1260,0.10421083714113699,0.10219256807778228,decimal,2.7717669184006417,D,0.9028556737461374,direct,2.77
HOLLAND VILLAGE,landed,0,,,band_only,,N/A,,no_hdb_segment,no private-segment match
LENTOR,landed,0,,,band_only,,N/A,,no_hdb_segment,no private-segment match
