project_name,project_name_norm,postal_district,planning_area,property_type,tenure,sale_month,type_of_sale,transacted_price,area_sqm,floor_level,data_source,bedrooms,bedroom_source
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2019-01,Resale,2600000,115.0,,edgeprop_backfill,3,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2019-12,Resale,1620000,77.0,,edgeprop_backfill,1,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2019-12,Resale,2000000,96.0,,edgeprop_backfill,2,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-03,Resale,2100000,104.0,,edgeprop_backfill,2,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-06,Resale,1558000,77.0,,edgeprop_backfill,1,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-07,Resale,1975000,96.0,,edgeprop_backfill,2,edgeprop_exact
EMERALD GARDEN,EMERALD GARDEN,01,OUTRAM,Condominium,999 Yrs From 01/10/1827,2020-07,Resale,2450000,122.0,,edgeprop_backfill,3,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2019-03,Resale,3380000,151.0,,edgeprop_backfill,3,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2019-08,Resale,3030000,151.0,,edgeprop_backfill,3,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2019-11,Resale,4680000,249.0,,edgeprop_backfill,4,edgeprop_exact
MARINA BAY SUITES,MARINA BAY SUITES,01,DOWNTOWN CORE,Condominium,99 Yrs From 08/03/2007,2020-10,Resale,5150000,249.0,,edgeprop_backfill,4,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-06,Resale,1850000,102.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-06,Resale,2453220,148.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-08,Resale,1226000,57.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-09,Resale,1880000,102.0,,edgeprop_backfill,2,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-09,Resale,2100000,142.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-10,Resale,2300000,141.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-10,Resale,2500000,149.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-11,Resale,2500000,149.0,,edgeprop_backfill,3,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2019-12,Resale,1060000,54.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-01,Resale,1030000,49.0,,edgeprop_backfill,1,edgeprop_exact
ONE SHENTON,ONE SHENTON,01,DOWNTOWN CORE,"Apartment, Condominium",99 Yrs From 14/10/2005,2020-01,Resale,1285000,75.0,,edgeprop_backfill,1,edgeprop_exact
