estate,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,model_version,band
WOODLANDS,3.2,3.49,2.0,5.0,3.35,5.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,1.0,4.0,1.8,3.31,1.0,3.31,3.43,3.43,False,2.1.0,C
PASIR RIS,3.67,4.02,5.0,5.0,4.45,4.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.8,4.0,1.0,4.0,3.98,3.98,False,2.1.0,B+
JURONG EAST,4.25,4.32,2.0,4.4,3.9,4.5,4.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,3.4,3.63,1.0,3.63,3.64,3.64,False,2.1.0,B
BISHAN,3.63,3.34,4.0,5.0,3.35,4.5,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,1.8,3.61,1.0,3.61,3.65,3.65,False,2.1.0,B
BEDOK,4.35,4.55,4.0,4.4,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,4.5,4.5,1.0,4.0,4.8,4.13,1.0,4.13,4.1,4.1,False,2.1.0,B+
TAMPINES,4.29,3.34,3.3,5.0,4.45,5.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,2.5,2.0,4.0,1.8,3.76,1.0,3.76,3.79,3.79,False,2.1.0,B
TOA PAYOH,4.47,4.7,5.0,4.4,3.9,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,3.5,1.0,3.0,5.0,4.2,1.0,4.2,4.13,4.13,False,2.1.0,B+
QUEENSTOWN,3.04,4.28,2.0,5.0,4.1,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,3.52,1.0,3.52,3.58,3.58,False,2.1.0,B
SERANGOON,2.05,3.49,3.0,5.0,3.0,1.5,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.5,2.0,4.0,4.4,3.15,1.0,3.15,3.25,3.25,False,2.1.0,C
SEMBAWANG,3.67,3.66,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.5,1.0,4.0,3.4,3.89,1.0,3.89,3.95,3.95,False,2.1.0,B
MARINE PARADE,2.63,3.0,4.3,4.4,3.55,3.5,3.0,3.0,4.0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.4,3.03,1.0,3.03,3.07,3.07,False,2.1.0,C
CANBERRA,3.47,2.98,4.0,3.8,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,3.0,1.8,3.58,1.0,3.58,3.61,3.61,False,2.1.0,B
BOON KENG,4.63,4.32,3.3,5.0,4.45,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.5,3.0,1.0,2.0,3.8,3.92,1.0,3.92,3.91,3.91,False,2.1.0,B
WOODLEIGH,3.51,3.09,5.0,5.0,3.1,3.5,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.5,1.0,3.0,3.8,3.56,1.0,3.56,3.59,3.59,False,2.1.0,B
DOVER,3.93,3.01,4.0,4.4,2.55,4.5,5.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,4.5,1.0,2.0,1.8,3.49,1.0,3.49,3.51,3.51,False,2.1.0,C
TENGAH,1.5,1.75,3.0,4.4,3.2,3.0,1.0,1.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,4.5,3.5,1.0,5.0,1.8,2.39,1.0,2.39,2.5,2.5,False,2.1.0,F
TAMPINES WEST,3.76,4.36,2.0,5.0,3.9,4.5,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,1.0,4.4,3.7,1.0,3.7,3.73,3.73,False,2.1.0,B
TAMPINES EAST,3.04,2.98,3.0,5.0,3.45,4.5,3.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,3.13,1.0,3.13,3.21,3.21,False,2.1.0,C
ANG MO KIO,3.57,4.06,4.0,5.0,5.0,4.5,3.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,4.0,4.4,3.66,1.0,3.66,3.69,3.69,False,2.1.0,B
LENTOR,4.06,2.1,5.0,4.4,3.0,4.0,5.0,1.0,4.0,3.0,5.0,2.0,1.0,3.0,3.0,5.0,4.5,1.0,4.0,3.4,3.46,1.0,3.46,3.39,3.39,False,2.1.0,C
SENGKANG,3.83,3.87,3.0,5.0,4.45,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.4,3.64,1.0,3.64,3.66,3.66,False,2.1.0,B
PUNGGOL,3.52,2.88,5.0,4.4,2.1,1.5,5.0,1.0,4.0,1.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,3.8,3.43,1.0,3.43,3.47,3.47,False,2.1.0,C
YISHUN,3.92,4.06,4.0,5.0,4.45,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.5,4.0,1.0,3.0,4.4,3.9,1.0,3.9,3.94,3.94,False,2.1.0,B
HOUGANG,4.64,3.04,4.3,5.0,4.45,4.5,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.5,2.0,3.0,1.8,4.02,1.0,4.02,4.03,4.03,False,2.1.0,B+
CHOA CHU KANG,3.7,2.89,4.0,5.0,3.9,4.5,4.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,4.5,4.0,2.0,4.0,1.8,3.66,1.0,3.66,3.67,3.67,False,2.1.0,B
BUKIT BATOK,3.95,2.89,4.0,5.0,4.45,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.5,4.0,1.0,3.0,1.8,3.68,1.0,3.68,3.73,3.73,False,2.1.0,B
BUKIT MERAH,4.34,4.36,3.0,5.0,4.45,4.5,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,4.4,3.99,1.0,3.99,3.99,3.99,False,2.1.0,B
BUKIT PANJANG,5.0,3.87,3.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,3.5,1.0,3.0,3.4,4.03,1.0,4.03,4.01,4.01,False,2.1.0,B+
GEYLANG,3.79,4.55,3.3,5.0,4.45,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,4.4,3.74,1.0,3.74,3.75,3.75,False,2.1.0,B
CLEMENTI,3.75,4.02,3.0,5.0,5.0,4.5,4.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,4.5,1.0,3.0,3.4,3.68,1.0,3.68,3.73,3.73,False,2.1.0,B
