project_name,postal_district,planning_area,property_type,tenure,sale_date,sale_month,type_of_sale,price,area_sqft,area_sqm,unit_price_psf,floor_level,unit_floor,address,bedrooms,sources,match_method
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,,2025-08,New Sale,1359100,667.0,62.0,2038,01 to 05,,,,ura_only,ura_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,880000,409.0,38.0,2152,01 to 05,1,53 Canberra Crescent #01-XX,1,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-02,2025-08,New Sale,880000,409.0,38.0,2152,,1,55 Canberra Crescent #01-XX,1,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs from 04/11/2024,2025-08-02,2025-08,New Sale,880000,409.0,38.0,2152,,1,57 Canberra Crescent #01-XX,1,edgeprop_only,edgeprop_only
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1097900,570.0,53.0,1926,01 to 05,3,53 Canberra Crescent #03-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1100600,570.0,53.0,1931,01 to 05,4,53 Canberra Crescent #04-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1101000,570.0,53.0,1932,06 to 10,6,51 Canberra Crescent #06-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1103000,570.0,53.0,1935,06 to 10,7,51 Canberra Crescent #07-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1103400,570.0,53.0,1936,01 to 05,5,53 Canberra Crescent #05-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-02,2025-08,New Sale,1106000,570.0,53.0,1940,06 to 10,8,51 Canberra Crescent #08-XX,2,both,group+floor
