estate,segment,n,resid_raw,resid_shrunk,trust,conn,amen,green,sch,hlth,eldercare,infra,childcare,community,sport,flood,noise,air_noise,jtc_industrial,air_quality,stewardship,env,dens,mom,hawker,provision,weight_covered,score,provision_private,score_private,measured_only,model_version,band,value_score,value_band,mult,value_basis,reported
BUKIT PANJANG,hdb_resale,8552,-0.10679193475103066,-0.10641862339673945,decimal,5.0,3.87,3.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,3.5,1.0,3.0,3.4,4.01,1.0,4.01,3.99,3.99,False,2.1.0,B+,4.46027250845214,B+,1.1122874085915562,direct,4.46
SEMBAWANG,hdb_resale,7347,-0.11949263521621489,-0.11900669526006975,decimal,3.67,3.66,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.5,1.0,4.0,3.4,3.89,1.0,3.89,3.95,3.95,False,2.1.0,B,4.3816083180506995,B+,1.1263774596531362,direct,4.38
CHOA CHU KANG,hdb_resale,10805,-0.15924239340786528,-0.15880148230475202,decimal,3.7,2.89,4.0,5.0,3.45,4.5,4.0,5.0,4.0,5.0,5.0,1.0,5.0,2.0,3.0,4.5,4.0,2.0,4.0,1.8,3.64,1.0,3.64,3.65,3.65,False,2.1.0,B,4.266463073426943,B+,1.1721052399524567,direct,4.27
YISHUN,hdb_resale,16343,-0.07848795023083355,-0.07834413794799465,decimal,3.92,4.06,4.0,5.0,4.6,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.5,4.0,1.0,3.0,4.4,3.91,1.0,3.91,3.95,3.95,False,2.1.0,B,4.228644582096879,B+,1.0814947780298922,direct,4.23
PASIR RIS,hdb_resale,6971,-0.044085605904417235,-0.04389669458073081,decimal,3.67,4.02,5.0,5.0,4.35,4.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.8,3.99,1.0,3.99,3.98,3.98,False,2.1.0,B,4.169048888414689,B+,1.044874408123982,direct,4.17
HOUGANG,hdb_resale,12162,-0.02032627806604559,-0.020276262618048744,decimal,4.64,3.04,4.3,5.0,4.35,4.5,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.5,2.0,3.0,1.8,4.01,1.0,4.01,4.03,4.03,False,2.1.0,B+,4.092137722044086,B+,1.0204832224548843,direct,4.09
CANBERRA,hdb_resale,7347,-0.11949263521621489,-0.11900669526006975,decimal,,,,,,,,,,,,,,,,,,,,,,,3.58,,,,2.1.0,,4.0324313055582275,B+,1.1263774596531362,proxy_from:SEMBAWANG,4.03
JURONG WEST,hdb_resale,15765,-0.12901944050299186,-0.12877438933394558,decimal,3.17,4.17,3.0,5.0,3.7,4.5,3.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,3.5,1.0,4.0,3.4,3.52,1.0,3.52,3.6,3.6,False,2.1.0,B,4.003765842880987,B+,1.1374334780911894,direct,4.0
BEDOK,hdb_resale,12563,0.03194212299897181,0.03186602805019289,decimal,4.35,4.55,4.0,4.4,4.75,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,4.5,4.5,1.0,4.0,4.8,4.12,1.0,4.12,4.09,4.09,False,2.1.0,B+,3.990781735163968,B,0.9686363434864,direct,3.99
SENGKANG,hdb_resale,19482,-0.07327524579632705,-0.07316258397929722,decimal,3.83,3.87,3.0,5.0,4.6,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.4,3.64,1.0,3.64,3.67,3.67,False,2.1.0,B,3.916295829571601,B,1.0759054476845058,direct,3.92
