Project,planning_area,Postal District,Date of Sale,Address,Street,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug
Lentor Hills Residences,ANG MO KIO,26,3 Oct 2025,33 LENTOR HILLS ROAD #06-XX,33 LENTOR HILLS ROAD,3,2276,2180000,Apartment,99 yrs from 25/04/2022,Sub Sale,958,89.001,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,6 Aug 2025,37 Lentor Hills Road #21-XX,37 Lentor Hills Road,1,2202,1280000,Apartment,99 yrs from 25/04/2022,New Sale,581,53.977,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,6 Aug 2025,37 Lentor Hills Road #20-XX,37 Lentor Hills Road,1,2202,1280000,Apartment,99 yrs from 25/04/2022,New Sale,581,53.977,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,19 Apr 2025,39 Lentor Hills Road #02-XX,39 Lentor Hills Road,3,2098,2733000,Apartment,99 yrs from 25/04/2022,New Sale,1302,120.96,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,15 Mar 2025,37 Lentor Hills Road #18-XX,37 Lentor Hills Road,1,2407,1399000,Apartment,99 yrs from 25/04/2022,New Sale,581,53.977,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,15 Feb 2025,37 Lentor Hills Road #19-XX,37 Lentor Hills Road,1,2419,1406000,Apartment,99 yrs from 25/04/2022,New Sale,581,53.977,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,19 Jan 2025,31 Lentor Hills Road #01-XX,31 Lentor Hills Road,4,2071,2787000,Apartment,99 yrs from 25/04/2022,New Sale,1346,125.047,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,11 Jan 2025,39 Lentor Hills Road #08-XX,39 Lentor Hills Road,3,2146,2795000,Apartment,99 yrs from 25/04/2022,New Sale,1302,120.96,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,22 Dec 2024,31 Lentor Hills Road #01-XX,31 Lentor Hills Road,1,2213,1334000,Apartment,99 yrs from 25/04/2022,New Sale,603,56.021,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,10 Dec 2024,39 Lentor Hills Road #02-XX,39 Lentor Hills Road,4,2087,2920000,Apartment,99 yrs from 25/04/2022,New Sale,1399,129.971,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,3 Dec 2024,37 Lentor Hills Road #17-XX,37 Lentor Hills Road,1,2395,1392000,Apartment,99 yrs from 25/04/2022,New Sale,581,53.977,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,23 Nov 2024,37 Lentor Hills Road #14-XX,37 Lentor Hills Road,4,2168,2941000,Apartment,99 yrs from 25/04/2022,New Sale,1356,125.977,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,16 Nov 2024,35 Lentor Hills Road #14-XX,35 Lentor Hills Road,3,2208,2424000,Apartment,99 yrs from 25/04/2022,New Sale,1098,102.008,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,15 Nov 2024,37 Lentor Hills Road #15-XX,37 Lentor Hills Road,4,2176,2951000,Apartment,99 yrs from 25/04/2022,New Sale,1356,125.977,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,14 Nov 2024,37 Lentor Hills Road #21-XX,37 Lentor Hills Road,4,2222,3013000,Apartment,99 yrs from 25/04/2022,New Sale,1356,125.977,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
Lentor Hills Residences,ANG MO KIO,26,10 Nov 2024,35 Lentor Hills Road #17-XX,35 Lentor Hills Road,3,2239,2458000,Apartment,99 yrs from 25/04/2022,New Sale,1098,102.008,Strata,HDB,URA,not_clean,https://www.edgeprop.sg/condo-apartment/lentor-hills-residences,lentor-hills-residences
