ref_month,project_name,street_name,postal_district,market_segment,property_type,developer,units_avail,launched_to_date,sold_to_date,launched_in_month,sold_in_month,median_psf,lowest_psf,highest_psf
2025-08,PROVENCE RESIDENCE,CANBERRA CRESCENT,27,OCR,Exec Condo,MCC Land (Canberra) Pte Ltd,413,413,413,0,0,0,0,0
2025-08,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,211,376,211,1991,1851,2151
2025-08,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,616,0,0,0,0,0
2025-09,PROVENCE RESIDENCE,CANBERRA CRESCENT,27,OCR,Exec Condo,MCC Land (Canberra) Pte Ltd,413,413,413,0,0,0,0,0
2025-09,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,238,0,28,2001,1912,2051
2025-09,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,616,0,0,0,0,0
2025-10,PROVENCE RESIDENCE,CANBERRA CRESCENT,27,OCR,Exec Condo,MCC Land (Canberra) Pte Ltd,413,413,413,0,0,0,0,0
2025-10,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,274,0,36,1995,1902,2057
2025-10,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,616,0,0,0,0,0
2025-11,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,283,0,9,2005,1941,2082
2025-11,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,616,0,0,0,0,0
2025-12,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,297,0,8,2008,1962,2088
2025-12,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-01,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,306,0,8,1984,1957,2035
2026-01,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-02,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,313,0,7,2018,1980,2092
2026-02,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-03,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,322,0,7,1956,1883,2087
2026-03,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-04,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,330,0,8,2018,1936,2076
2026-04,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-05,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,338,0,8,2038,1951,2066
2026-05,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-06,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,339,0,1,2015,2015,2015
2026-06,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-07,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,341,0,2,2036,2030,2041
2026-07,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
2026-08,CANBERRA CRESCENT RESIDENCES,CANBERRA CRESCENT,27,OCR,Non-Landed,Peak Crescent Pte Ltd,376,376,346,0,5,2031,1957,2046
2026-08,NORTH GAIA,YISHUN CLOSE,27,OCR,Exec Condo,Sing Holdings (Yishun) Pte Ltd,616,616,615,0,0,0,0,0
