project_name,street_name,property_type,postal_district,market_segment,floor_level,transacted_price,area_sqm,sale_month,tenure,type_of_sale,type_of_area,n_units
LANDED HOUSING DEVELOPMENT,STIRLING ROAD,Detached House,03,RCR,-,6950000,526.6,2022-01,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STIRLING ROAD,Detached House,03,RCR,-,8300000,497.1,2023-08,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STIRLING ROAD,Detached House,03,RCR,-,12300000,526.6,2025-01,Freehold,3,Land,1
TIONG BAHRU ESTATE,ENG HOON STREET,Terrace House,03,RCR,-,4900000,82.9,2025-11,Freehold,3,Land,1
SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached House,03,RCR,-,7500000,478.9,2022-10,Freehold,3,Land,1
SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached House,03,RCR,-,8200000,433.1,2024-05,Freehold,3,Land,1
SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached House,03,RCR,-,8250000,483,2023-11,Freehold,3,Land,1
SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached House,03,RCR,-,8480000,468,2023-12,Freehold,3,Land,1
SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached House,03,RCR,-,15078688,478.9,2025-11,Freehold,3,Land,1
SHEPHERD'S HILL ESTATE,MERINO CRESCENT,Detached House,03,RCR,-,12000000,519.8,2025-10,Freehold,3,Land,1
SRI MENANTI ESTATE,JERVOIS LANE,Semi-Detached House,03,RCR,-,8800000,335.7,2025-02,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,JERVOIS LANE,Semi-Detached House,03,RCR,-,9980000,388.8,2025-12,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,Terrace House,08,RCR,-,4750000,150,2026-06,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,Terrace House,08,RCR,-,2980000,142,2023-04,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,Terrace House,08,RCR,-,3400000,163.1,2024-10,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,Terrace House,08,RCR,-,3600000,171,2024-10,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,Terrace House,08,RCR,-,4250000,235.2,2023-09,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,Terrace House,08,RCR,-,7038000,163.1,2026-04,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,HERTFORD ROAD,Detached House,08,RCR,-,8500000,613.3,2022-12,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,HERTFORD ROAD,Semi-Detached House,08,RCR,-,6500000,266.1,2024-10,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,HERTFORD ROAD,Detached House,08,RCR,-,8500000,613.3,2022-12,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,HERTFORD ROAD,Semi-Detached House,08,RCR,-,6500000,266.1,2024-10,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,Terrace House,08,RCR,-,3800000,143.8,2021-08,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,Terrace House,08,RCR,-,3400000,142.9,2024-06,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,Terrace House,08,RCR,-,4500000,162.5,2023-10,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,Terrace House,08,RCR,-,4579000,158,2025-05,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,Terrace House,08,RCR,-,4200000,146,2025-10,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,Terrace House,08,RCR,-,1844000,157.7,2025-05,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,OWEN ROAD,Terrace House,08,RCR,-,4500000,115.8,2022-11,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,STURDEE ROAD,Terrace House,08,RCR,-,5480000,159.7,2022-05,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,KENG LEE ROAD,Semi-Detached House,08,RCR,-,6136000,298,2024-06,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,JOO AVENUE,Terrace House,08,RCR,-,1550000,158.2,2021-07,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,Terrace House,08,RCR,-,4080000,142,2022-05,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,Semi-Detached House,08,RCR,-,5700000,200.4,2024-07,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,Terrace House,08,RCR,-,4700000,158.9,2026-03,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,Terrace House,08,RCR,-,4080000,142,2022-05,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,Semi-Detached House,08,RCR,-,5700000,200.4,2024-07,Freehold,3,Land,1
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,Terrace House,08,RCR,-,4700000,158.9,2026-03,Freehold,3,Land,1
