Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HILLSGROVE,"3,950,000","4,693.1",842,Jun-26,HILLSIDE DRIVE,Resale,Strata,436,"9,060",-,Semi-Detached House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
THE TOP RESIDENCE,"3,250,000","2,723.29","1,193",Jun-26,SIMON PLACE,Resale,Strata,253,"12,846",-,Terrace House,1,999 yrs lease commencing from 1884,19,Outside Central Region,-
MARLENE VILLE,"3,190,000","2,432.66","1,311",Jun-26,MARLENE AVENUE,Resale,Strata,226,"14,115",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE AMBIENCE,"2,860,000","3,670.52",779,May-26,PONGGOL SEVENTEENTH AVENUE,Resale,Strata,341,"8,387",-,Detached House,1,999 yrs lease commencing from 1874,19,Outside Central Region,-
CHARLTON 27,"4,398,000","5,952.49",739,Apr-26,SURIN AVENUE,Resale,Strata,553,"7,953",-,Terrace House,1,Freehold,19,Outside Central Region,-
CHARLTON 27,"3,968,000","4,757.69",834,Apr-26,SURIN AVENUE,Resale,Strata,442,"8,977",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN VIEW,"2,880,000","2,185.09","1,318",Apr-26,JALAN HWI YOH,Resale,Strata,203,"14,187",-,Terrace House,1,999 yrs lease commencing from 1879,19,Outside Central Region,-
THE TOP RESIDENCE,"3,238,888","2,723.29","1,189",Mar-26,SIMON PLACE,Resale,Strata,253,"12,802",-,Terrace House,1,999 yrs lease commencing from 1884,19,Outside Central Region,-
LA BELLE,"3,350,000","2,723.29","1,230",Feb-26,RECREATION LANE,Resale,Strata,253,"13,241",-,Terrace House,1,Freehold,19,Outside Central Region,-
RICH.RESIDENCE,"4,150,000","4,628.52",897,Feb-26,RICHARDS AVENUE,Resale,Strata,430,"9,651",-,Terrace House,1,Freehold,19,Outside Central Region,-
MARLENE VILLE,"3,140,000","2,432.66","1,291",Jan-26,MARLENE AVENUE,Resale,Strata,226,"13,894",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE ARECA,"2,539,999","2,518.78","1,008",Jan-26,BUNGA RAMPAI PLACE,Resale,Strata,234,"10,855",-,Terrace House,1,99 yrs lease commencing from 2000,19,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"2,650,000","1,528.49","1,734",Jan-26,SIMON LANE,Resale,Strata,142,"18,662",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANGE 28,"2,500,000","2,098.98","1,191",Jan-26,LANGE ROAD,Resale,Strata,195,"12,821",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
LEGEND @ JANSEN,"2,850,000","2,055.92","1,386",Jan-26,JANSEN ROAD,Resale,Strata,191,"14,921",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
AFFINITY AT SERANGOON,"3,325,000","2,346.55","1,417",Jan-26,SERANGOON NORTH AVENUE 1,Resale,Strata,218,"15,252",-,Terrace House,1,99 yrs lease commencing from 2018,19,Outside Central Region,-
HILLSGROVE,"3,700,000","4,542.41",815,Dec-25,HILLSIDE DRIVE,Resale,Strata,422,"8,768",-,Semi-Detached House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
CHARLTON RESIDENCES,"4,360,000","5,349.71",815,Dec-25,CHARLTON ROAD,Resale,Strata,497,"8,773",-,Terrace House,1,Freehold,19,Outside Central Region,-
JANSEN 8,"2,930,000","3,089.27",948,Dec-25,JANSEN ROAD,Resale,Strata,287,"10,209",-,Terrace House,1,Freehold,19,Outside Central Region,-
VERDANA VILLAS,"4,350,000","4,327.13","1,005",Dec-25,GRACE WALK,Resale,Strata,402,"10,821",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,500,000","2,271.2","1,101",Dec-25,KOVAN ROAD,Resale,Strata,211,"11,848",-,Terrace House,1,Freehold,19,Outside Central Region,-
WATER TERRACE,"3,200,000","2,626.42","1,218",Dec-25,LORONG AH SOO,Resale,Strata,244,"13,115",-,Terrace House,1,Freehold,19,Outside Central Region,-
PALM GROVE REGENCY,"3,220,000","2,927.81","1,100",Nov-25,PALM GROVE AVENUE,Resale,Strata,272,"11,838",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
JAZZ RESIDENCES,"3,930,000","4,004.21",981,Nov-25,LIM AH PIN ROAD,Resale,Strata,372,"10,565",-,Terrace House,1,Freehold,19,Outside Central Region,-
ONE SURIN,"3,800,000","3,788.93","1,003",Nov-25,SURIN AVENUE,Resale,Strata,352,"10,795",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE MORRIS RESIDENCES,"3,620,000","4,262.54",849,Nov-25,PAYA LEBAR CRESCENT,Resale,Strata,396,"9,141",-,Terrace House,1,Freehold,19,Outside Central Region,-
