ref_quarter,project_name,street_name,postal_district,median_psf_pm,psf25,psf75,x,y
2023Q4,ELLIOT AT THE EAST COAST,ELLIOT ROAD,15,3.81,3.39,5.14,38865.17182,32621.92134
2023Q4,MERAWOODS,HILLVIEW AVENUE,23,3.26,2.79,3.37,19806.57039,37591.36252
2023Q3,MERAWOODS,HILLVIEW AVENUE,23,3.3,3,3.48,19806.57039,37591.36252
2024Q4,MERAWOODS,HILLVIEW AVENUE,23,3.27,3.03,3.35,19806.57039,37591.36252
2024Q2,MERAWOODS,HILLVIEW AVENUE,23,3.01,2.86,3.35,19806.57039,37591.36252
2025Q4,MERAWOODS,HILLVIEW AVENUE,23,3.35,3.27,3.46,19806.57039,37591.36252
2025Q2,MERAWOODS,HILLVIEW AVENUE,23,3.12,3.01,3.43,19806.57039,37591.36252
2025Q3,MERAWOODS,HILLVIEW AVENUE,23,3.18,2.99,3.34,19806.57039,37591.36252
2026Q2,MERAWOODS,HILLVIEW AVENUE,23,3.12,3.02,3.26,19806.57039,37591.36252
2024Q1,THE PANORAMA,ANG MO KIO AVENUE 2,20,6.12,5.04,6.97,28117.75127,39714.86481
2023Q3,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.72,5.16,6.33,28117.75127,39714.86481
2023Q4,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.14,4.76,6.5,28117.75127,39714.86481
2024Q3,THE PANORAMA,ANG MO KIO AVENUE 2,20,4.9,4.65,5.7,28117.75127,39714.86481
2024Q4,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.02,4.83,5.92,28117.75127,39714.86481
2024Q2,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.04,4.72,5.57,28117.75127,39714.86481
2025Q1,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.26,4.78,6.57,28117.75127,39714.86481
2026Q2,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.5,4.9,6.41,28117.75127,39714.86481
2025Q4,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.12,4.77,6.1,28117.75127,39714.86481
2026Q1,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.43,5.04,6.52,28117.75127,39714.86481
2025Q2,THE PANORAMA,ANG MO KIO AVENUE 2,20,5.79,5.04,6.76,28117.75127,39714.86481
