Project,planning_area,Postal District,Date of Sale,Address,Street,unit_number,unit_floor,unit_stack,unit_number_status,unit_number_source,Bedrooms,Unit Price ($psf),Price ($),Type,Tenure,Sale Type,Area (sqft),Area (sqm),Type of Area,Purchaser Address,Source,source_quality,source_url,source_slug,source_page,source_row
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,26 Aug 2026,57 CANBERRA CRESCENT #06-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2031,2469854,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,1
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,20 Aug 2026,57 CANBERRA CRESCENT #07-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2036,2476015,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,2
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,18 Aug 2026,55 CANBERRA CRESCENT #02-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2020,2456401,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,3
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,8 Aug 2026,57 CANBERRA CRESCENT #09-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2046,2488337,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,4
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,8 Aug 2026,53 CANBERRA CRESCENT #04-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1957,2380000,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,5
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,26 Jul 2026,57 CANBERRA CRESCENT #08-XX,57 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2041,2482075,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,6
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,12 Jul 2026,55 CANBERRA CRESCENT #04-XX,55 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,2030,2468642,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,N.A,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,7
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,15 Jun 2026,51 CANBERRA CRESCENT #04-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2015,1995861,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,8
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,26 May 2026,51 CANBERRA CRESCENT #03-XX,51 CANBERRA CRESCENT,,,,masked,edgeprop_address,3,2010,1990912,Apartment,99 yrs from 04/11/2024,New Sale,990,91.974,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,9
CANBERRA CRESCENT RESIDENCES,SEMBAWANG,27,25 May 2026,53 CANBERRA CRESCENT #02-XX,53 CANBERRA CRESCENT,,,,masked,edgeprop_address,4,1951,2372894,Apartment,99 yrs from 04/11/2024,New Sale,1216,112.97,Strata,Private,URA,not_clean,https://www.edgeprop.sg/condo-apartment/canberra-crescent-residences,canberra-crescent-residences,1,10
