record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url
propertystory-1,CANBERRA CRESCENT RESIDENCES,53,propertystory,#04-**,2026-08-08,2380000,1216,1957,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-2,CANBERRA CRESCENT RESIDENCES,57,propertystory,#09-**,2026-08-08,2488337,1216,2046,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-3,CANBERRA CRESCENT RESIDENCES,57,propertystory,#08-**,2026-07-26,2482075,1216,2041,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-4,CANBERRA CRESCENT RESIDENCES,55,propertystory,#04-**,2026-07-12,2468642,1216,2030,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-5,CANBERRA CRESCENT RESIDENCES,51,propertystory,#04-**,2026-06-15,1995861,990,2016,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-6,CANBERRA CRESCENT RESIDENCES,51,propertystory,#03-**,2026-05-26,1990912,990,2011,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-7,CANBERRA CRESCENT RESIDENCES,53,propertystory,#02-**,2026-05-25,2372894,1216,1951,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-8,CANBERRA CRESCENT RESIDENCES,55,propertystory,#07-**,2026-05-21,2045800,990,2066,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-9,CANBERRA CRESCENT RESIDENCES,51,propertystory,#10-**,2026-05-16,2005900,990,2026,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-10,CANBERRA CRESCENT RESIDENCES,55,propertystory,#06-**,2026-05-16,2040700,990,2061,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-11,CANBERRA CRESCENT RESIDENCES,51,propertystory,#12-**,2026-05-05,2016000,990,2036,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-12,CANBERRA CRESCENT RESIDENCES,57,propertystory,#12-**,2026-05-05,2482200,1216,2041,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-13,CANBERRA CRESCENT RESIDENCES,57,propertystory,#12-**,2026-05-04,2700639,1324,2040,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-14,CANBERRA CRESCENT RESIDENCES,51,propertystory,#09-**,2026-04-30,2001000,990,2021,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-15,CANBERRA CRESCENT RESIDENCES,57,propertystory,#08-**,2026-04-30,2673874,1324,2020,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-16,CANBERRA CRESCENT RESIDENCES,55,propertystory,#09-**,2026-04-29,2056100,990,2077,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-17,CANBERRA CRESCENT RESIDENCES,55,propertystory,#08-**,2026-04-27,2050900,990,2072,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-18,CANBERRA CRESCENT RESIDENCES,53,propertystory,#03-**,2026-04-22,2355200,1216,1937,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-19,CANBERRA CRESCENT RESIDENCES,55,propertystory,#12-**,2026-04-18,2365218,1173,2016,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-20,CANBERRA CRESCENT RESIDENCES,51,propertystory,#08-**,2026-04-16,1996000,990,2016,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-21,CANBERRA CRESCENT RESIDENCES,51,propertystory,#05-**,2026-04-03,1981100,990,2001,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-22,CANBERRA CRESCENT RESIDENCES,53,propertystory,#07-**,2026-03-28,2378800,1216,1956,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-23,CANBERRA CRESCENT RESIDENCES,53,propertystory,#05-**,2026-03-28,2367100,1216,1947,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-24,CANBERRA CRESCENT RESIDENCES,55,propertystory,#11-**,2026-03-28,2066300,990,2087,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-25,CANBERRA CRESCENT RESIDENCES,53,propertystory,#06-**,2026-03-25,2373000,1216,1951,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-26,CANBERRA CRESCENT RESIDENCES,53,propertystory,#09-**,2026-03-20,2390700,1216,1966,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
propertystory-27,CANBERRA CRESCENT RESIDENCES,53,propertystory,#11-**,2026-03-09,2402700,1216,1976,,not_published_in_table,https://propertystory.sg/canberra-crescent-residences/
