record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url,linked_unit,unit_link_status,candidate_unit_count,candidate_units,chart_sold_date,transaction_minus_chart_days,local_ura_matching_record_count,current_edgeprop_matching_record_count,local_ura_check
propertynoob-330,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-07,2026-04-03,1981100,990,2001,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-07,published_full_unit,1,#05-07,2026-04-02,1,1,1,matching_public_signature_not_unit_proof
propertynoob-329,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#07-14,2026-03-28,2378800,1216,1956,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-14,published_full_unit,1,#07-14,2026-03-27,1,1,1,matching_public_signature_not_unit_proof
propertynoob-328,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#05-14,2026-03-28,2367100,1216,1946,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-14,published_full_unit,1,#05-14,2026-03-27,1,1,1,matching_public_signature_not_unit_proof
propertynoob-327,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#11-23,2026-03-28,2066300,990,2087,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-23,published_full_unit,1,#11-23,2026-03-27,1,1,1,matching_public_signature_not_unit_proof
propertynoob-326,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#06-14,2026-03-25,2373000,1216,1951,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-14,published_full_unit,1,#06-14,2026-03-24,1,1,1,matching_public_signature_not_unit_proof
propertynoob-325,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#09-14,2026-03-20,2390700,1216,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#09-14,published_full_unit,1,#09-14,2026-03-19,1,1,1,matching_public_signature_not_unit_proof
propertynoob-324,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#11-14,2026-03-09,2402700,1216,1975,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-14,published_full_unit,1,#11-14,2026-03-14,-5,1,1,matching_public_signature_not_unit_proof
propertynoob-323,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#01-11,2026-03-05,2189300,1163,1883,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#01-11,published_full_unit,1,#01-11,2026-03-07,-2,1,1,matching_public_signature_not_unit_proof
propertynoob-322,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#12-14,2026-02-27,2408700,1216,1980,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#12-14,published_full_unit,1,#12-14,2026-02-27,0,1,1,matching_public_signature_not_unit_proof
propertynoob-321,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#12-23,2026-02-25,2071500,990,2092,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#12-23,published_full_unit,1,#12-23,2026-02-24,1,1,1,matching_public_signature_not_unit_proof
propertynoob-320,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#11-18,2026-02-21,2336000,1173,1991,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-18,published_full_unit,1,#11-18,2026-02-21,0,1,1,matching_public_signature_not_unit_proof
propertynoob-319,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#05-22,2026-02-20,2426000,1216,1995,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-22,published_full_unit,1,#05-22,2026-02-19,1,1,1,matching_public_signature_not_unit_proof
propertynoob-318,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#02-19,2026-02-09,2257200,1163,1942,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#02-19,published_full_unit,1,#02-19,2026-02-09,0,1,1,matching_public_signature_not_unit_proof
propertynoob-317,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#11-07,2026-02-09,2011000,990,2031,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-07,published_full_unit,1,#11-07,2026-02-08,1,1,1,matching_public_signature_not_unit_proof
propertynoob-316,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#04-03,2026-02-05,1998200,990,2018,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-03,published_full_unit,1,#04-03,2026-02-05,0,1,1,matching_public_signature_not_unit_proof
propertynoob-315,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#11-30,2026-02-02,2476000,1216,2036,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-30,published_full_unit,1,#11-30,2026-02-01,1,1,1,matching_public_signature_not_unit_proof
propertynoob-314,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#05-23,2026-02-02,2035600,990,2056,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-23,published_full_unit,1,#05-23,2026-02-01,1,1,1,matching_public_signature_not_unit_proof
propertynoob-313,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#09-18,2026-01-30,2324300,1173,1981,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#09-18,published_full_unit,1,#09-18,2026-01-29,1,1,1,matching_public_signature_not_unit_proof
propertynoob-312,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#04-18,2026-01-27,2295600,1173,1957,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#04-18,published_full_unit,1,#04-18,2026-01-26,1,1,1,matching_public_signature_not_unit_proof
propertynoob-311,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#06-18,2026-01-26,2307100,1173,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-18,published_full_unit,1,#06-18,2026-01-25,1,1,1,matching_public_signature_not_unit_proof
propertynoob-310,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#07-18,2026-01-20,2312800,1173,1971,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-18,published_full_unit,1,#07-18,2026-01-19,1,1,1,matching_public_signature_not_unit_proof
propertynoob-309,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#01-15,2026-01-13,1732200,872,1987,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#01-15,published_full_unit,1,#01-15,2026-01-17,-4,1,1,matching_public_signature_not_unit_proof
propertynoob-308,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-06,2026-01-10,2004900,990,2025,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#05-06,published_full_unit,1,#05-06,2026-01-09,1,1,1,matching_public_signature_not_unit_proof
propertynoob-307,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#01-21,2026-01-10,1621300,797,2035,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#01-21,published_full_unit,1,#01-21,2026-01-09,1,1,1,matching_public_signature_not_unit_proof
propertynoob-306,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#07-07,2026-01-06,1991000,990,2011,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-07,published_full_unit,1,#07-07,2026-01-09,-3,1,1,matching_public_signature_not_unit_proof
propertynoob-305,CANBERRA CRESCENT RESIDENCES,57,agent_unit_chart,#11-26,2025-12-31,2067400,990,2088,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#11-26,published_full_unit,1,#11-26,2025-12-30,1,1,1,matching_public_signature_not_unit_proof
propertynoob-304,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#06-22,2025-12-26,2432000,1216,1999,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#06-22,published_full_unit,1,#06-22,2025-12-27,-1,1,1,matching_public_signature_not_unit_proof
propertynoob-303,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#07-22,2025-12-24,2438200,1216,2005,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#07-22,published_full_unit,1,#07-22,2025-12-24,0,1,1,matching_public_signature_not_unit_proof
propertynoob-302,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#10-18,2025-12-19,2330100,1173,1986,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales,#10-18,published_full_unit,1,#10-18,2025-12-18,1,1,1,matching_public_signature_not_unit_proof
