record_id,project,block,block_source,published_unit,transaction_date,price_sgd,area_sqft,psf_sgd,sale_type,sale_type_source,source_url
propertynoob-330,CANBERRA CRESCENT RESIDENCES,51,agent_unit_chart,#05-07,2026-04-03,1981100,990,2001,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-329,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#07-14,2026-03-28,2378800,1216,1956,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-328,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#05-14,2026-03-28,2367100,1216,1946,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-327,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#11-23,2026-03-28,2066300,990,2087,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-326,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#06-14,2026-03-25,2373000,1216,1951,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-325,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#09-14,2026-03-20,2390700,1216,1966,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-324,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#11-14,2026-03-09,2402700,1216,1975,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-323,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#01-11,2026-03-05,2189300,1163,1883,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-322,CANBERRA CRESCENT RESIDENCES,53,agent_unit_chart,#12-14,2026-02-27,2408700,1216,1980,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
propertynoob-321,CANBERRA CRESCENT RESIDENCES,55,agent_unit_chart,#12-23,2026-02-25,2071500,990,2092,New Sale,propertynoob,https://propertynoob.com/condo/canberra-crescent-residences/sales
