Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CANBERRA CRESCENT RESIDENCES,"2,468,642","1,216.33","2,030",Jul-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,846",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,995,861",990.29,"2,015",Jun-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,694",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,990,912",990.29,"2,010",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,640",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,372,894","1,216.33","1,951",May-26,CANBERRA CRESCENT,New Sale,Strata,113,"20,999",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,045,800",990.29,"2,066",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,237",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,005,900",990.29,"2,026",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,803",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,040,700",990.29,"2,061",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,182",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,016,000",990.29,"2,036",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,913",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,482,200","1,216.33","2,041",May-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,966",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,700,639","1,323.97","2,040",May-26,CANBERRA CRESCENT,New Sale,Strata,123,"21,956",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,001,000",990.29,"2,021",Apr-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,750",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,673,874","1,323.97","2,020",Apr-26,CANBERRA CRESCENT,New Sale,Strata,123,"21,739",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,056,100",990.29,"2,076",Apr-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,349",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,050,900",990.29,"2,071",Apr-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,292",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,355,200","1,216.33","1,936",Apr-26,CANBERRA CRESCENT,New Sale,Strata,113,"20,842",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,365,218","1,173.28","2,016",Apr-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,699",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"1,996,000",990.29,"2,016",Apr-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,696",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"1,981,100",990.29,"2,001",Apr-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,534",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,367,100","1,216.33","1,946",Mar-26,CANBERRA CRESCENT,New Sale,Strata,113,"20,948",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,378,800","1,216.33","1,956",Mar-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,051",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,066,300",990.29,"2,087",Mar-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,460",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,373,000","1,216.33","1,951",Mar-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,000",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,390,700","1,216.33","1,965",Mar-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,157",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,402,700","1,216.33","1,975",Mar-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,263",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,189,300","1,162.51","1,883",Mar-26,CANBERRA CRESCENT,New Sale,Strata,108,"20,271",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,408,700","1,216.33","1,980",Feb-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,316",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,071,500",990.29,"2,092",Feb-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,516",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,336,000","1,173.28","1,991",Feb-26,CANBERRA CRESCENT,New Sale,Strata,109,"21,431",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,426,000","1,216.33","1,995",Feb-26,CANBERRA CRESCENT,New Sale,Strata,113,"21,469",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,011,000",990.29,"2,031",Feb-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,859",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,11 to 15
CANBERRA CRESCENT RESIDENCES,"2,257,200","1,162.51","1,942",Feb-26,CANBERRA CRESCENT,New Sale,Strata,108,"20,900",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
