school_name,source_school_name,level,source_year,metric_type,rank,score_raw,score_normalized,source_url,source_quality,notes
TAO NAN SCHOOL,Tao Nan School,primary,2025,p1_phase_2b_subscription_rate,1,315%,100,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
AI TONG SCHOOL,Ai Tong School,primary,2025,p1_phase_2b_subscription_rate,2,310%,90,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
NANYANG PRIMARY SCHOOL,Nanyang Primary School,primary,2025,p1_phase_2b_subscription_rate,3,265%,80,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,Pei Hwa Presbyterian Primary School,primary,2025,p1_phase_2b_subscription_rate,4,255%,70,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
METHODIST GIRLS' SCHOOL (PRIMARY),Methodist Girls' School (Primary),primary,2025,p1_phase_2b_subscription_rate,5,245%,60,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
NAN CHIAU PRIMARY SCHOOL,Nan Chiau High School,primary,2025,p1_phase_2b_subscription_rate,6,243%,50,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Source label says Nan Chiau High School in a primary ranking; canonical join uses Nan Chiau Primary School
CHIJ ST. NICHOLAS GIRLS' SCHOOL,CHIJ St. Nicholas Girls' School (Primary),primary,2025,p1_phase_2b_subscription_rate,7,240%,40,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
CHIJ PRIMARY (TOA PAYOH),CHIJ Primary (Toa Payoh),primary,2025,p1_phase_2b_subscription_rate,8,224%,30,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
RED SWASTIKA SCHOOL,Red Swastika School,primary,2025,p1_phase_2b_subscription_rate,9,210%,20,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
KONG HWA SCHOOL,Kong Hwa School,primary,2025,p1_phase_2b_subscription_rate,10,204%,10,https://schoolbell.net/sg/primary-schools/,unofficial_rank_proxy,Schoolbell proxy claims to use MOE P1 Phase 2B data; verify against MOE before scored production use
HWA CHONG INSTITUTION,Hwa Chong Institution,secondary,2025,psle_al_cutoff_proxy,1,IP AL6M,100,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective; HMTL suffix retained in raw value
NANYANG GIRLS' HIGH SCHOOL,Nanyang Girls' High School,secondary,2025,psle_al_cutoff_proxy,2,IP AL6M,90,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective; HMTL suffix retained in raw value
RAFFLES INSTITUTION,Raffles Institution,secondary,2025,psle_al_cutoff_proxy,3,IP AL6,80,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective
RAFFLES GIRLS' SCHOOL (SECONDARY),Raffles Girls' School,secondary,2025,psle_al_cutoff_proxy,3,IP AL6,80,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective
METHODIST GIRLS' SCHOOL (SECONDARY),Methodist Girls' School,secondary,2025,psle_al_cutoff_proxy,4,IP AL6; PG3 AL8,70,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective
CATHOLIC HIGH SCHOOL,Catholic High School,secondary,2025,psle_al_cutoff_proxy,5,IP AL7M; PG3 AL8M,60,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective; HMTL suffix retained in raw value
CHIJ ST. NICHOLAS GIRLS' SCHOOL,CHIJ St. Nicholas Girls' School,secondary,2025,psle_al_cutoff_proxy,6,IP AL7D; PG3 AL8M,50,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective; HMTL suffix retained in raw value
ST. JOSEPH'S INSTITUTION,St. Joseph's Institution,secondary,2025,psle_al_cutoff_proxy,7,IP AL7; PG3 AL8,40,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective
ANGLO-CHINESE SCHOOL (INDEPENDENT),Anglo-Chinese School (Independent),secondary,2025,psle_al_cutoff_proxy,8,IP AL7; PG3 AL8,30,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective
SINGAPORE CHINESE GIRLS' SCHOOL,Singapore Chinese Girls' School,secondary,2025,psle_al_cutoff_proxy,9,IP AL7; PG3 AL8,20,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective
DUNMAN HIGH SCHOOL,Dunman High School,secondary,2025,psle_al_cutoff_proxy,10,IP AL8M,10,https://schoolbell.net/sg/secondary-schools/,unofficial_rank_proxy,Lower PSLE AL cut-off is treated as more selective; HMTL suffix retained in raw value
RAFFLES INSTITUTION,Raffles Institution,year_5_jc,2025,jae_l1r5_cutoff_proxy,1,Arts 5; Science 3,100,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,Lower JAE cut-off is treated as more selective
HWA CHONG INSTITUTION,Hwa Chong Institution,year_5_jc,2025,jae_l1r5_cutoff_proxy,2,Arts 5; Science 4,90,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,Lower JAE cut-off is treated as more selective
ANGLO-CHINESE SCHOOL (INDEPENDENT),Anglo-Chinese School (Independent),year_5_jc,2025,jae_l1r5_cutoff_proxy,3,IB 5,80,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,IB-admission raw value retained separately from JAE Arts/Science
EUNOIA JUNIOR COLLEGE,Eunoia Junior College,year_5_jc,2025,jae_l1r5_cutoff_proxy,4,Arts 6; Science 5,70,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,Lower JAE cut-off is treated as more selective
ST. JOSEPH'S INSTITUTION,St. Joseph's Institution,year_5_jc,2025,jae_l1r5_cutoff_proxy,5,IB 6,60,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,IB-admission raw value retained separately from JAE Arts/Science
NANYANG JUNIOR COLLEGE,Nanyang Junior College,year_5_jc,2025,jae_l1r5_cutoff_proxy,6,Arts 7; Science 5,50,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,Lower JAE cut-off is treated as more selective
VICTORIA JUNIOR COLLEGE,Victoria Junior College,year_5_jc,2025,jae_l1r5_cutoff_proxy,7,Arts 8; Science 6,40,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,Lower JAE cut-off is treated as more selective
DUNMAN HIGH SCHOOL,Dunman High School,year_5_jc,2025,jae_l1r5_cutoff_proxy,8,Arts 8; Science 7,30,https://schoolbell.net/sg/jcs/,unofficial_rank_proxy,Lower JAE cut-off is treated as more selective
