lat,lon,name,mainlevel_code,type_code,zone_code,nature_code,autonomous_ind,gifted_ind,ip_ind,sap_ind,postal_code
1.4426347903311,103.800040119743,ADMIRALTY PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,738907
1.44589068910993,103.802398196596,ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,737916
1.43315271543517,103.832942401086,AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768643
1.43605975368804,103.829718690077,AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,768928
1.3605834338904,103.833020333986,AI TONG SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CO-ED SCHOOL,No,No,No,Yes,579646
1.2912990413487,103.823940802388,ALEXANDRA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,159016
1.39036998654612,103.887165375933,ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,544969
1.38419941907925,103.841411716006,ANDERSON PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,569785
1.37434001701177,103.851554107068,ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,Yes,No,No,No,569206
1.36504342002442,103.887038809373,ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,534768
1.36932176584608,103.839630858752,ANG MO KIO PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569920
1.36733710171069,103.842154973672,ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,569362
1.33058126205128,103.941082513081,ANGLICAN HIGH SCHOOL,SECONDARY (S1-S4),GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,Yes,No,No,Yes,487012
1.30304255193392,103.785358436408,ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,No,No,No,139745
1.31961649151328,103.835772689988,ANGLO-CHINESE SCHOOL (BARKER ROAD),SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,BOYS' SCHOOL,No,No,No,No,309919
1.30370409257783,103.780363417671,ANGLO-CHINESE SCHOOL (INDEPENDENT),MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,SOUTH,CO-ED SCHOOL,No,Yes,Yes,No,139650
1.30935041274966,103.840950265464,ANGLO-CHINESE SCHOOL (JUNIOR),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BOYS' SCHOOL,No,No,No,No,227988
1.31837054523521,103.835609732354,ANGLO-CHINESE SCHOOL (PRIMARY),PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BOYS' SCHOOL,No,Yes,No,No,309918
1.36360590588314,103.9389409004,ANGSANA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,528565
1.36838160662857,103.766687526556,ASSUMPTION ENGLISH SCHOOL,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,WEST,CO-ED SCHOOL,No,No,No,No,678117
1.3696707043227,103.765959130581,ASSUMPTION PATHWAY SCHOOL,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,679697
1.33995415587811,103.882806211705,BARTLEY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,538403
1.38394936211823,103.773632022975,BEACON PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,679944
1.341790284928,103.852280842345,BEATTY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,318990
1.32344593287992,103.937878976352,BEDOK GREEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469317
1.33451947288431,103.935028383346,BEDOK GREEN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469722
1.32513655159184,103.950989139261,BEDOK SOUTH SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,468585
1.32415704029686,103.943776245024,BEDOK VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,469293
1.32181250780475,103.865404167629,BENDEMEER PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,339948
1.32461111307996,103.860970284401,BENDEMEER SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,327919
1.27614522920998,103.80861316604,BLANGAH RISE PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,109100
1.34284013791617,103.712858381937,BOON LAY GARDEN PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,649930
1.34272216334333,103.701891453912,BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,648354
1.37035994436209,103.877659577677,BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,547529
1.30705061123433,103.886917922608,BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,399935
1.34849111079052,103.74087370482,BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,658962
1.28569283064288,103.813438929393,BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,159050
1.38224243360043,103.738361221869,BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,Yes,No,No,No,689809
1.37350089986584,103.769417337654,BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,679676
1.3377498622588,103.766855344779,BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,598112
1.34586054788695,103.75366641455,BUKIT VIEW PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659634
1.3457330554294,103.752226593984,BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CO-ED SCHOOL,No,No,No,No,659633
1.45125024371543,103.815858858929,CANBERRA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,757714
1.45319086315972,103.814203583818,CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,CO-ED SCHOOL,No,No,No,No,757699
1.32664424544839,103.882227964852,CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,GOVERNMENT-AIDED SCH,EAST,CO-ED SCHOOL,No,No,No,No,387621
1.27547252623201,103.839962631748,CANTONMENT PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,SOUTH,CO-ED SCHOOL,No,No,No,No,88256
1.37246063927999,103.957020286115,CASUARINA PRIMARY SCHOOL,PRIMARY,GOVERNMENT SCHOOL,EAST,CO-ED SCHOOL,No,No,No,No,518935
1.35452517065756,103.844900804804,CATHOLIC HIGH SCHOOL,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,BOYS' SCHOOL,Yes,Yes,Yes,Yes,579767
