estate,ndvi_proxy,canopy_cover_pct,mss_station,annual_mean_temp_c,uhi_delta_c
WOODLANDS,0.0,0.0,S104,27.27,-0.2
PASIR RIS,0.161,16.1,S148,28.28,0.81
JURONG EAST,0.0,0.0,S180,26.97,-0.5
BISHAN,0.309,30.9,S128,26.9,-0.56
BEDOK,0.252,25.2,S129,27.46,-0.01
TAMPINES,0.098,9.8,S148,28.28,0.81
TOA PAYOH,0.069,6.9,S128,26.9,-0.56
QUEENSTOWN,0.0,0.0,S187,26.95,-0.52
SERANGOON,0.293,29.3,S128,26.9,-0.56
SEMBAWANG,0.278,27.8,S104,27.27,-0.2
MARINE PARADE,0.151,15.1,S129,27.46,-0.01
CANBERRA,0.312,31.2,S104,27.27,-0.2
BOON KENG,0.186,18.6,S127,28.19,0.72
WOODLEIGH,0.448,44.8,S43,27.76,0.3
DOVER,0.202,20.2,S130,27.48,0.01
TENGAH,0.06,6.0,S126,26.8,-0.67
TAMPINES WEST,0.013,1.3,S129,27.46,-0.01
TAMPINES EAST,0.145,14.5,S148,28.28,0.81
ANG MO KIO,0.12,12.0,S109,27.43,-0.03
LENTOR,0.467,46.7,S141,27.71,0.24
SENGKANG,0.066,6.6,S184,28.03,0.57
PUNGGOL,0.145,14.5,S143,27.47,0.01
YISHUN,0.174,17.4,S104,27.27,-0.2
HOUGANG,0.17,17.0,S184,28.03,0.57
CHOA CHU KANG,0.101,10.1,S140,27.45,-0.01
BUKIT BATOK,0.107,10.7,S126,26.8,-0.67
BUKIT MERAH,0.047,4.7,S111,27.06,-0.4
BUKIT PANJANG,0.073,7.3,S140,27.45,-0.01
GEYLANG,0.114,11.4,S127,28.19,0.72
CLEMENTI,0.287,28.7,S130,27.48,0.01
CENTRAL AREA,0.334,33.4,S111,27.06,-0.4
BUKIT TIMAH,0.325,32.5,S50,27.22,-0.24
JURONG WEST,0.126,12.6,S132,27.83,0.36
KALLANG,0.066,6.6,S127,28.19,0.72
HOLLAND VILLAGE,0.123,12.3,S187,26.95,-0.52
